时间,是否始发站,是否终到站
05:20,0,0
05:30,0,0
05:41,0,0
05:51,0,0
06:01,0,0
06:12,0,0
06:20,0,0
06:30,0,0
06:40,0,0
06:50,0,0
06:56,0,0
07:02,0,0
07:09,0,0
07:15,0,0
07:20,0,0
07:24,0,0
07:29,0,0
07:36,0,0
07:42,0,0
07:49,0,0
07:55,0,0
08:02,0,0
08:08,0,0
08:15,0,0
08:22,0,0
08:30,0,0
08:35,0,0
08:41,0,0
08:48,0,0
08:53,0,0
08:59,0,0
09:06,0,0
09:11,0,0
09:17,0,0
09:24,0,0
09:29,0,0
09:35,0,0
09:42,0,0
09:46,0,0
09:53,0,0
10:00,0,0
10:04,0,0
10:11,0,0
10:18,0,0
10:22,0,0
10:29,0,0
10:36,0,0
10:40,0,0
10:47,0,0
10:54,0,0
10:59,0,0
11:05,0,0
11:10,0,0
11:15,0,0
11:22,0,0
11:30,0,0
11:35,0,0
11:42,0,0
11:50,0,0
11:55,0,0
12:02,0,0
12:10,0,0
12:15,0,0
12:22,0,0
12:30,0,0
12:35,0,0
12:42,0,0
12:50,0,0
12:55,0,0
13:02,0,0
13:10,0,0
13:15,0,0
13:22,0,0
13:30,0,0
13:35,0,0
13:42,0,0
13:50,0,0
13:55,0,0
14:02,0,0
14:10,0,0
14:15,0,0
14:22,0,0
14:30,0,0
14:35,0,0
14:42,0,0
14:50,0,0
14:55,0,0
15:02,0,0
15:10,0,0
15:15,0,0
15:22,0,0
15:30,0,0
15:35,0,0
15:42,0,0
15:50,0,0
15:55,0,0
16:02,0,0
16:10,0,0
16:15,0,0
16:22,0,0
16:30,0,0
16:35,0,0
16:42,0,0
16:50,0,0
16:55,0,0
17:02,0,0
17:10,0,0
17:15,0,0
17:21,0,0
17:28,0,0
17:33,0,0
17:37,0,0
17:44,0,0
17:51,0,0
17:55,0,0
18:02,0,0
18:09,0,0
18:13,0,0
18:18,0,0
18:24,0,0
18:31,0,0
18:37,0,0
18:42,0,0
18:49,0,0
18:54,0,0
18:59,0,0
19:05,0,0
19:12,0,0
19:16,0,0
19:23,0,0
19:31,0,0
19:36,0,0
19:41,0,0
19:46,0,0
19:51,0,0
19:56,0,0
20:01,0,0
20:07,0,0
20:11,0,0
20:16,0,0
20:21,0,0
20:26,0,0
20:31,0,0
20:36,0,0
20:41,0,0
20:47,0,0
20:51,0,0
20:57,0,0
21:02,0,0
21:07,0,0
21:12,0,0
21:17,0,0
21:22,0,0
21:27,0,0
21:32,0,0
21:36,0,0
21:42,0,0
21:47,0,0
21:52,0,0
21:58,0,0
22:04,0,0
22:10,0,0
22:16,0,0
22:22,0,0
22:29,0,0
22:36,0,0
22:43,0,0
22:50,0,0
22:56,0,0
23:03,0,0
23:10,0,0
23:17,0,0
23:24,0,0
23:31,0,0
23:38,0,0
23:45,0,0
23:52,0,0
23:59,0,0
00:06,0,0
