时间,是否始发站,是否终到站
05:17,0,0
05:27,0,0
05:37,0,0
05:47,0,0
05:57,0,0
06:06,0,0
06:16,0,0
06:26,0,0
06:33,0,0
06:39,0,0
06:46,0,0
06:52,0,0
06:59,0,0
07:05,0,0
07:11,0,0
07:17,0,0
07:22,0,0
07:27,0,0
07:31,0,0
07:36,0,0
07:40,0,0
07:45,0,0
07:49,0,0
07:54,0,0
07:58,0,0
08:03,0,0
08:08,0,0
08:12,0,0
08:16,0,0
08:21,0,0
08:26,0,0
08:30,0,0
08:34,0,0
08:39,0,0
08:43,0,0
08:48,0,0
08:52,0,0
08:57,0,0
09:01,0,0
09:06,0,0
09:10,0,0
09:15,0,0
09:19,0,0
09:24,0,0
09:30,0,0
09:37,0,0
09:42,0,0
09:49,0,0
09:56,0,0
10:02,0,0
10:09,0,0
10:17,0,0
10:24,0,0
10:32,0,0
10:36,0,0
10:44,0,0
10:52,0,0
10:57,0,0
11:05,0,0
11:12,0,0
11:17,0,0
11:24,0,0
11:32,0,0
11:37,0,0
11:44,0,0
11:52,0,0
11:57,0,0
12:04,0,0
12:12,0,0
12:17,0,0
12:24,0,0
12:32,0,0
12:37,0,0
12:44,0,0
12:52,0,0
12:57,0,0
13:04,0,0
13:12,0,0
13:17,0,0
13:24,0,0
13:32,0,0
13:37,0,0
13:44,0,0
13:52,0,0
13:57,0,0
14:04,0,0
14:12,0,0
14:17,0,0
14:24,0,0
14:32,0,0
14:37,0,0
14:44,0,0
14:52,0,0
14:57,0,0
15:04,0,0
15:12,0,0
15:17,0,0
15:24,0,0
15:32,0,0
15:37,0,0
15:44,0,0
15:52,0,0
15:57,0,0
16:04,0,0
16:12,0,0
16:16,0,0
16:24,0,0
16:30,0,0
16:34,0,0
16:39,0,0
16:46,0,0
16:52,0,0
16:57,0,0
17:04,0,0
17:10,0,0
17:15,0,0
17:19,0,0
17:27,0,0
17:34,0,0
17:37,0,0
17:45,0,0
17:51,0,0
17:56,0,0
18:00,0,0
18:07,0,0
18:13,0,0
18:18,0,0
18:25,0,0
18:33,0,0
18:38,0,0
18:43,0,0
18:50,0,0
18:58,0,0
19:06,0,0
19:13,0,0
19:18,0,0
19:23,0,0
19:30,0,0
19:38,0,0
19:46,0,0
19:54,0,0
19:59,0,0
20:04,0,0
20:09,0,0
20:14,0,0
20:19,0,0
20:24,0,0
20:29,0,0
20:33,0,0
20:39,0,0
20:44,0,0
20:49,0,0
20:55,0,0
21:01,0,0
21:07,0,0
21:13,0,0
21:19,0,0
21:26,0,0
21:33,0,0
21:40,0,0
21:47,0,0
21:54,0,0
22:00,0,0
22:07,0,0
22:14,0,0
22:21,0,0
22:28,0,0
22:35,0,0
22:42,0,0
22:49,0,0
22:56,0,0
23:03,0,0
