时间,是否始发站,是否终到站
05:22,0,0
05:32,0,0
05:41,0,0
05:52,0,0
06:02,0,0
06:11,0,0
06:21,0,0
06:30,0,0
06:37,0,0
06:44,0,0
06:50,0,0
06:57,0,0
07:03,0,0
07:10,0,0
07:16,0,0
07:21,0,0
07:27,0,0
07:31,0,0
07:36,0,0
07:40,0,0
07:45,0,0
07:49,0,0
07:54,0,0
07:58,0,0
08:03,0,0
08:07,0,0
08:13,0,0
08:16,0,0
08:21,0,0
08:25,0,0
08:31,0,0
08:34,0,0
08:39,0,0
08:43,0,0
08:48,0,0
08:52,0,0
08:57,0,0
09:01,0,0
09:06,0,0
09:10,0,0
09:15,0,0
09:19,0,0
09:24,0,0
09:28,0,0
09:35,0,0
09:42,0,0
09:46,0,0
09:53,0,0
10:01,0,0
10:06,0,0
10:14,0,0
10:21,0,0
10:29,0,0
10:36,0,0
10:41,0,0
10:49,0,0
10:56,0,0
11:01,0,0
11:09,0,0
11:16,0,0
11:21,0,0
11:29,0,0
11:36,0,0
11:41,0,0
11:49,0,0
11:56,0,0
12:01,0,0
12:09,0,0
12:16,0,0
12:21,0,0
12:29,0,0
12:36,0,0
12:41,0,0
12:49,0,0
12:56,0,0
13:01,0,0
13:09,0,0
13:16,0,0
13:21,0,0
13:29,0,0
13:36,0,0
13:41,0,0
13:49,0,0
13:56,0,0
14:01,0,0
14:09,0,0
14:16,0,0
14:21,0,0
14:29,0,0
14:36,0,0
14:41,0,0
14:49,0,0
14:56,0,0
15:01,0,0
15:09,0,0
15:16,0,0
15:21,0,0
15:29,0,0
15:36,0,0
15:41,0,0
15:49,0,0
15:56,0,0
16:01,0,0
16:09,0,0
16:16,0,0
16:21,0,0
16:28,0,0
16:34,0,0
16:39,0,0
16:43,0,0
16:51,0,0
16:57,0,0
17:01,0,0
17:09,0,0
17:15,0,0
17:19,0,0
17:24,0,0
17:31,0,0
17:38,0,0
17:42,0,0
17:49,0,0
17:55,0,0
18:01,0,0
18:05,0,0
18:12,0,0
18:18,0,0
18:22,0,0
18:30,0,0
18:37,0,0
18:42,0,0
18:47,0,0
18:55,0,0
19:02,0,0
19:10,0,0
19:17,0,0
19:22,0,0
19:27,0,0
19:35,0,0
19:42,0,0
19:50,0,0
19:58,0,0
20:03,0,0
20:08,0,0
20:13,0,0
20:18,0,0
20:23,0,0
20:28,0,0
20:33,0,0
20:37,0,0
20:43,0,0
20:48,0,0
20:53,0,0
21:00,0,0
21:05,0,0
21:11,0,0
21:17,0,0
21:23,0,0
21:30,0,0
21:37,0,0
21:44,0,0
21:51,0,0
21:58,0,0
22:05,0,0
22:11,0,0
22:18,0,0
22:25,0,0
22:32,0,0
22:39,0,0
22:46,0,0
22:53,0,0
23:00,0,0
23:08,0,0
