时间,是否始发站,是否终到站
05:23,0,0
05:33,0,0
05:44,0,0
05:54,0,0
06:04,0,0
06:15,0,0
06:23,0,0
06:33,0,0
06:43,0,0
06:53,0,0
06:59,0,0
07:05,0,0
07:12,0,0
07:18,0,0
07:23,0,0
07:27,0,0
07:32,0,0
07:39,0,0
07:45,0,0
07:52,0,0
07:58,0,0
08:05,0,0
08:11,0,0
08:18,0,0
08:25,0,0
08:33,0,0
08:38,0,0
08:44,0,0
08:51,0,0
08:56,0,0
09:02,0,0
09:09,0,0
09:14,0,0
09:20,0,0
09:27,0,0
09:32,0,0
09:38,0,0
09:45,0,0
09:49,0,0
09:56,0,0
10:03,0,0
10:07,0,0
10:14,0,0
10:21,0,0
10:25,0,0
10:32,0,0
10:39,0,0
10:43,0,0
10:50,0,0
10:57,0,0
11:02,0,0
11:08,0,0
11:13,0,0
11:18,0,0
11:25,0,0
11:33,0,0
11:38,0,0
11:45,0,0
11:53,0,0
11:58,0,0
12:05,0,0
12:13,0,0
12:18,0,0
12:25,0,0
12:33,0,0
12:38,0,0
12:45,0,0
12:53,0,0
12:58,0,0
13:05,0,0
13:13,0,0
13:18,0,0
13:25,0,0
13:33,0,0
13:38,0,0
13:45,0,0
13:53,0,0
13:58,0,0
14:05,0,0
14:13,0,0
14:18,0,0
14:25,0,0
14:33,0,0
14:38,0,0
14:45,0,0
14:53,0,0
14:58,0,0
15:05,0,0
15:13,0,0
15:18,0,0
15:25,0,0
15:33,0,0
15:38,0,0
15:45,0,0
15:53,0,0
15:58,0,0
16:05,0,0
16:13,0,0
16:18,0,0
16:25,0,0
16:32,0,0
16:38,0,0
16:45,0,0
16:53,0,0
16:58,0,0
17:05,0,0
17:13,0,0
17:18,0,0
17:24,0,0
17:31,0,0
17:36,0,0
17:40,0,0
17:47,0,0
17:53,0,0
17:58,0,0
18:05,0,0
18:11,0,0
18:16,0,0
18:21,0,0
18:27,0,0
18:34,0,0
18:39,0,0
18:45,0,0
18:52,0,0
18:57,0,0
19:02,0,0
19:08,0,0
19:15,0,0
19:19,0,0
19:26,0,0
19:34,0,0
19:39,0,0
19:44,0,0
19:49,0,0
19:54,0,0
19:59,0,0
20:04,0,0
20:09,0,0
20:14,0,0
20:19,0,0
20:24,0,0
20:29,0,0
20:34,0,0
20:39,0,0
20:44,0,0
20:50,0,0
20:54,0,0
21:00,0,0
21:05,0,0
21:10,0,0
21:15,0,0
21:20,0,0
21:24,0,0
21:30,0,0
21:35,0,0
21:39,0,0
21:45,0,0
21:50,0,0
21:55,0,0
22:01,0,0
22:07,0,0
22:12,0,0
22:19,0,0
22:25,0,0
22:32,0,0
22:39,0,0
22:46,0,0
22:52,0,0
22:59,0,0
23:06,0,0
23:12,0,0
23:20,0,0
23:27,0,0
23:34,0,0
23:41,0,0
23:48,0,0
23:55,0,0
00:02,0,0
00:09,0,0
