时间,是否始发站,是否终到站
05:28,0,0
05:38,0,0
05:49,0,0
05:59,0,0
06:09,0,0
06:20,0,0
06:28,0,0
06:38,0,0
06:48,0,0
06:58,0,0
07:04,0,0
07:10,0,0
07:17,0,0
07:23,0,0
07:28,0,0
07:32,0,0
07:37,0,0
07:44,0,0
07:50,0,0
07:57,0,0
08:03,0,0
08:10,0,0
08:16,0,0
08:23,0,0
08:30,0,0
08:38,0,0
08:43,0,0
08:49,0,0
08:56,0,0
09:01,0,0
09:07,0,0
09:14,0,0
09:19,0,0
09:25,0,0
09:32,0,0
09:37,0,0
09:43,0,0
09:50,0,0
09:54,0,0
10:01,0,0
10:08,0,0
10:12,0,0
10:19,0,0
10:26,0,0
10:30,0,0
10:37,0,0
10:44,0,0
10:48,0,0
10:55,0,0
11:02,0,0
11:07,0,0
11:13,0,0
11:18,0,0
11:23,0,0
11:30,0,0
11:38,0,0
11:43,0,0
11:50,0,0
11:58,0,0
12:03,0,0
12:10,0,0
12:18,0,0
12:23,0,0
12:30,0,0
12:38,0,0
12:43,0,0
12:50,0,0
12:58,0,0
13:03,0,0
13:10,0,0
13:18,0,0
13:23,0,0
13:30,0,0
13:38,0,0
13:43,0,0
13:50,0,0
13:58,0,0
14:03,0,0
14:10,0,0
14:18,0,0
14:23,0,0
14:30,0,0
14:38,0,0
14:43,0,0
14:50,0,0
14:58,0,0
15:03,0,0
15:10,0,0
15:18,0,0
15:23,0,0
15:30,0,0
15:38,0,0
15:43,0,0
15:50,0,0
15:58,0,0
16:03,0,0
16:10,0,0
16:18,0,0
16:23,0,0
16:30,0,0
16:38,0,0
16:43,0,0
16:50,0,0
16:58,0,0
17:03,0,0
17:10,0,0
17:18,0,0
17:23,0,0
17:29,0,0
17:36,0,0
17:41,0,0
17:45,0,0
17:52,0,0
17:59,0,0
18:03,0,0
18:10,0,0
18:17,0,0
18:21,0,0
18:26,0,0
18:32,0,0
18:39,0,0
18:45,0,0
18:50,0,0
18:57,0,0
19:02,0,0
19:07,0,0
19:13,0,0
19:20,0,0
19:24,0,0
19:31,0,0
19:39,0,0
19:44,0,0
19:49,0,0
19:54,0,0
19:59,0,0
20:04,0,0
20:09,0,0
20:15,0,0
20:19,0,0
20:24,0,0
20:29,0,0
20:34,0,0
20:39,0,0
20:44,0,0
20:49,0,0
20:55,0,0
20:59,0,0
21:05,0,0
21:10,0,0
21:15,0,0
21:20,0,0
21:25,0,0
21:30,0,0
21:35,0,0
21:40,0,0
21:44,0,0
21:50,0,0
21:55,0,0
22:00,0,0
22:06,0,0
22:12,0,0
22:18,0,0
22:24,0,0
22:30,0,0
22:37,0,0
22:44,0,0
22:51,0,0
22:58,0,0
23:05,0,0
23:11,0,0
23:18,0,0
23:25,0,0
23:32,0,0
23:39,0,0
23:46,0,0
23:53,0,0
00:00,0,0
00:07,0,0
00:14,0,0
