时间,是否始发站,是否终到站
05:31,0,0
05:41,0,0
05:52,0,0
06:02,0,0
06:12,0,0
06:23,0,0
06:31,0,0
06:41,0,0
06:51,0,0
07:01,0,0
07:07,0,0
07:13,0,0
07:20,0,0
07:26,0,0
07:31,0,0
07:35,0,0
07:40,0,0
07:47,0,0
07:53,0,0
08:00,0,0
08:06,0,0
08:13,0,0
08:19,0,0
08:26,0,0
08:33,0,0
08:41,0,0
08:46,0,0
08:52,0,0
08:59,0,0
09:04,0,0
09:10,0,0
09:17,0,0
09:22,0,0
09:28,0,0
09:35,0,0
09:40,0,0
09:46,0,0
09:53,0,0
09:57,0,0
10:04,0,0
10:11,0,0
10:15,0,0
10:22,0,0
10:29,0,0
10:33,0,0
10:40,0,0
10:47,0,0
10:51,0,0
10:58,0,0
11:05,0,0
11:10,0,0
11:16,0,0
11:21,0,0
11:26,0,0
11:33,0,0
11:41,0,0
11:46,0,0
11:53,0,0
12:01,0,0
12:06,0,0
12:13,0,0
12:21,0,0
12:26,0,0
12:33,0,0
12:41,0,0
12:46,0,0
12:53,0,0
13:01,0,0
13:06,0,0
13:13,0,0
13:21,0,0
13:26,0,0
13:33,0,0
13:41,0,0
13:46,0,0
13:53,0,0
14:01,0,0
14:06,0,0
14:13,0,0
14:21,0,0
14:26,0,0
14:33,0,0
14:41,0,0
14:46,0,0
14:53,0,0
15:01,0,0
15:06,0,0
15:13,0,0
15:21,0,0
15:26,0,0
15:33,0,0
15:41,0,0
15:46,0,0
15:53,0,0
16:01,0,0
16:06,0,0
16:13,0,0
16:21,0,0
16:26,0,0
16:33,0,0
16:41,0,0
16:46,0,0
16:53,0,0
17:01,0,0
17:06,0,0
17:13,0,0
17:21,0,0
17:26,0,0
17:32,0,0
17:39,0,0
17:44,0,0
17:48,0,0
17:55,0,0
18:02,0,0
18:06,0,0
18:13,0,0
18:20,0,0
18:24,0,0
18:29,0,0
18:35,0,0
18:42,0,0
18:48,0,0
18:53,0,0
19:00,0,0
19:05,0,0
19:10,0,0
19:16,0,0
19:23,0,0
19:27,0,0
19:34,0,0
19:42,0,0
19:47,0,0
19:52,0,0
19:57,0,0
20:02,0,0
20:07,0,0
20:12,0,0
20:18,0,0
20:22,0,0
20:27,0,0
20:32,0,0
20:37,0,0
20:42,0,0
20:47,0,0
20:52,0,0
20:58,0,0
21:02,0,0
21:08,0,0
21:13,0,0
21:18,0,0
21:23,0,0
21:28,0,0
21:33,0,0
21:38,0,0
21:43,0,0
21:47,0,0
21:53,0,0
21:58,0,0
22:03,0,0
22:09,0,0
22:15,0,0
22:21,0,0
22:27,0,0
22:33,0,0
22:40,0,0
22:47,0,0
22:54,0,0
23:01,0,0
23:08,0,0
23:14,0,0
23:21,0,0
23:28,0,0
23:35,0,0
23:42,0,0
23:49,0,0
23:56,0,0
00:03,0,0
00:10,0,0
00:17,0,0
