时间,是否始发站,是否终到站
05:29,0,0
05:39,0,0
05:49,0,0
05:59,0,0
06:09,0,0
06:18,0,0
06:28,0,0
06:38,0,0
06:45,0,0
06:51,0,0
06:58,0,0
07:04,0,0
07:11,0,0
07:17,0,0
07:23,0,0
07:29,0,0
07:34,0,0
07:39,0,0
07:43,0,0
07:48,0,0
07:52,0,0
07:57,0,0
08:01,0,0
08:06,0,0
08:10,0,0
08:15,0,0
08:20,0,0
08:24,0,0
08:28,0,0
08:33,0,0
08:38,0,0
08:42,0,0
08:46,0,0
08:51,0,0
08:55,0,0
09:00,0,0
09:04,0,0
09:09,0,0
09:13,0,0
09:18,0,0
09:22,0,0
09:27,0,0
09:31,0,0
09:36,0,0
09:40,0,0
09:43,0,0
09:49,0,0
09:54,0,0
09:59,0,0
10:02,0,0
10:08,0,0
10:14,0,0
10:19,0,0
10:22,0,0
10:29,0,0
10:34,0,0
10:37,0,0
10:44,0,0
10:48,0,0
10:53,0,0
10:57,0,0
11:04,0,0
11:09,0,0
11:14,0,0
11:17,0,0
11:24,0,0
11:29,0,0
11:34,0,0
11:37,0,0
11:44,0,0
11:49,0,0
11:54,0,0
11:57,0,0
12:04,0,0
12:09,0,0
12:14,0,0
12:17,0,0
12:24,0,0
12:29,0,0
12:33,0,0
12:37,0,0
12:44,0,0
12:49,0,0
12:53,0,0
12:57,0,0
13:04,0,0
13:09,0,0
13:13,0,0
13:17,0,0
13:24,0,0
13:29,0,0
13:33,0,0
13:37,0,0
13:44,0,0
13:49,0,0
13:53,0,0
13:57,0,0
14:04,0,0
14:09,0,0
14:13,0,0
14:17,0,0
14:24,0,0
14:29,0,0
14:33,0,0
14:37,0,0
14:44,0,0
14:49,0,0
14:53,0,0
14:57,0,0
15:04,0,0
15:09,0,0
15:13,0,0
15:17,0,0
15:24,0,0
15:29,0,0
15:33,0,0
15:37,0,0
15:44,0,0
15:48,0,0
15:53,0,0
15:57,0,0
16:04,0,0
16:09,0,0
16:13,0,0
16:17,0,0
16:24,0,0
16:28,0,0
16:33,0,0
16:36,0,0
16:42,0,0
16:46,0,0
16:51,0,0
16:55,0,0
16:59,0,0
17:04,0,0
17:09,0,0
17:13,0,0
17:17,0,0
17:22,0,0
17:27,0,0
17:31,0,0
17:35,0,0
17:40,0,0
17:45,0,0
17:49,0,0
17:54,0,0
17:58,0,0
18:03,0,0
18:08,0,0
18:12,0,0
18:17,0,0
18:20,0,0
18:25,0,0
18:30,0,0
18:35,0,0
18:38,0,0
18:45,0,0
18:50,0,0
18:55,0,0
19:00,0,0
19:03,0,0
19:10,0,0
19:15,0,0
19:18,0,0
19:25,0,0
19:30,0,0
19:35,0,0
19:40,0,0
19:43,0,0
19:50,0,0
19:56,0,0
19:59,0,0
20:06,0,0
20:11,0,0
20:16,0,0
20:21,0,0
20:26,0,0
20:31,0,0
20:36,0,0
20:41,0,0
20:45,0,0
20:51,0,0
20:56,0,0
21:01,0,0
21:07,0,0
21:13,0,0
21:19,0,0
21:25,0,0
21:31,0,0
21:38,0,0
21:45,0,0
21:52,0,0
21:59,0,0
22:05,0,0
22:12,0,0
22:18,0,0
22:26,0,0
22:33,0,0
22:40,0,0
22:47,0,0
22:54,0,0
23:01,0,0
23:08,0,0
23:15,0,0
