时间,是否始发站,是否终到站
05:17,0,0
05:28,0,0
05:39,0,0
05:49,0,0
05:59,0,0
06:10,0,0
06:18,0,0
06:28,0,0
06:37,0,0
06:48,0,0
06:54,0,0
07:00,0,0
07:07,0,0
07:13,0,0
07:18,0,0
07:22,0,0
07:26,0,0
07:33,0,0
07:40,0,0
07:46,0,0
07:53,0,0
07:59,0,0
08:06,0,0
08:12,0,0
08:19,0,0
08:23,0,1
08:27,0,0
08:32,0,0
08:38,0,0
08:41,0,1
08:45,0,0
08:50,0,0
08:56,0,0
08:59,0,1
09:03,0,0
09:09,0,0
09:14,0,0
09:17,0,1
09:21,0,0
09:27,0,0
09:32,0,0
09:35,0,1
09:39,0,0
09:44,0,0
09:50,0,0
09:53,0,1
09:57,0,0
10:02,0,0
10:08,0,0
10:11,0,1
10:15,0,0
10:20,0,0
10:26,0,0
10:29,0,1
10:33,0,0
10:38,0,0
10:44,0,0
10:47,0,1
10:52,0,0
10:57,0,0
11:02,0,0
11:07,0,0
11:12,0,0
11:20,0,0
11:22,0,1
11:27,0,0
11:32,0,0
11:39,0,0
11:41,0,1
11:47,0,0
11:52,0,0
12:00,0,0
12:02,0,1
12:08,0,0
12:12,0,0
12:20,0,0
12:22,0,1
12:27,0,0
12:32,0,0
12:40,0,0
12:42,0,1
12:47,0,0
12:52,0,0
13:00,0,0
13:02,0,1
13:07,0,0
13:12,0,0
13:20,0,0
13:22,0,1
13:27,0,0
13:32,0,0
13:39,0,0
13:41,0,1
13:47,0,0
13:52,0,0
13:59,0,0
14:02,0,1
14:07,0,0
14:12,0,0
14:19,0,0
14:22,0,1
14:27,0,0
14:32,0,0
14:39,0,0
14:42,0,1
14:47,0,0
14:52,0,0
14:59,0,0
15:02,0,1
15:07,0,0
15:12,0,0
15:19,0,0
15:22,0,1
15:27,0,0
15:32,0,0
15:39,0,0
15:42,0,1
15:47,0,0
15:52,0,0
15:59,0,0
16:02,0,1
16:07,0,0
16:12,0,0
16:19,0,0
16:22,0,1
16:27,0,0
16:32,0,0
16:39,0,0
16:42,0,1
16:47,0,0
16:52,0,0
16:59,0,0
17:02,0,1
17:07,0,0
17:12,0,0
17:19,0,0
17:20,0,1
17:26,0,0
17:30,0,0
17:35,0,0
17:41,0,0
17:44,0,1
17:48,0,0
17:53,0,0
17:59,0,0
18:01,0,1
18:06,0,0
18:11,0,0
18:15,0,0
18:22,0,0
18:24,0,1
18:29,0,0
18:34,0,0
18:40,0,0
18:43,0,1
18:47,0,0
18:51,0,0
18:57,0,0
19:02,0,0
19:05,0,1
19:09,0,0
19:14,0,0
19:21,0,0
19:23,0,1
19:28,0,0
19:33,0,0
19:38,0,0
19:43,0,0
19:48,0,0
19:53,0,0
19:58,0,0
20:04,0,0
20:09,0,0
20:13,0,0
20:18,0,0
20:23,0,0
20:28,0,0
20:33,0,0
20:38,0,0
20:45,0,0
20:49,0,0
20:54,0,0
20:59,0,0
21:04,0,0
21:09,0,0
21:14,0,0
21:19,0,0
21:24,0,0
21:29,0,0
21:33,0,0
21:39,0,0
21:44,0,0
21:49,0,0
21:56,0,0
22:01,0,0
22:07,0,0
22:13,0,0
22:19,0,0
22:26,0,0
22:33,0,0
22:40,0,0
22:47,0,0
22:54,0,0
23:01,0,0
23:07,0,0
23:14,0,0
23:21,0,0
23:28,0,0
23:35,0,0
23:42,0,0
23:49,0,0
23:56,0,0
00:04,0,0
