时间,是否始发站,是否终到站
05:34,0,1
05:44,0,1
05:55,0,1
06:05,0,1
06:15,0,1
06:26,0,1
06:34,0,1
06:44,0,1
06:54,0,1
07:04,0,1
07:10,0,1
07:16,0,1
07:23,0,1
07:29,0,1
07:34,0,1
07:38,0,1
07:43,0,1
07:50,0,1
07:56,0,1
08:03,0,1
08:09,0,1
08:16,0,1
08:22,0,1
08:29,0,1
08:36,0,1
08:44,0,1
08:49,0,1
08:55,0,1
09:02,0,1
09:07,0,1
09:13,0,1
09:20,0,1
09:25,0,1
09:31,0,1
09:38,0,1
09:43,0,1
09:49,0,1
09:56,0,1
10:00,0,1
10:07,0,1
10:14,0,1
10:18,0,1
10:25,0,1
10:32,0,1
10:36,0,1
10:43,0,1
10:50,0,1
10:54,0,1
11:01,0,1
11:08,0,1
11:13,0,1
11:19,0,1
11:24,0,1
11:29,0,1
11:36,0,1
11:44,0,1
11:49,0,1
11:56,0,1
12:04,0,1
12:09,0,1
12:16,0,1
12:24,0,1
12:29,0,1
12:36,0,1
12:44,0,1
12:49,0,1
12:56,0,1
13:04,0,1
13:09,0,1
13:16,0,1
13:24,0,1
13:29,0,1
13:36,0,1
13:44,0,1
13:49,0,1
13:56,0,1
14:04,0,1
14:09,0,1
14:16,0,1
14:24,0,1
14:29,0,1
14:36,0,1
14:44,0,1
14:49,0,1
14:56,0,1
15:04,0,1
15:09,0,1
15:16,0,1
15:24,0,1
15:29,0,1
15:36,0,1
15:44,0,1
15:49,0,1
15:56,0,1
16:04,0,1
16:09,0,1
16:16,0,1
16:24,0,1
16:29,0,1
16:36,0,1
16:44,0,1
16:49,0,1
16:56,0,1
17:04,0,1
17:09,0,1
17:16,0,1
17:24,0,1
17:29,0,1
17:35,0,1
17:42,0,1
17:47,0,1
17:51,0,1
17:58,0,1
18:05,0,1
18:09,0,1
18:16,0,1
18:23,0,1
18:27,0,1
18:32,0,1
18:38,0,1
18:45,0,1
18:51,0,1
18:56,0,1
19:03,0,1
19:08,0,1
19:13,0,1
19:19,0,1
19:26,0,1
19:30,0,1
19:37,0,1
19:45,0,1
19:50,0,1
19:55,0,1
20:00,0,1
20:05,0,1
20:10,0,1
20:15,0,1
20:21,0,1
20:25,0,1
20:30,0,1
20:35,0,1
20:40,0,1
20:45,0,1
20:50,0,1
20:55,0,1
21:01,0,1
21:05,0,1
21:11,0,1
21:16,0,1
21:21,0,1
21:26,0,1
21:31,0,1
21:36,0,1
21:41,0,1
21:46,0,1
21:50,0,1
21:56,0,1
22:01,0,1
22:06,0,1
22:12,0,1
22:18,0,1
22:24,0,1
22:30,0,1
22:36,0,1
22:43,0,1
22:50,0,1
22:57,0,1
23:04,0,1
23:11,0,1
23:17,0,1
23:24,0,1
23:31,0,1
23:38,0,1
23:45,0,1
23:52,0,1
23:59,0,1
00:06,0,1
00:13,0,1
00:20,0,1
