时间,是否始发站,是否终到站
05:15,0,0
05:25,0,0
05:35,0,0
05:45,0,0
05:55,0,0
06:04,0,0
06:14,0,0
06:24,0,0
06:31,0,0
06:38,0,0
06:44,0,0
06:51,0,0
06:57,0,0
07:03,0,0
07:10,0,0
07:15,0,0
07:21,0,0
07:25,1,0
07:30,0,0
07:34,0,0
07:39,0,0
07:43,1,0
07:48,0,0
07:52,0,0
07:57,1,0
08:01,0,0
08:06,1,0
08:10,0,0
08:15,0,0
08:19,0,0
08:24,1,0
08:28,0,0
08:33,1,0
08:37,0,0
08:42,0,0
08:46,1,0
08:51,0,0
08:55,0,0
09:00,1,0
09:04,0,0
09:09,0,0
09:13,0,0
09:18,0,0
09:22,0,0
09:29,0,0
09:36,0,0
09:40,0,0
09:47,0,0
09:55,0,0
10:00,0,0
10:08,0,0
10:15,0,0
10:23,0,0
10:30,0,0
10:35,0,0
10:43,0,0
10:50,0,0
10:55,0,0
11:03,0,0
11:10,0,0
11:15,0,0
11:23,0,0
11:30,0,0
11:35,0,0
11:43,0,0
11:50,0,0
11:55,0,0
12:03,0,0
12:10,0,0
12:15,0,0
12:23,0,0
12:30,0,0
12:35,0,0
12:43,0,0
12:50,0,0
12:55,0,0
13:03,0,0
13:10,0,0
13:15,0,0
13:23,0,0
13:30,0,0
13:35,0,0
13:43,0,0
13:50,0,0
13:55,0,0
14:03,0,0
14:10,0,0
14:15,0,0
14:23,0,0
14:30,0,0
14:35,0,0
14:42,0,0
14:50,0,0
14:55,0,0
15:03,0,0
15:10,0,0
15:15,0,0
15:22,0,0
15:30,0,0
15:35,0,0
15:43,0,0
15:50,0,0
15:55,0,0
16:03,0,0
16:10,0,0
16:15,0,0
16:22,0,0
16:28,0,0
16:33,0,0
16:37,0,0
16:44,0,0
16:51,1,0
16:55,0,0
17:02,0,0
17:09,0,0
17:13,0,0
17:18,0,0
17:25,0,0
17:32,0,0
17:36,0,0
17:43,0,0
17:49,0,0
17:54,0,0
17:58,0,0
18:06,0,0
18:12,0,0
18:16,0,0
18:24,0,0
18:31,0,0
18:36,0,0
18:41,0,0
18:49,0,0
18:56,0,0
19:04,0,0
19:11,0,0
19:16,0,0
19:21,0,0
19:29,0,0
19:36,0,0
19:44,0,0
19:52,0,0
19:57,0,0
20:02,0,0
20:07,0,0
20:12,0,0
20:17,0,0
20:22,0,0
20:27,0,0
20:31,0,0
20:37,0,0
20:42,0,0
20:47,0,0
20:53,0,0
20:59,0,0
21:05,0,0
21:11,0,0
21:17,0,0
21:24,0,0
21:31,0,0
21:38,0,0
21:45,0,0
21:52,0,0
21:58,0,0
22:05,0,0
22:12,0,0
22:19,0,0
22:26,0,0
22:33,0,0
22:40,0,0
22:47,0,0
22:54,0,0
23:01,0,0
