时间,是否始发站,是否终到站
05:08,1,0
05:19,0,0
05:30,0,0
05:40,0,0
05:50,0,0
06:01,0,0
06:09,0,0
06:19,0,0
06:29,0,0
06:39,0,0
06:45,0,0
06:51,0,0
06:58,0,0
07:04,0,0
07:09,0,0
07:14,0,0
07:18,0,0
07:25,0,0
07:32,0,0
07:38,0,0
07:45,0,0
07:51,0,0
07:57,0,0
08:04,0,0
08:09,0,0
08:15,0,0
08:19,0,0
08:24,0,0
08:28,0,0
08:33,0,0
08:37,0,0
08:42,0,0
08:46,0,0
08:51,0,0
08:55,0,0
09:00,0,0
09:04,0,0
09:09,0,0
09:13,0,0
09:18,0,0
09:22,0,0
09:27,0,0
09:31,0,0
09:36,0,0
09:40,0,0
09:45,0,0
09:49,0,0
09:54,0,0
09:58,0,0
10:03,0,0
10:07,0,0
10:12,0,0
10:16,0,0
10:21,0,0
10:25,0,0
10:30,0,0
10:34,0,0
10:39,0,0
10:44,0,0
10:49,0,0
10:54,0,0
10:59,0,0
11:04,0,0
11:09,0,0
11:14,0,0
11:19,0,0
11:24,0,0
11:29,0,0
11:33,0,0
11:39,0,0
11:44,0,0
11:49,0,0
11:54,0,0
11:59,0,0
12:04,0,0
12:09,0,0
12:14,0,0
12:19,0,0
12:24,0,0
12:29,0,0
12:34,0,0
12:39,0,0
12:44,0,0
12:49,0,0
12:54,0,0
12:59,0,0
13:04,0,0
13:09,0,0
13:13,0,0
13:19,0,0
13:24,0,0
13:29,0,0
13:33,0,0
13:39,0,0
13:44,0,0
13:49,0,0
13:53,0,0
13:59,0,0
14:04,0,0
14:09,0,0
14:13,0,0
14:19,0,0
14:24,0,0
14:29,0,0
14:33,0,0
14:39,0,0
14:44,0,0
14:49,0,0
14:53,0,0
14:59,0,0
15:04,0,0
15:09,0,0
15:13,0,0
15:19,0,0
15:24,0,0
15:29,0,0
15:33,0,0
15:39,0,0
15:44,0,0
15:49,0,0
15:53,0,0
15:59,0,0
16:04,0,0
16:09,0,0
16:13,0,0
16:19,0,0
16:24,0,0
16:29,0,0
16:33,0,0
16:39,0,0
16:44,0,0
16:49,0,0
16:53,0,0
16:59,0,0
17:04,0,0
17:09,0,0
17:13,0,0
17:17,0,0
17:22,0,0
17:27,0,0
17:31,0,0
17:36,0,0
17:40,0,0
17:45,0,0
17:49,0,0
17:53,0,0
17:58,0,0
18:03,0,0
18:07,0,0
18:12,0,0
18:15,0,0
18:20,0,0
18:26,0,0
18:30,0,0
18:35,0,0
18:38,0,0
18:43,0,0
18:48,0,0
18:52,0,0
18:57,0,0
19:01,0,0
19:06,0,0
19:10,0,0
19:15,0,0
19:20,0,0
19:25,0,0
19:30,0,0
19:35,0,0
19:40,0,0
19:45,0,0
19:50,0,0
19:56,0,0
20:00,0,0
20:05,0,0
20:10,0,0
20:15,0,0
20:20,0,0
20:25,0,0
20:30,0,0
20:36,0,0
20:41,0,0
20:46,0,0
20:51,0,0
20:56,0,0
21:01,0,0
21:06,0,0
21:11,0,0
21:16,0,0
21:21,0,0
21:25,0,0
21:31,0,0
21:36,0,0
21:41,0,0
21:47,0,0
21:53,0,0
21:59,0,0
22:05,0,0
22:11,0,0
22:18,0,0
22:25,0,0
22:32,0,0
22:39,0,0
22:46,0,0
22:52,0,0
22:59,0,0
23:06,0,0
23:13,0,0
23:20,0,0
23:27,0,0
23:34,0,0
23:41,0,0
23:48,0,0
23:55,0,0
