时间,是否始发站,是否终到站
04:59,0,0
05:10,0,0
05:20,0,0
05:30,0,0
05:41,0,0
05:49,0,0
05:59,0,0
06:09,0,0
06:19,0,0
06:25,0,0
06:30,0,0
06:38,0,0
06:44,0,0
06:49,0,0
06:53,0,0
06:58,0,0
07:05,0,0
07:11,0,0
07:18,0,0
07:24,0,0
07:31,0,0
07:37,0,0
07:43,0,0
07:49,0,0
07:54,0,0
07:59,0,0
08:03,0,0
08:08,0,0
08:12,0,0
08:17,0,0
08:21,0,0
08:26,0,0
08:30,0,0
08:35,0,0
08:40,0,0
08:44,0,0
08:48,0,0
08:53,0,0
08:58,0,0
09:02,0,0
09:06,0,0
09:11,0,0
09:15,0,0
09:20,0,0
09:24,0,0
09:29,0,0
09:33,0,0
09:38,0,0
09:42,0,0
09:47,0,0
09:51,0,0
09:56,0,0
10:00,0,0
10:05,0,0
10:09,0,0
10:14,0,0
10:19,0,0
10:23,0,0
10:28,0,0
10:34,0,0
10:39,0,0
10:44,0,0
10:49,0,0
10:54,0,0
10:59,0,0
11:04,0,0
11:08,0,0
11:13,0,0
11:19,0,0
11:24,0,0
11:29,0,0
11:34,0,0
11:39,0,0
11:44,0,0
11:49,0,0
11:54,0,0
11:59,0,0
12:04,0,0
12:09,0,0
12:14,0,0
12:19,0,0
12:24,0,0
12:29,0,0
12:34,0,0
12:39,0,0
12:44,0,0
12:49,0,0
12:53,0,0
12:59,0,0
13:04,0,0
13:09,0,0
13:13,0,0
13:19,0,0
13:24,0,0
13:29,0,0
13:33,0,0
13:39,0,0
13:44,0,0
13:49,0,0
13:53,0,0
13:59,0,0
14:04,0,0
14:09,0,0
14:13,0,0
14:19,0,0
14:24,0,0
14:29,0,0
14:33,0,0
14:39,0,0
14:44,0,0
14:49,0,0
14:53,0,0
14:59,0,0
15:04,0,0
15:09,0,0
15:13,0,0
15:19,0,0
15:24,0,0
15:29,0,0
15:33,0,0
15:39,0,0
15:44,0,0
15:49,0,0
15:53,0,0
15:58,0,0
16:04,0,0
16:08,0,0
16:13,0,0
16:19,0,0
16:24,0,0
16:29,0,0
16:33,0,0
16:39,0,0
16:44,0,0
16:48,0,0
16:53,0,0
16:57,0,0
17:02,0,0
17:06,0,0
17:11,0,0
17:16,0,0
17:19,0,0
17:24,0,0
17:29,0,0
17:33,0,0
17:37,0,0
17:42,0,0
17:47,0,0
17:51,0,0
17:55,0,0
18:00,0,0
18:05,0,0
18:09,0,0
18:15,0,0
18:18,0,0
18:23,0,0
18:28,0,0
18:32,0,0
18:37,0,0
18:41,0,0
18:45,0,0
18:50,0,0
18:55,0,0
19:00,0,0
19:05,0,0
19:10,0,0
19:15,0,0
19:20,0,0
19:25,0,0
19:30,0,0
19:36,0,0
19:40,0,0
19:45,0,0
19:50,0,0
19:55,0,0
20:00,0,0
20:05,0,0
20:10,0,0
20:16,0,0
20:20,0,0
20:26,0,0
20:31,0,0
20:36,0,0
20:41,0,0
20:46,0,0
20:51,0,0
20:56,0,0
21:01,0,0
21:05,0,0
21:11,0,0
21:16,0,0
21:21,0,0
21:27,0,0
21:33,0,0
21:39,0,0
21:45,0,0
21:51,0,0
21:58,0,0
22:05,0,0
22:12,0,0
22:19,0,0
22:25,0,0
22:32,0,0
22:38,0,0
22:46,0,0
22:53,0,0
23:00,0,0
23:07,0,0
23:14,0,0
23:21,0,0
23:28,0,0
23:35,0,0
