时间,是否始发站,是否终到站
05:13,0,0
05:23,0,0
05:34,0,0
05:44,0,0
05:54,0,0
06:05,0,0
06:13,0,0
06:23,0,0
06:33,0,0
06:43,0,0
06:49,0,0
06:55,0,0
07:02,0,0
07:08,0,0
07:13,0,0
07:18,0,0
07:22,0,0
07:29,0,0
07:36,0,0
07:42,0,0
07:49,0,0
07:55,0,0
08:01,0,0
08:08,0,0
08:14,0,0
08:19,0,0
08:23,0,0
08:28,0,0
08:33,0,0
08:37,0,0
08:41,0,0
08:46,0,0
08:51,0,0
08:55,0,0
08:59,0,0
09:04,0,0
09:09,0,0
09:13,0,0
09:17,0,0
09:22,0,0
09:27,0,0
09:31,0,0
09:35,0,0
09:40,0,0
09:45,0,0
09:49,0,0
09:53,0,0
09:58,0,0
10:03,0,0
10:07,0,0
10:11,0,0
10:16,0,0
10:21,0,0
10:25,0,0
10:29,0,0
10:34,0,0
10:39,0,0
10:43,0,0
10:48,0,0
10:53,0,0
10:58,0,0
11:03,0,0
11:08,0,0
11:14,0,0
11:18,0,0
11:23,0,0
11:28,0,0
11:34,0,0
11:37,0,0
11:43,0,0
11:48,0,0
11:54,0,0
11:58,0,0
12:03,0,0
12:08,0,0
12:14,0,0
12:18,0,0
12:23,0,0
12:28,0,0
12:34,0,0
12:38,0,0
12:43,0,0
12:48,0,0
12:54,0,0
12:58,0,0
13:03,0,0
13:08,0,0
13:14,0,0
13:17,0,0
13:23,0,0
13:28,0,0
13:34,0,0
13:37,0,0
13:43,0,0
13:48,0,0
13:54,0,0
13:57,0,0
14:03,0,0
14:08,0,0
14:14,0,0
14:17,0,0
14:23,0,0
14:28,0,0
14:34,0,0
14:37,0,0
14:43,0,0
14:48,0,0
14:54,0,0
14:57,0,0
15:03,0,0
15:08,0,0
15:14,0,0
15:17,0,0
15:23,0,0
15:28,0,0
15:34,0,0
15:37,0,0
15:43,0,0
15:48,0,0
15:54,0,0
15:57,0,0
16:03,0,0
16:08,0,0
16:14,0,0
16:17,0,0
16:23,0,0
16:28,0,0
16:34,0,0
16:37,0,0
16:43,0,0
16:48,0,0
16:54,0,0
16:57,0,0
17:03,0,0
17:08,0,0
17:13,0,0
17:17,0,0
17:21,0,0
17:26,0,0
17:31,0,0
17:36,0,0
17:40,0,0
17:44,0,0
17:49,0,0
17:54,0,0
17:57,0,0
18:02,0,0
18:07,0,0
18:11,0,0
18:16,0,0
18:19,0,0
18:24,0,0
18:30,0,0
18:34,0,0
18:39,0,0
18:42,0,0
18:47,0,0
18:52,0,0
18:57,0,0
19:01,0,0
19:05,0,0
19:10,0,0
19:15,0,0
19:19,0,0
19:24,0,0
19:29,0,0
19:34,0,0
19:39,0,0
19:44,0,0
19:49,0,0
19:54,0,0
20:00,0,0
20:04,0,0
20:09,0,0
20:14,0,0
20:19,0,0
20:24,0,0
20:29,0,0
20:34,0,0
20:40,0,0
20:45,0,0
20:50,0,0
20:55,0,0
21:00,0,0
21:05,0,0
21:10,0,0
21:15,0,0
21:20,0,0
21:25,0,0
21:29,0,0
21:35,0,0
21:40,0,0
21:45,0,0
21:51,0,0
21:57,0,0
22:03,0,0
22:09,0,0
22:15,0,0
22:22,0,0
22:29,0,0
22:36,0,0
22:43,0,0
22:50,0,0
22:56,0,0
23:03,0,0
23:10,0,0
23:17,0,0
23:24,0,0
23:31,0,0
23:38,0,0
23:45,0,0
23:52,0,0
23:59,0,0
