时间,是否始发站,是否终到站
05:24,0,0
05:34,0,0
05:43,0,0
05:54,0,0
06:04,0,0
06:13,0,0
06:23,0,0
06:32,0,0
06:39,0,0
06:46,0,0
06:52,0,0
06:59,0,0
07:05,0,0
07:12,0,0
07:18,0,0
07:23,0,0
07:29,0,0
07:33,0,0
07:38,0,0
07:42,0,0
07:47,0,0
07:51,0,0
07:56,0,0
08:00,0,0
08:05,0,0
08:09,0,0
08:15,0,0
08:18,0,0
08:23,0,0
08:27,0,0
08:33,0,0
08:36,0,0
08:41,0,0
08:45,0,0
08:50,0,0
08:54,0,0
08:59,0,0
09:03,0,0
09:08,0,0
09:12,0,0
09:17,0,0
09:21,0,0
09:26,0,0
09:30,0,0
09:35,1,0
09:37,0,0
09:44,0,0
09:48,0,0
09:53,1,0
09:55,0,0
10:03,0,0
10:08,0,0
10:13,1,0
10:16,0,0
10:23,0,0
10:28,1,0
10:31,0,0
10:38,0,0
10:43,0,0
10:47,1,0
10:51,0,0
10:58,0,0
11:03,0,0
11:09,1,0
11:11,0,0
11:18,0,0
11:23,0,0
11:28,1,0
11:31,0,0
11:38,0,0
11:43,0,0
11:48,1,0
11:51,0,0
11:58,0,0
12:03,0,0
12:08,1,0
12:11,0,0
12:18,0,0
12:23,0,0
12:28,1,0
12:31,0,0
12:38,0,0
12:43,0,0
12:48,1,0
12:51,0,0
12:58,0,0
13:03,0,0
13:08,1,0
13:11,0,0
13:18,0,0
13:23,0,0
13:28,1,0
13:31,0,0
13:38,0,0
13:43,0,0
13:48,1,0
13:51,0,0
13:58,0,0
14:03,0,0
14:08,1,0
14:11,0,0
14:18,0,0
14:23,0,0
14:28,1,0
14:31,0,0
14:38,0,0
14:43,0,0
14:48,1,0
14:51,0,0
14:58,0,0
15:03,0,0
15:08,1,0
15:11,0,0
15:18,0,0
15:23,0,0
15:28,1,0
15:31,0,0
15:38,0,0
15:43,0,0
15:48,1,0
15:51,0,0
15:58,0,0
16:03,0,0
16:08,1,0
16:11,0,0
16:18,0,0
16:23,0,0
16:27,1,0
16:30,0,0
16:36,0,0
16:41,0,0
16:45,0,0
16:50,1,0
16:53,0,0
16:59,0,0
17:03,0,0
17:07,1,0
17:11,0,0
17:17,0,0
17:21,0,0
17:26,0,0
17:30,1,0
17:33,0,0
17:40,0,0
17:44,0,0
17:49,1,0
17:51,0,0
17:57,0,0
18:03,0,0
18:07,0,0
18:12,1,0
18:14,0,0
18:20,0,0
18:24,0,0
18:30,1,0
18:32,0,0
18:39,0,0
18:44,0,0
18:49,0,0
18:54,1,0
18:57,0,0
19:04,0,0
19:10,1,0
19:12,0,0
19:19,0,0
19:24,0,0
19:29,0,0
19:34,1,0
19:37,0,0
19:44,0,0
19:51,1,0
19:52,0,0
20:00,0,0
20:05,0,0
20:10,0,0
20:15,0,0
20:20,0,0
20:25,0,0
20:30,0,0
20:35,0,0
20:39,0,0
20:45,0,0
20:50,0,0
20:55,0,0
21:02,0,0
21:07,0,0
21:13,0,0
21:19,0,0
21:25,0,0
21:32,0,0
21:39,0,0
21:46,0,0
21:53,0,0
22:00,0,0
22:07,0,0
22:13,0,0
22:20,0,0
22:27,0,0
22:34,0,0
22:41,0,0
22:48,0,0
22:55,0,0
23:02,0,0
23:10,0,0
