时间,是否始发站,是否终到站
05:19,0,0
05:29,0,0
05:39,0,0
05:49,0,0
05:59,0,0
06:08,0,0
06:18,0,0
06:28,0,0
06:35,0,0
06:42,0,0
06:48,0,0
06:55,0,0
07:01,0,0
07:07,0,0
07:14,0,0
07:19,0,0
07:25,0,0
07:29,0,0
07:34,0,0
07:38,0,0
07:43,0,0
07:47,0,0
07:52,0,0
07:56,0,0
08:01,0,0
08:05,0,0
08:10,0,0
08:14,0,0
08:19,0,0
08:23,0,0
08:28,0,0
08:32,0,0
08:37,0,0
08:41,0,0
08:46,0,0
08:50,0,0
08:55,0,0
08:59,0,0
09:04,0,0
09:08,0,0
09:13,0,0
09:17,0,0
09:22,0,0
09:26,0,0
09:33,0,0
09:40,0,0
09:44,0,0
09:51,0,0
09:59,0,0
10:04,0,0
10:12,0,0
10:19,0,0
10:27,0,0
10:34,0,0
10:39,0,0
10:47,0,0
10:54,0,0
10:59,0,0
11:07,0,0
11:14,0,0
11:19,0,0
11:27,0,0
11:34,0,0
11:39,0,0
11:47,0,0
11:54,0,0
11:59,0,0
12:07,0,0
12:14,0,0
12:19,0,0
12:27,0,0
12:34,0,0
12:39,0,0
12:47,0,0
12:54,0,0
12:59,0,0
13:07,0,0
13:14,0,0
13:19,0,0
13:27,0,0
13:34,0,0
13:39,0,0
13:47,0,0
13:54,0,0
13:59,0,0
14:07,0,0
14:14,0,0
14:19,0,0
14:27,0,0
14:34,0,0
14:39,0,0
14:46,0,0
14:54,0,0
14:59,0,0
15:07,0,0
15:14,0,0
15:19,0,0
15:26,0,0
15:34,0,0
15:39,0,0
15:47,0,0
15:54,0,0
15:59,0,0
16:07,0,0
16:14,0,0
16:19,0,0
16:26,0,0
16:32,0,0
16:37,0,0
16:41,0,0
16:48,0,0
16:55,0,0
16:59,0,0
17:06,0,0
17:13,0,0
17:17,0,0
17:22,0,0
17:29,0,0
17:36,0,0
17:40,0,0
17:47,0,0
17:53,0,0
17:58,0,0
18:02,0,0
18:10,0,0
18:16,0,0
18:20,0,0
18:28,0,0
18:35,0,0
18:40,0,0
18:45,0,0
18:53,0,0
19:00,0,0
19:08,0,0
19:15,0,0
19:20,0,0
19:25,0,0
19:33,0,0
19:40,0,0
19:48,0,0
19:56,0,0
20:01,0,0
20:06,0,0
20:11,0,0
20:16,0,0
20:21,0,0
20:26,0,0
20:31,0,0
20:35,0,0
20:41,0,0
20:46,0,0
20:51,0,0
20:57,0,0
21:03,0,0
21:09,0,0
21:15,0,0
21:21,0,0
21:28,0,0
21:35,0,0
21:42,0,0
21:49,0,0
21:56,0,0
22:02,0,0
22:09,0,0
22:16,0,0
22:23,0,0
22:30,0,0
22:37,0,0
22:44,0,0
22:51,0,0
22:58,0,0
23:05,0,0
