时间,是否始发站,是否终到站
05:25,0,0
05:36,0,0
05:47,0,0
05:57,0,0
06:07,0,0
06:18,0,0
06:26,0,0
06:36,0,0
06:45,0,0
06:56,0,0
07:02,0,0
07:08,0,0
07:15,0,0
07:21,0,0
07:26,0,0
07:30,0,0
07:34,0,0
07:41,0,0
07:48,0,0
07:54,0,0
08:01,0,0
08:07,0,0
08:14,0,0
08:21,0,0
08:27,0,0
08:35,0,0
08:40,0,0
08:46,0,0
08:53,0,0
08:58,0,0
09:04,0,0
09:11,0,0
09:17,0,0
09:22,0,0
09:29,0,0
09:35,0,0
09:40,0,0
09:47,0,0
09:52,0,0
09:58,0,0
10:05,0,0
10:10,0,0
10:16,0,0
10:23,0,0
10:28,0,0
10:34,0,0
10:41,0,0
10:46,0,0
10:52,0,0
11:00,0,0
11:05,0,0
11:10,0,0
11:15,0,0
11:20,0,0
11:28,0,0
11:35,0,0
11:40,0,0
11:47,0,0
11:55,0,0
12:00,0,0
12:08,0,0
12:16,0,0
12:20,0,0
12:28,0,0
12:35,0,0
12:40,0,0
12:48,0,0
12:55,0,0
13:00,0,0
13:08,0,0
13:15,0,0
13:20,0,0
13:28,0,0
13:35,0,0
13:40,0,0
13:47,0,0
13:55,0,0
14:00,0,0
14:07,0,0
14:15,0,0
14:20,0,0
14:27,0,0
14:35,0,0
14:40,0,0
14:47,0,0
14:55,0,0
15:00,0,0
15:07,0,0
15:15,0,0
15:20,0,0
15:27,0,0
15:35,0,0
15:40,0,0
15:47,0,0
15:55,0,0
16:00,0,0
16:07,0,0
16:15,0,0
16:20,0,0
16:27,0,0
16:35,0,0
16:40,0,0
16:48,0,0
16:55,0,0
17:00,0,0
17:07,0,0
17:15,0,0
17:20,0,0
17:27,0,0
17:34,0,0
17:38,0,0
17:43,0,0
17:49,0,0
17:56,0,0
18:01,0,0
18:07,0,0
18:14,0,0
18:19,0,0
18:23,0,0
18:30,0,0
18:37,0,0
18:42,0,0
18:48,0,0
18:55,0,0
18:59,0,0
19:05,0,0
19:11,0,0
19:17,0,0
19:22,0,0
19:29,0,0
19:36,0,0
19:41,0,0
19:46,0,0
19:51,0,0
19:56,0,0
20:01,0,0
20:06,0,0
20:12,0,0
20:17,0,0
20:21,0,0
20:26,0,0
20:31,0,0
20:36,0,0
20:41,0,0
20:46,0,0
20:53,0,0
20:57,0,0
21:02,0,0
21:07,0,0
21:12,0,0
21:17,0,0
21:22,0,0
21:27,0,0
21:32,0,0
21:37,0,0
21:41,0,0
21:47,0,0
21:52,0,0
21:57,0,0
22:04,0,0
22:09,0,0
22:15,0,0
22:21,0,0
22:27,0,0
22:34,0,0
22:41,0,0
22:48,0,0
22:55,0,0
23:02,0,0
23:09,0,0
23:15,0,0
23:22,0,0
23:29,0,0
23:36,0,0
23:43,0,0
23:50,0,0
23:57,0,0
00:04,0,0
00:12,0,0
