时间,是否始发站,是否终到站
05:32,0,0
05:42,0,0
05:52,0,0
06:02,0,0
06:12,0,0
06:21,0,0
06:31,0,0
06:41,0,0
06:48,0,0
06:54,0,0
07:01,0,0
07:07,0,0
07:14,0,0
07:20,0,0
07:26,0,0
07:32,0,0
07:37,0,0
07:42,0,0
07:46,0,0
07:51,0,0
07:55,0,0
08:00,0,0
08:04,0,0
08:09,0,0
08:13,0,0
08:18,0,0
08:23,0,0
08:27,0,0
08:31,0,0
08:36,0,0
08:41,0,0
08:45,0,0
08:49,0,0
08:54,0,0
08:58,0,0
09:03,0,0
09:07,0,0
09:12,0,0
09:16,0,0
09:21,0,0
09:25,0,0
09:30,0,0
09:34,0,0
09:39,0,0
09:43,0,0
09:47,0,0
09:52,0,0
09:57,0,0
10:02,0,0
10:05,0,0
10:11,0,0
10:17,0,0
10:22,0,0
10:26,0,0
10:32,0,0
10:37,0,0
10:41,0,0
10:47,0,0
10:51,0,0
10:56,0,0
11:01,0,0
11:07,0,0
11:12,0,0
11:17,0,0
11:21,0,0
11:27,0,0
11:32,0,0
11:37,0,0
11:41,0,0
11:47,0,0
11:52,0,0
11:57,0,0
12:01,0,0
12:07,0,0
12:12,0,0
12:17,0,0
12:21,0,0
12:27,0,0
12:32,0,0
12:36,0,0
12:41,0,0
12:47,0,0
12:52,0,0
12:56,0,0
13:01,0,0
13:07,0,0
13:12,0,0
13:16,0,0
13:21,0,0
13:27,0,0
13:32,0,0
13:36,0,0
13:41,0,0
13:47,0,0
13:52,0,0
13:56,0,0
14:01,0,0
14:07,0,0
14:12,0,0
14:16,0,0
14:21,0,0
14:27,0,0
14:32,0,0
14:36,0,0
14:41,0,0
14:47,0,0
14:52,0,0
14:56,0,0
15:01,0,0
15:07,0,0
15:12,0,0
15:16,0,0
15:21,0,0
15:27,0,0
15:32,0,0
15:36,0,0
15:40,0,0
15:47,0,0
15:51,0,0
15:56,0,0
16:01,0,0
16:07,0,0
16:12,0,0
16:16,0,0
16:21,0,0
16:27,0,0
16:31,0,0
16:36,0,0
16:40,0,0
16:45,0,0
16:49,0,0
16:54,0,0
16:58,0,0
17:02,0,0
17:07,0,0
17:12,0,0
17:16,0,0
17:20,0,0
17:25,0,0
17:30,0,0
17:34,0,0
17:38,0,0
17:43,0,0
17:48,0,0
17:52,0,0
17:57,0,0
18:01,0,0
18:06,0,0
18:11,0,0
18:15,0,0
18:20,0,0
18:24,0,0
18:28,0,0
18:33,0,0
18:38,0,0
18:42,0,0
18:48,0,0
18:53,0,0
18:58,0,0
19:03,0,0
19:07,0,0
19:13,0,0
19:18,0,0
19:22,0,0
19:28,0,0
19:33,0,0
19:38,0,0
19:43,0,0
19:47,0,0
19:53,0,0
19:59,0,0
20:02,0,0
20:09,0,0
20:14,0,0
20:19,0,0
20:24,0,0
20:29,0,0
20:34,0,0
20:39,0,0
20:44,0,0
20:48,0,0
20:54,0,0
20:59,0,0
21:04,0,0
21:10,0,0
21:16,0,0
21:22,0,0
21:28,0,0
21:34,0,0
21:41,0,0
21:48,0,0
21:55,0,0
22:02,0,0
22:08,0,0
22:15,0,0
22:21,0,0
22:29,0,0
22:36,0,0
22:43,0,0
22:50,0,0
22:57,0,0
23:04,0,0
23:11,0,0
23:18,0,0
