时间,是否始发站,是否终到站
05:17,0,0
05:28,0,0
05:38,0,0
05:48,0,0
05:59,0,0
06:07,0,0
06:17,0,0
06:26,0,0
06:37,0,0
06:43,0,0
06:49,0,0
06:56,0,0
07:02,0,0
07:07,0,0
07:11,0,0
07:15,0,0
07:22,0,0
07:29,0,0
07:35,0,0
07:42,0,0
07:48,0,0
07:55,0,0
08:01,0,0
08:06,0,0
08:12,0,0
08:16,0,0
08:21,0,0
08:25,0,0
08:30,0,0
08:34,0,0
08:39,0,0
08:43,0,0
08:48,0,0
08:52,0,0
08:58,0,0
09:01,0,0
09:06,0,0
09:10,0,0
09:16,0,0
09:19,0,0
09:24,0,0
09:28,0,0
09:33,0,0
09:37,0,0
09:42,0,0
09:46,0,0
09:51,0,0
09:55,0,0
10:00,0,0
10:04,0,0
10:09,0,0
10:13,0,0
10:18,0,0
10:22,0,0
10:27,0,0
10:31,0,0
10:36,0,0
10:41,0,0
10:46,0,0
10:51,0,0
10:56,0,0
11:01,0,0
11:06,0,0
11:11,0,0
11:16,0,0
11:21,0,0
11:26,0,0
11:30,0,0
11:36,0,0
11:41,0,0
11:46,0,0
11:52,0,0
11:57,0,0
12:01,0,0
12:06,0,0
12:11,0,0
12:16,0,0
12:21,0,0
12:26,0,0
12:31,0,0
12:36,0,0
12:41,0,0
12:46,0,0
12:51,0,0
12:56,0,0
13:01,0,0
13:06,0,0
13:11,0,0
13:16,0,0
13:21,0,0
13:26,0,0
13:31,0,0
13:36,0,0
13:41,0,0
13:46,0,0
13:51,0,0
13:56,0,0
14:01,0,0
14:06,0,0
14:11,0,0
14:16,0,0
14:21,0,0
14:26,0,0
14:31,0,0
14:36,0,0
14:41,0,0
14:46,0,0
14:51,0,0
14:56,0,0
15:01,0,0
15:06,0,0
15:11,0,0
15:16,0,0
15:21,0,0
15:26,0,0
15:31,0,0
15:36,0,0
15:41,0,0
15:46,0,0
15:51,0,0
15:56,0,0
16:01,0,0
16:06,0,0
16:11,0,0
16:16,0,0
16:21,0,0
16:26,0,0
16:31,0,0
16:36,0,0
16:41,0,0
16:46,0,0
16:51,0,0
16:56,0,0
17:01,0,0
17:06,0,0
17:10,0,0
17:15,0,0
17:19,0,0
17:24,0,0
17:28,0,0
17:33,0,0
17:37,0,0
17:42,0,0
17:46,0,0
17:50,0,0
17:55,0,0
18:00,0,0
18:04,0,0
18:09,0,0
18:13,0,0
18:18,0,0
18:23,0,0
18:27,0,0
18:32,0,0
18:36,0,0
18:40,0,0
18:46,0,0
18:50,0,0
18:55,0,0
18:58,0,0
19:03,0,0
19:07,0,0
19:13,0,0
19:17,0,0
19:22,0,0
19:27,0,0
19:32,0,0
19:37,0,0
19:42,0,0
19:47,0,0
19:53,0,0
19:58,0,0
20:02,0,0
20:07,0,0
20:12,0,0
20:17,0,0
20:22,0,0
20:27,0,0
20:34,0,0
20:38,0,0
20:43,0,0
20:48,0,0
20:53,0,0
20:58,0,0
21:03,0,0
21:08,0,0
21:13,0,0
21:18,0,0
21:22,0,0
21:28,0,0
21:33,0,0
21:38,0,0
21:45,0,0
21:50,0,0
21:56,0,0
22:02,0,0
22:08,0,0
22:15,0,0
22:22,0,0
22:29,0,0
22:36,0,0
22:43,0,0
22:50,0,0
22:56,0,0
23:03,0,0
23:10,0,0
23:17,0,0
23:24,0,0
23:31,0,0
23:38,0,0
23:45,0,0
23:53,0,0
