时间,是否始发站,是否终到站
05:26,0,0
05:36,0,0
05:46,0,0
05:56,0,0
06:06,0,0
06:15,0,0
06:25,0,0
06:35,0,0
06:42,0,0
06:48,0,0
06:55,0,0
07:01,0,0
07:08,0,0
07:14,0,0
07:20,0,0
07:26,0,0
07:31,0,0
07:36,0,0
07:40,0,0
07:45,0,0
07:49,0,0
07:54,0,0
07:58,0,0
08:03,0,0
08:07,0,0
08:12,0,0
08:17,0,0
08:21,0,0
08:25,0,0
08:30,0,0
08:35,0,0
08:39,0,0
08:43,0,0
08:48,0,0
08:52,0,0
08:57,0,0
09:01,0,0
09:06,0,0
09:10,0,0
09:15,0,0
09:19,0,0
09:24,0,0
09:28,0,0
09:33,0,0
09:37,0,0
09:40,0,0
09:46,0,0
09:51,0,0
09:56,0,0
09:58,0,0
10:05,0,0
10:11,0,0
10:16,0,0
10:19,0,0
10:26,0,0
10:31,0,0
10:34,0,0
10:41,0,0
10:45,0,0
10:50,0,0
10:54,0,0
11:01,0,0
11:06,0,0
11:11,0,0
11:14,0,0
11:21,0,0
11:26,0,0
11:31,0,0
11:34,0,0
11:41,0,0
11:46,0,0
11:51,0,0
11:54,0,0
12:01,0,0
12:06,0,0
12:11,0,0
12:14,0,0
12:21,0,0
12:26,0,0
12:30,0,0
12:34,0,0
12:41,0,0
12:46,0,0
12:50,0,0
12:54,0,0
13:01,0,0
13:06,0,0
13:10,0,0
13:14,0,0
13:21,0,0
13:26,0,0
13:30,0,0
13:34,0,0
13:41,0,0
13:46,0,0
13:50,0,0
13:54,0,0
14:01,0,0
14:06,0,0
14:10,0,0
14:14,0,0
14:21,0,0
14:26,0,0
14:30,0,0
14:34,0,0
14:41,0,0
14:46,0,0
14:50,0,0
14:54,0,0
15:01,0,0
15:06,0,0
15:10,0,0
15:14,0,0
15:21,0,0
15:26,0,0
15:30,0,0
15:34,0,0
15:41,0,0
15:46,0,0
15:50,0,0
15:54,0,0
16:01,0,0
16:06,0,0
16:10,0,0
16:14,0,0
16:21,0,0
16:25,0,0
16:30,0,0
16:33,0,0
16:39,0,0
16:43,0,0
16:48,0,0
16:53,0,0
16:56,0,0
17:01,0,0
17:06,0,0
17:10,0,0
17:14,0,0
17:19,0,0
17:24,0,0
17:28,0,0
17:32,0,0
17:36,0,0
17:43,0,0
17:46,0,0
17:52,0,0
17:54,0,0
18:00,0,0
18:05,0,0
18:09,0,0
18:14,0,0
18:17,0,0
18:22,0,0
18:27,0,0
18:32,0,0
18:35,0,0
18:42,0,0
18:47,0,0
18:52,0,0
18:57,0,0
19:00,0,0
19:07,0,0
19:13,0,0
19:15,0,0
19:22,0,0
19:27,0,0
19:32,0,0
19:37,0,0
19:40,0,0
19:47,0,0
19:53,0,0
19:55,0,0
20:03,0,0
20:08,0,0
20:13,0,0
20:18,0,0
20:23,0,0
20:28,0,0
20:33,0,0
20:38,0,0
20:42,0,0
20:48,0,0
20:53,0,0
20:58,0,0
21:04,0,0
21:10,0,0
21:16,0,0
21:22,0,0
21:28,0,0
21:35,0,0
21:42,0,0
21:49,0,0
21:56,0,0
22:03,0,0
22:09,0,0
22:16,0,0
22:23,0,0
22:30,0,0
22:37,0,0
22:44,0,0
22:51,0,0
22:58,0,0
23:05,0,0
23:12,0,0
