时间,是否始发站,是否终到站
06:06,0,0
06:14,0,0
06:23,0,0
06:30,0,0
06:39,0,0
06:48,0,0
06:57,0,0
07:04,0,0
07:12,0,0
07:19,0,0
07:25,0,0
07:33,0,0
07:40,0,0
07:46,0,0
07:54,0,0
08:01,0,0
08:08,0,0
08:14,0,0
08:22,0,0
08:29,0,0
08:35,0,0
08:43,0,0
08:50,0,0
08:55,0,0
09:00,0,0
09:04,0,0
09:09,0,0
09:14,0,0
09:18,0,0
09:23,0,0
09:29,0,0
09:36,0,0
09:42,0,0
09:48,0,0
09:55,0,0
10:00,0,0
10:05,0,0
10:12,0,0
10:17,0,0
10:23,0,0
10:30,0,0
10:36,0,0
10:41,0,0
10:48,0,0
10:54,0,0
10:58,0,0
11:06,0,0
11:12,0,0
11:21,0,0
11:28,0,0
11:35,0,0
11:41,0,0
11:48,0,0
11:55,0,0
12:01,0,0
12:08,0,0
12:15,0,0
12:20,0,0
12:26,0,0
12:34,0,0
12:39,0,0
12:46,0,0
12:54,0,0
12:59,0,0
13:06,0,0
13:14,0,0
13:19,0,0
13:26,0,0
13:34,0,0
13:39,0,0
13:46,0,0
13:54,0,0
13:59,0,0
14:06,0,0
14:14,0,0
14:19,0,0
14:26,0,0
14:34,0,0
14:39,0,0
14:46,0,0
14:54,0,0
14:59,0,0
15:06,0,0
15:14,0,0
15:19,0,0
15:26,0,0
15:34,0,0
15:39,0,0
15:46,0,0
15:54,0,0
15:59,0,0
16:06,0,0
16:14,0,0
16:19,0,0
16:26,0,0
16:34,0,0
16:39,0,0
16:46,0,0
16:54,0,0
16:59,0,0
17:06,0,0
17:14,0,0
17:18,0,0
17:23,0,0
17:30,0,0
17:37,0,0
17:41,0,0
17:47,0,0
17:53,0,0
17:58,0,0
18:02,0,0
18:09,0,0
18:15,0,0
18:20,0,0
18:27,0,0
18:33,0,0
18:38,0,0
18:43,0,0
18:50,0,0
18:56,0,0
19:01,0,0
19:08,0,0
19:14,0,0
19:19,0,0
19:23,0,0
19:30,0,0
19:37,0,0
19:41,0,0
19:48,0,0
19:54,0,0
19:59,0,0
20:04,0,0
20:09,0,0
20:13,0,0
20:17,0,0
20:22,0,0
20:27,0,0
20:31,0,0
20:36,0,0
20:41,0,0
20:47,0,0
20:53,0,0
20:59,0,0
21:05,0,0
21:12,0,0
21:19,0,0
21:26,0,0
21:33,0,0
21:40,0,0
21:46,0,0
21:53,0,0
22:00,0,0
22:06,0,0
22:13,0,0
22:18,0,0
22:24,0,0
22:30,0,0
22:36,0,0
22:42,0,0
22:48,0,0
22:55,0,0
23:01,0,0
23:07,0,0
23:13,0,0
23:19,0,0
23:26,0,0
23:33,0,0
23:40,0,0
23:47,0,0
23:54,0,0
00:01,0,0
00:08,0,0
