时间,是否始发站,是否终到站
06:02,0,0
06:10,0,0
06:18,0,0
06:26,0,0
06:35,0,0
06:44,0,0
06:53,0,0
07:00,0,0
07:07,0,0
07:14,0,0
07:21,0,0
07:28,0,0
07:35,0,0
07:42,0,0
07:49,0,0
07:56,0,0
08:03,0,0
08:10,0,0
08:17,0,0
08:24,0,0
08:31,0,0
08:38,0,0
08:45,0,0
08:51,0,0
08:55,0,0
09:00,0,0
09:05,0,0
09:09,0,0
09:13,0,0
09:18,0,0
09:25,0,0
09:32,0,0
09:37,0,0
09:43,0,0
09:50,0,0
09:56,0,0
10:01,0,0
10:08,0,0
10:12,0,0
10:19,0,0
10:26,0,0
10:31,0,0
10:37,0,0
10:44,0,0
10:50,0,0
10:54,0,0
11:01,0,0
11:08,0,0
11:16,0,0
11:24,0,0
11:31,0,0
11:36,0,0
11:44,0,0
11:51,0,0
11:56,0,0
12:04,0,0
12:11,0,0
12:16,0,0
12:22,0,0
12:30,0,0
12:34,0,0
12:42,0,0
12:50,0,0
12:54,0,0
13:02,0,0
13:10,0,0
13:14,0,0
13:22,0,0
13:30,0,0
13:34,0,0
13:42,0,0
13:50,0,0
13:54,0,0
14:02,0,0
14:10,0,0
14:14,0,0
14:22,0,0
14:30,0,0
14:34,0,0
14:42,0,0
14:50,0,0
14:54,0,0
15:02,0,0
15:10,0,0
15:14,0,0
15:22,0,0
15:30,0,0
15:34,0,0
15:42,0,0
15:50,0,0
15:54,0,0
16:02,0,0
16:10,0,0
16:14,0,0
16:22,0,0
16:29,0,0
16:34,0,0
16:42,0,0
16:49,0,0
16:54,0,0
17:02,0,0
17:10,0,0
17:14,0,0
17:18,0,0
17:25,0,0
17:32,0,0
17:36,0,0
17:42,0,0
17:48,0,0
17:53,0,0
17:58,0,0
18:04,0,0
18:11,0,0
18:16,0,0
18:22,0,0
18:29,0,0
18:34,0,0
18:38,0,0
18:45,0,0
18:52,0,0
18:57,0,0
19:03,0,0
19:09,0,0
19:14,0,0
19:19,0,0
19:26,0,0
19:32,0,0
19:37,0,0
19:44,0,0
19:50,0,0
19:54,0,0
19:59,0,0
20:04,0,0
20:08,0,0
20:13,0,0
20:17,0,0
20:22,0,0
20:27,0,0
20:32,0,0
20:37,0,0
20:43,0,0
20:49,0,0
20:55,0,0
21:01,0,0
21:08,0,0
21:15,0,0
21:22,0,0
21:29,0,0
21:35,0,0
21:42,0,0
21:49,0,0
21:55,0,0
22:02,0,0
22:09,0,0
22:14,0,0
22:20,0,0
22:25,0,0
22:31,0,0
22:37,0,0
22:44,0,0
22:50,0,0
22:57,0,0
23:03,0,0
23:09,0,0
23:15,0,0
23:21,0,0
23:28,0,0
23:35,0,0
23:43,0,0
23:49,0,0
23:56,0,0
00:04,0,0
