时间,是否始发站,是否终到站
05:08,0,0
05:17,0,0
05:24,0,0
05:33,0,0
05:42,0,0
05:51,0,0
05:58,0,0
06:06,0,0
06:13,0,0
06:19,0,0
06:27,0,0
06:34,0,0
06:40,0,0
06:48,0,0
06:55,0,0
07:02,0,0
07:08,0,0
07:16,0,0
07:23,0,0
07:29,0,0
07:37,0,0
07:44,0,0
07:49,0,0
07:54,0,0
07:58,0,0
08:03,0,0
08:08,0,0
08:12,0,0
08:17,0,0
08:21,0,0
08:28,0,0
08:35,0,0
08:40,0,0
08:47,0,0
08:53,0,0
08:57,0,0
09:04,0,0
09:11,0,0
09:15,0,0
09:22,0,0
09:29,0,0
09:33,0,0
09:40,0,0
09:47,0,0
09:52,0,0
09:57,0,0
10:04,0,0
10:12,0,0
10:19,0,0
10:26,0,0
10:32,0,0
10:39,0,0
10:46,0,0
10:52,0,0
11:00,0,0
11:07,0,0
11:12,0,0
11:18,0,0
11:26,0,0
11:32,0,0
11:38,0,0
11:45,0,0
11:52,0,0
11:58,0,0
12:05,0,0
12:12,0,0
12:18,0,0
12:25,0,0
12:32,0,0
12:38,0,0
12:45,0,0
12:52,0,0
12:58,0,0
13:05,0,0
13:12,0,0
13:18,0,0
13:25,0,0
13:32,0,0
13:38,0,0
13:45,0,0
13:52,0,0
13:58,0,0
14:05,0,0
14:12,0,0
14:18,0,0
14:25,0,0
14:32,0,0
14:38,0,0
14:45,0,0
14:52,0,0
14:58,0,0
15:05,0,0
15:12,0,0
15:18,0,0
15:25,0,0
15:32,0,0
15:38,0,0
15:45,0,0
15:52,0,0
15:58,0,0
16:05,0,0
16:11,0,0
16:17,0,0
16:21,0,0
16:29,0,0
16:34,0,0
16:38,0,0
16:45,0,0
16:51,0,0
16:56,0,0
17:01,0,0
17:07,0,0
17:13,0,0
17:18,0,0
17:25,0,0
17:31,0,0
17:37,0,0
17:41,0,0
17:48,0,0
17:54,0,0
17:59,0,0
18:06,0,0
18:12,0,0
18:17,0,0
18:22,0,0
18:29,0,0
18:34,0,0
18:40,0,0
18:46,0,0
18:52,0,0
18:58,0,0
19:03,0,0
19:09,0,0
19:15,0,0
19:21,0,0
19:29,0,0
19:35,0,0
19:42,0,0
19:48,0,0
19:54,0,0
20:00,0,0
20:05,0,0
20:10,0,0
20:13,0,0
20:19,0,0
20:24,0,0
20:27,0,0
20:34,0,0
20:40,0,0
20:43,0,0
20:47,0,0
20:54,0,0
21:01,0,0
21:07,0,0
21:13,0,0
21:18,0,0
21:24,0,0
21:30,0,0
21:36,0,0
21:43,0,0
21:49,0,0
21:56,0,0
22:02,0,0
22:08,0,0
22:14,0,0
22:20,0,0
22:27,0,0
22:34,0,0
22:41,0,0
22:48,0,0
22:55,0,0
23:02,0,0
23:09,0,0
23:16,0,0
23:23,0,0
23:30,0,0
23:37,0,0
23:44,0,0
