时间,是否始发站,是否终到站
05:03,0,0
05:12,0,0
05:19,0,0
05:28,0,0
05:37,0,0
05:46,0,0
05:53,0,0
06:00,0,0
06:07,0,0
06:14,0,0
06:21,0,0
06:28,0,0
06:35,0,0
06:42,0,0
06:49,0,0
06:56,0,0
07:03,0,0
07:10,0,0
07:17,0,0
07:24,0,0
07:31,0,0
07:38,0,0
07:44,0,0
07:48,0,0
07:53,0,0
07:58,0,0
08:02,0,0
08:06,0,0
08:11,0,0
08:16,0,0
08:23,0,0
08:29,0,0
08:34,0,0
08:41,0,0
08:48,0,0
08:52,0,0
08:59,0,0
09:05,0,0
09:10,0,0
09:17,0,0
09:23,0,0
09:28,0,0
09:35,0,0
09:42,0,0
09:47,0,0
09:52,0,0
09:59,0,0
10:07,0,0
10:14,0,0
10:21,0,0
10:27,0,0
10:34,0,0
10:41,0,0
10:47,0,0
10:55,0,0
11:02,0,0
11:07,0,0
11:13,0,0
11:21,0,0
11:26,0,0
11:32,0,0
11:40,0,0
11:46,0,0
11:52,0,0
12:00,0,0
12:06,0,0
12:12,0,0
12:20,0,0
12:26,0,0
12:32,0,0
12:40,0,0
12:46,0,0
12:52,0,0
13:00,0,0
13:06,0,0
13:12,0,0
13:20,0,0
13:26,0,0
13:32,0,0
13:40,0,0
13:46,0,0
13:52,0,0
14:00,0,0
14:06,0,0
14:12,0,0
14:20,0,0
14:26,0,0
14:32,0,0
14:40,0,0
14:46,0,0
14:52,0,0
15:00,0,0
15:06,0,0
15:12,0,0
15:19,0,0
15:26,0,0
15:32,0,0
15:39,0,0
15:46,0,0
15:52,0,0
16:00,0,0
16:06,0,0
16:11,0,0
16:16,0,0
16:24,0,0
16:28,0,0
16:33,0,0
16:39,0,0
16:45,0,0
16:51,0,0
16:56,0,0
17:02,0,0
17:08,0,0
17:13,0,0
17:20,0,0
17:26,0,0
17:31,0,0
17:36,0,0
17:43,0,0
17:49,0,0
17:54,0,0
18:00,0,0
18:06,0,0
18:12,0,0
18:17,0,0
18:23,0,0
18:29,0,0
18:35,0,0
18:41,0,0
18:46,0,0
18:52,0,0
18:57,0,0
19:04,0,0
19:09,0,0
19:15,0,0
19:23,0,0
19:29,0,0
19:36,0,0
19:42,0,0
19:48,0,0
19:54,0,0
20:00,0,0
20:05,0,0
20:08,0,0
20:14,0,0
20:19,0,0
20:22,0,0
20:29,0,0
20:34,0,0
20:38,0,0
20:42,0,0
20:49,0,0
20:55,0,0
21:02,0,0
21:07,0,0
21:13,0,0
21:19,0,0
21:25,0,0
21:31,0,0
21:37,0,0
21:44,0,0
21:50,0,0
21:56,0,0
22:02,0,0
22:08,0,0
22:15,0,0
22:22,0,0
22:29,0,0
22:36,0,0
22:43,0,0
22:50,0,0
22:57,0,0
23:04,0,0
23:11,0,0
23:18,0,0
23:25,0,0
23:32,0,0
23:39,0,0
