时间,是否始发站,是否终到站
05:00,0,0
05:09,0,0
05:16,0,0
05:25,0,0
05:34,0,0
05:43,0,0
05:50,0,0
05:57,0,0
06:04,0,0
06:11,0,0
06:18,0,0
06:25,0,0
06:32,0,0
06:39,0,0
06:46,0,0
06:53,0,0
07:00,0,0
07:07,0,0
07:14,0,0
07:21,0,0
07:28,0,0
07:35,0,0
07:41,0,0
07:45,0,0
07:50,0,0
07:55,0,0
07:59,0,0
08:03,0,0
08:08,0,0
08:13,0,0
08:20,0,0
08:26,0,0
08:31,0,0
08:38,0,0
08:45,0,0
08:49,0,0
08:56,0,0
09:02,0,0
09:07,0,0
09:14,0,0
09:20,0,0
09:25,0,0
09:32,0,0
09:39,0,0
09:44,0,0
09:49,0,0
09:56,0,0
10:04,0,0
10:11,0,0
10:18,0,0
10:24,0,0
10:31,0,0
10:38,0,0
10:44,0,0
10:52,0,0
10:59,0,0
11:04,0,0
11:10,0,0
11:18,0,0
11:23,0,0
11:29,0,0
11:37,0,0
11:43,0,0
11:49,0,0
11:57,0,0
12:03,0,0
12:09,0,0
12:17,0,0
12:23,0,0
12:29,0,0
12:37,0,0
12:43,0,0
12:49,0,0
12:57,0,0
13:03,0,0
13:09,0,0
13:17,0,0
13:23,0,0
13:29,0,0
13:37,0,0
13:43,0,0
13:49,0,0
13:57,0,0
14:03,0,0
14:09,0,0
14:17,0,0
14:23,0,0
14:29,0,0
14:37,0,0
14:43,0,0
14:49,0,0
14:57,0,0
15:03,0,0
15:09,0,0
15:16,0,0
15:23,0,0
15:29,0,0
15:36,0,0
15:43,0,0
15:49,0,0
15:57,0,0
16:03,0,0
16:08,0,0
16:13,0,0
16:21,0,0
16:25,0,0
16:30,0,0
16:36,0,0
16:42,0,0
16:48,0,0
16:53,0,0
16:59,0,0
17:05,0,0
17:10,0,0
17:17,0,0
17:23,0,0
17:28,0,0
17:33,0,0
17:40,0,0
17:46,0,0
17:51,0,0
17:57,0,0
18:03,0,0
18:09,0,0
18:14,0,0
18:20,0,0
18:26,0,0
18:32,0,0
18:38,0,0
18:43,0,0
18:49,0,0
18:54,0,0
19:01,0,0
19:06,0,0
19:12,0,0
19:20,0,0
19:26,0,0
19:33,0,0
19:39,0,0
19:45,0,0
19:51,0,0
19:57,0,0
20:02,0,0
20:05,0,0
20:11,0,0
20:16,0,0
20:19,0,0
20:26,0,0
20:31,0,0
20:35,0,0
20:39,0,0
20:46,0,0
20:52,0,0
20:59,0,0
21:04,0,0
21:10,0,0
21:16,0,0
21:22,0,0
21:28,0,0
21:34,0,0
21:41,0,0
21:47,0,0
21:53,0,0
21:59,0,0
22:05,0,0
22:12,0,0
22:19,0,0
22:26,0,0
22:33,0,0
22:40,0,0
22:47,0,0
22:54,0,0
23:01,0,0
23:08,0,0
23:15,0,0
23:22,0,0
23:29,0,0
23:36,0,0
