时间,是否始发站,是否终到站
05:13,0,0
05:22,0,0
05:29,0,0
05:38,0,0
05:47,0,0
05:56,0,0
06:03,0,0
06:11,0,0
06:18,0,0
06:24,0,0
06:32,0,0
06:39,0,0
06:45,0,0
06:53,0,0
07:00,0,0
07:07,0,0
07:13,0,0
07:21,0,0
07:28,0,0
07:34,0,0
07:42,0,0
07:49,0,0
07:54,0,0
07:59,0,0
08:03,0,0
08:08,0,0
08:13,0,0
08:17,0,0
08:22,0,0
08:26,0,0
08:31,1,0
08:33,0,0
08:40,0,0
08:45,0,0
08:49,1,0
08:52,0,0
08:58,0,0
09:02,0,0
09:07,1,0
09:09,0,0
09:16,0,0
09:20,0,0
09:25,1,0
09:27,0,0
09:34,0,0
09:38,0,0
09:43,1,0
09:45,0,0
09:52,0,0
09:57,0,0
10:02,0,0
10:07,1,0
10:09,0,0
10:17,0,0
10:22,1,0
10:24,0,0
10:31,0,0
10:37,0,0
10:42,1,0
10:44,0,0
10:51,0,0
10:57,0,0
11:02,1,0
11:05,0,0
11:12,0,0
11:17,0,0
11:23,0,0
11:28,1,0
11:32,0,0
11:37,0,0
11:43,0,0
11:48,1,0
11:50,0,0
11:57,0,0
12:03,0,0
12:08,1,0
12:10,0,0
12:17,0,0
12:23,0,0
12:28,1,0
12:30,0,0
12:37,0,0
12:43,0,0
12:48,1,0
12:50,0,0
12:57,0,0
13:03,0,0
13:08,1,0
13:10,0,0
13:17,0,0
13:23,0,0
13:28,1,0
13:30,0,0
13:37,0,0
13:43,0,0
13:48,1,0
13:50,0,0
13:57,0,0
14:03,0,0
14:08,1,0
14:10,0,0
14:17,0,0
14:23,0,0
14:28,1,0
14:30,0,0
14:37,0,0
14:43,0,0
14:48,1,0
14:50,0,0
14:57,0,0
15:03,0,0
15:08,1,0
15:10,0,0
15:17,0,0
15:23,0,0
15:28,1,0
15:30,0,0
15:37,0,0
15:43,0,0
15:48,1,0
15:50,0,0
15:57,0,0
16:03,0,0
16:08,1,0
16:10,0,0
16:16,0,0
16:22,0,0
16:26,0,0
16:31,1,0
16:34,0,0
16:39,0,0
16:43,0,0
16:48,1,0
16:50,0,0
16:56,0,0
17:01,0,0
17:06,0,0
17:10,1,0
17:12,0,0
17:19,0,0
17:23,0,0
17:28,1,0
17:30,0,0
17:36,0,0
17:42,0,0
17:46,0,0
17:51,1,0
17:53,0,0
17:59,0,0
18:05,0,0
18:09,1,0
18:11,0,0
18:17,0,0
18:22,0,0
18:27,0,0
18:31,1,0
18:34,0,0
18:39,0,0
18:45,0,0
18:49,1,0
18:51,0,0
18:57,0,0
19:03,0,0
19:08,0,0
19:12,1,0
19:14,0,0
19:20,0,0
19:26,0,0
19:31,1,0
19:34,0,0
19:40,0,0
19:47,0,0
19:53,0,0
19:59,0,0
20:05,0,0
20:10,0,0
20:15,0,0
20:18,0,0
20:24,0,0
20:29,0,0
20:32,0,0
20:39,0,0
20:45,0,0
20:48,0,0
20:52,0,0
20:59,0,0
21:06,0,0
21:12,0,0
21:18,0,0
21:23,0,0
21:29,0,0
21:35,0,0
21:41,0,0
21:48,0,0
21:54,0,0
22:01,0,0
22:07,0,0
22:13,0,0
22:19,0,0
22:25,0,0
22:32,0,0
22:39,0,0
22:46,0,0
22:53,0,0
23:00,0,0
23:07,0,0
23:14,0,0
23:21,0,0
23:28,0,0
23:35,0,0
23:42,0,0
23:49,0,0
