时间,是否始发站,是否终到站
05:16,0,0
05:24,0,0
05:32,0,0
05:41,0,0
05:50,0,0
05:59,0,0
06:06,0,0
06:13,0,0
06:20,0,0
06:27,0,0
06:34,0,0
06:41,0,0
06:48,0,0
06:55,0,0
07:02,0,0
07:09,0,0
07:16,0,0
07:23,0,0
07:30,0,0
07:37,0,0
07:44,0,0
07:51,0,0
07:57,0,0
08:01,0,0
08:06,0,0
08:11,0,0
08:15,0,0
08:19,0,0
08:24,0,0
08:29,0,0
08:33,0,0
08:36,0,0
08:42,0,0
08:47,0,0
08:51,0,0
08:54,0,0
09:01,0,0
09:05,0,0
09:09,0,0
09:12,0,0
09:18,0,0
09:23,0,0
09:27,0,0
09:30,0,0
09:36,0,0
09:41,0,0
09:45,0,0
09:48,0,0
09:54,0,0
10:00,0,0
10:05,0,0
10:10,0,0
10:12,0,0
10:20,0,0
10:25,0,0
10:27,0,0
10:34,0,0
10:40,0,0
10:45,0,0
10:47,0,0
10:54,0,0
11:00,0,0
11:05,0,0
11:08,0,0
11:15,0,0
11:20,0,0
11:26,0,0
11:30,0,0
11:34,0,0
11:39,0,0
11:45,0,0
11:50,0,0
11:53,0,0
11:59,0,0
12:05,0,0
12:10,0,0
12:13,0,0
12:19,0,0
12:25,0,0
12:30,0,0
12:33,0,0
12:39,0,0
12:45,0,0
12:50,0,0
12:53,0,0
12:59,0,0
13:05,0,0
13:10,0,0
13:13,0,0
13:19,0,0
13:25,0,0
13:30,0,0
13:33,0,0
13:39,0,0
13:45,0,0
13:50,0,0
13:53,0,0
13:59,0,0
14:05,0,0
14:10,0,0
14:13,0,0
14:19,0,0
14:25,0,0
14:30,0,0
14:33,0,0
14:39,0,0
14:45,0,0
14:50,0,0
14:53,0,0
14:59,0,0
15:05,0,0
15:10,0,0
15:13,0,0
15:19,0,0
15:25,0,0
15:30,0,0
15:32,0,0
15:39,0,0
15:45,0,0
15:50,0,0
15:52,0,0
15:59,0,0
16:05,0,0
16:10,0,0
16:13,0,0
16:19,0,0
16:24,0,0
16:29,0,0
16:33,0,0
16:37,0,0
16:42,0,0
16:46,0,0
16:50,0,0
16:52,0,0
16:58,0,0
17:04,0,0
17:08,0,0
17:13,0,0
17:15,0,0
17:21,0,0
17:26,0,0
17:31,0,0
17:33,0,0
17:39,0,0
17:44,0,0
17:49,0,0
17:53,0,0
17:56,0,0
18:02,0,0
18:07,0,0
18:11,0,0
18:13,0,0
18:19,0,0
18:25,0,0
18:29,0,0
18:34,0,0
18:36,0,0
18:42,0,0
18:47,0,0
18:52,0,0
18:54,0,0
18:59,0,0
19:05,0,0
19:10,0,0
19:14,0,0
19:17,0,0
19:22,0,0
19:28,0,0
19:33,0,0
19:36,0,0
19:42,0,0
19:49,0,0
19:55,0,0
20:01,0,0
20:07,0,0
20:13,0,0
20:17,0,0
20:21,0,0
20:27,0,0
20:31,0,0
20:35,0,0
20:41,0,0
20:47,0,0
20:50,0,0
20:55,0,0
21:01,0,0
21:08,0,0
21:15,0,0
21:20,0,0
21:26,0,0
21:31,0,0
21:37,0,0
21:43,0,0
21:50,0,0
21:56,0,0
22:03,0,0
22:09,0,0
22:15,0,0
22:21,0,0
22:27,0,0
22:34,0,0
22:41,0,0
22:48,0,0
22:55,0,0
23:02,0,0
23:10,0,0
23:16,0,0
23:23,0,0
23:30,0,0
23:37,0,0
23:44,0,0
23:52,0,0
