时间,是否始发站,是否终到站
05:20,0,0
05:29,0,0
05:36,0,0
05:45,0,0
05:54,0,0
06:03,0,0
06:10,0,0
06:18,0,0
06:25,0,0
06:31,0,0
06:39,0,0
06:46,0,0
06:52,0,0
07:00,0,0
07:07,0,0
07:14,0,0
07:20,0,0
07:28,0,0
07:35,0,0
07:41,0,0
07:49,0,0
07:56,0,0
08:01,0,0
08:06,0,0
08:10,0,0
08:15,0,0
08:20,0,0
08:24,0,0
08:29,0,0
08:33,0,0
08:38,0,0
08:42,0,0
08:47,0,0
08:52,0,0
08:56,0,0
09:00,0,0
09:05,0,0
09:09,0,0
09:14,0,0
09:18,0,0
09:23,0,0
09:27,0,0
09:32,0,0
09:36,0,0
09:41,0,0
09:45,0,0
09:50,0,0
09:54,0,0
09:59,0,0
10:04,0,0
10:09,0,0
10:14,0,0
10:18,0,0
10:24,0,0
10:29,0,0
10:33,0,0
10:39,0,0
10:44,0,0
10:49,0,0
10:53,0,0
10:59,0,0
11:04,0,0
11:09,0,0
11:14,0,0
11:19,0,0
11:24,0,0
11:30,0,0
11:35,0,0
11:40,0,0
11:45,0,0
11:50,0,0
11:55,0,0
11:59,0,0
12:05,0,0
12:10,0,0
12:15,0,0
12:19,0,0
12:25,0,0
12:30,0,0
12:35,0,0
12:39,0,0
12:45,0,0
12:50,0,0
12:55,0,0
12:59,0,0
13:05,0,0
13:10,0,0
13:15,0,0
13:19,0,0
13:25,0,0
13:30,0,0
13:35,0,0
13:39,0,0
13:45,0,0
13:50,0,0
13:55,0,0
13:59,0,0
14:05,0,0
14:10,0,0
14:15,0,0
14:19,0,0
14:25,0,0
14:30,0,0
14:35,0,0
14:39,0,0
14:45,0,0
14:50,0,0
14:55,0,0
14:59,0,0
15:05,0,0
15:10,0,0
15:15,0,0
15:19,0,0
15:25,0,0
15:30,0,0
15:35,0,0
15:38,0,0
15:45,0,0
15:50,0,0
15:55,0,0
15:58,0,0
16:05,0,0
16:10,0,0
16:15,0,0
16:19,0,0
16:24,0,0
16:29,0,0
16:33,0,0
16:38,0,0
16:42,0,0
16:47,0,0
16:50,0,0
16:55,0,0
16:58,0,0
17:04,0,0
17:08,0,0
17:13,0,0
17:17,0,0
17:21,0,0
17:27,0,0
17:30,0,0
17:35,0,0
17:39,0,0
17:44,0,0
17:49,0,0
17:53,0,0
17:58,0,0
18:02,0,0
18:07,0,0
18:12,0,0
18:16,0,0
18:19,0,0
18:25,0,0
18:29,0,0
18:34,0,0
18:38,0,0
18:42,0,0
18:47,0,0
18:52,0,0
18:56,0,0
19:00,0,0
19:05,0,0
19:10,0,0
19:15,0,0
19:19,0,0
19:23,0,0
19:28,0,0
19:33,0,0
19:38,0,0
19:42,0,0
19:48,0,0
19:54,0,0
20:00,0,0
20:06,0,0
20:12,0,0
20:17,0,0
20:22,0,0
20:25,0,0
20:31,0,0
20:36,0,0
20:39,0,0
20:46,0,0
20:52,0,0
20:55,0,0
20:59,0,0
21:06,0,0
21:13,0,0
21:19,0,0
21:25,0,0
21:30,0,0
21:36,0,0
21:42,0,0
21:48,0,0
21:55,0,0
22:01,0,0
22:08,0,0
22:14,0,0
22:20,0,0
22:26,0,0
22:32,0,0
22:39,0,0
22:46,0,0
22:53,0,0
23:00,0,0
23:07,0,0
23:14,0,0
23:21,0,0
23:28,0,0
23:35,0,0
23:42,0,0
23:49,0,0
23:56,0,0
