时间,是否始发站,是否终到站
05:48,0,0
05:57,0,0
06:05,0,0
06:12,0,0
06:21,0,0
06:30,0,0
06:40,0,0
06:46,0,0
06:54,0,0
07:01,0,0
07:07,0,0
07:15,0,0
07:22,0,0
07:28,0,0
07:36,0,0
07:43,0,0
07:50,0,0
07:56,0,0
08:04,0,0
08:11,0,0
08:17,0,0
08:25,0,0
08:32,0,0
08:37,0,0
08:42,0,0
08:46,0,0
08:51,0,0
08:56,0,0
09:00,0,0
09:05,0,0
09:09,0,0
09:14,0,0
09:18,0,0
09:23,0,0
09:28,0,0
09:32,0,0
09:37,0,0
09:42,0,0
09:45,0,0
09:50,0,0
09:54,0,0
09:59,0,0
10:03,0,0
10:08,0,0
10:12,0,0
10:17,0,0
10:21,0,0
10:26,0,0
10:30,0,0
10:35,0,0
10:40,0,0
10:45,0,0
10:50,0,0
10:55,0,0
11:00,0,0
11:05,0,0
11:10,0,0
11:15,0,0
11:20,0,0
11:25,0,0
11:30,0,0
11:35,0,0
11:40,0,0
11:45,0,0
11:51,0,0
11:56,0,0
12:00,0,0
12:07,0,0
12:11,0,0
12:17,0,0
12:21,0,0
12:26,0,0
12:31,0,0
12:37,0,0
12:41,0,0
12:46,0,0
12:51,0,0
12:57,0,0
13:01,0,0
13:06,0,0
13:11,0,0
13:17,0,0
13:21,0,0
13:26,0,0
13:31,0,0
13:37,0,0
13:41,0,0
13:46,0,0
13:51,0,0
13:57,0,0
14:01,0,0
14:06,0,0
14:11,0,0
14:17,0,0
14:21,0,0
14:26,0,0
14:31,0,0
14:37,0,0
14:41,0,0
14:46,0,0
14:51,0,0
14:57,0,0
15:01,0,0
15:06,0,0
15:11,0,0
15:17,0,0
15:21,0,0
15:26,0,0
15:31,0,0
15:37,0,0
15:41,0,0
15:46,0,0
15:51,0,0
15:57,0,0
16:01,0,0
16:06,0,0
16:11,0,0
16:16,0,0
16:21,0,0
16:26,0,0
16:31,0,0
16:36,0,0
16:41,0,0
16:46,0,0
16:51,0,0
16:57,0,0
17:00,0,0
17:05,0,0
17:09,0,0
17:14,0,0
17:19,0,0
17:23,0,0
17:26,0,0
17:31,0,0
17:35,0,0
17:40,0,0
17:44,0,0
17:49,0,0
17:53,0,0
17:57,0,0
18:03,0,0
18:06,0,0
18:11,0,0
18:15,0,0
18:20,0,0
18:25,0,0
18:30,0,0
18:34,0,0
18:38,0,0
18:44,0,0
18:48,0,0
18:52,0,0
18:56,0,0
19:01,0,0
19:05,0,0
19:10,0,0
19:14,0,0
19:19,0,0
19:23,0,0
19:28,0,0
19:32,0,0
19:36,0,0
19:41,0,0
19:46,0,0
19:51,0,0
19:55,0,0
19:59,0,0
20:04,0,0
20:09,0,0
20:14,0,0
20:19,0,0
20:24,0,0
20:30,0,0
20:36,0,0
20:42,0,0
20:48,0,0
20:55,0,0
21:02,0,0
21:09,0,0
21:16,0,0
21:22,0,0
21:29,0,0
21:36,0,0
21:42,0,0
21:49,0,0
21:56,0,0
22:01,0,0
22:07,0,0
22:12,0,0
22:18,0,0
22:24,0,0
22:31,0,0
22:37,0,0
22:44,0,0
22:50,0,0
22:56,0,0
23:02,0,0
23:08,0,0
23:15,0,0
23:22,0,0
23:29,0,0
23:36,0,0
23:43,0,0
23:50,0,0
