时间,是否始发站,是否终到站
05:40,0,0
05:48,0,0
05:57,0,0
06:04,0,0
06:13,0,0
06:22,0,0
06:31,0,0
06:38,0,0
06:46,0,0
06:53,0,0
06:59,0,0
07:07,0,0
07:14,0,0
07:20,0,0
07:28,0,0
07:35,0,0
07:42,0,0
07:48,0,0
07:56,0,0
08:03,0,0
08:09,0,0
08:17,0,0
08:24,0,0
08:29,0,0
08:34,0,0
08:38,0,0
08:43,0,0
08:48,0,0
08:52,0,0
08:57,0,0
09:01,0,0
09:06,0,0
09:10,0,0
09:15,0,0
09:20,0,0
09:24,0,0
09:29,0,0
09:33,0,0
09:37,0,0
09:42,0,0
09:46,0,0
09:51,0,0
09:55,0,0
10:00,0,0
10:04,0,0
10:09,0,0
10:13,0,0
10:18,0,0
10:22,0,0
10:27,0,0
10:32,0,0
10:37,0,0
10:42,0,0
10:46,0,0
10:52,0,0
10:57,0,0
11:02,0,0
11:07,0,0
11:12,0,0
11:17,0,0
11:22,0,0
11:27,0,0
11:32,0,0
11:37,0,0
11:42,0,0
11:47,0,0
11:52,0,0
11:58,0,0
12:03,0,0
12:09,0,0
12:13,0,0
12:18,0,0
12:23,0,0
12:28,0,0
12:33,0,0
12:38,0,0
12:43,0,0
12:48,0,0
12:53,0,0
12:58,0,0
13:03,0,0
13:08,0,0
13:13,0,0
13:18,0,0
13:23,0,0
13:28,0,0
13:33,0,0
13:38,0,0
13:43,0,0
13:48,0,0
13:53,0,0
13:58,0,0
14:03,0,0
14:08,0,0
14:13,0,0
14:18,0,0
14:23,0,0
14:28,0,0
14:33,0,0
14:38,0,0
14:43,0,0
14:48,0,0
14:53,0,0
14:58,0,0
15:03,0,0
15:08,0,0
15:13,0,0
15:18,0,0
15:23,0,0
15:28,0,0
15:33,0,0
15:38,0,0
15:43,0,0
15:48,0,0
15:53,0,0
15:58,0,0
16:03,0,0
16:08,0,0
16:13,0,0
16:18,0,0
16:23,0,0
16:28,0,0
16:33,0,0
16:38,0,0
16:43,0,0
16:48,0,0
16:52,0,0
16:57,0,0
17:01,0,0
17:06,0,0
17:11,0,0
17:15,0,0
17:18,0,0
17:23,0,0
17:27,0,0
17:32,0,0
17:36,0,0
17:41,0,0
17:45,0,0
17:49,0,0
17:55,0,0
17:58,0,0
18:03,0,0
18:07,0,0
18:12,0,0
18:17,0,0
18:21,0,0
18:26,0,0
18:30,0,0
18:35,0,0
18:40,0,0
18:44,0,0
18:48,0,0
18:53,0,0
18:57,0,0
19:02,0,0
19:06,0,0
19:11,0,0
19:15,0,0
19:20,0,0
19:24,0,0
19:28,0,0
19:33,0,0
19:38,0,0
19:43,0,0
19:47,0,0
19:51,0,0
19:56,0,0
20:01,0,0
20:06,0,0
20:11,0,0
20:16,0,0
20:22,0,0
20:28,0,0
20:34,0,0
20:40,0,0
20:46,0,0
20:53,0,0
21:00,0,0
21:07,0,0
21:14,0,0
21:21,0,0
21:27,0,0
21:34,0,0
21:41,0,0
21:47,0,0
21:53,0,0
21:58,0,0
22:04,0,0
22:10,0,0
22:16,0,0
22:23,0,0
22:29,0,0
22:36,0,0
22:42,0,0
22:48,0,0
22:54,0,0
23:00,0,0
23:07,0,0
23:14,0,0
23:21,0,0
23:28,0,0
23:35,0,0
23:42,0,0
23:49,0,1
23:56,0,1
00:03,0,1
00:10,0,1
00:17,0,1
00:24,0,1
