时间,是否始发站,是否终到站
05:32,0,0
05:40,0,0
05:48,0,0
05:56,0,0
06:05,0,0
06:14,0,0
06:23,0,0
06:30,0,0
06:37,0,0
06:44,0,0
06:51,0,0
06:58,0,0
07:05,0,0
07:12,0,0
07:19,0,0
07:26,0,0
07:33,0,0
07:40,0,0
07:47,0,0
07:54,0,0
08:01,0,0
08:08,0,0
08:15,0,0
08:21,0,0
08:25,0,0
08:30,0,0
08:35,0,0
08:39,0,0
08:43,0,0
08:48,0,0
08:53,0,0
08:57,0,0
09:02,0,0
09:06,0,0
09:11,0,0
09:15,0,0
09:20,0,0
09:25,0,0
09:29,0,0
09:33,0,0
09:38,0,0
09:42,0,0
09:47,0,0
09:51,0,0
09:56,0,0
10:00,0,0
10:05,0,0
10:09,0,0
10:14,0,0
10:19,0,0
10:24,0,0
10:29,0,0
10:34,0,0
10:38,0,0
10:44,0,0
10:49,0,0
10:54,0,0
10:59,0,0
11:04,0,0
11:09,0,0
11:14,0,0
11:19,0,0
11:24,0,0
11:29,0,0
11:34,0,0
11:39,0,0
11:44,0,0
11:50,0,0
11:54,0,0
12:00,0,0
12:04,0,0
12:09,0,0
12:14,0,0
12:20,0,0
12:24,0,0
12:29,0,0
12:34,0,0
12:40,0,0
12:44,0,0
12:49,0,0
12:54,0,0
13:00,0,0
13:04,0,0
13:09,0,0
13:14,0,0
13:20,0,0
13:24,0,0
13:29,0,0
13:34,0,0
13:40,0,0
13:44,0,0
13:49,0,0
13:54,0,0
14:00,0,0
14:04,0,0
14:09,0,0
14:14,0,0
14:20,0,0
14:24,0,0
14:29,0,0
14:34,0,0
14:40,0,0
14:44,0,0
14:49,0,0
14:54,0,0
15:00,0,0
15:04,0,0
15:09,0,0
15:14,0,0
15:20,0,0
15:24,0,0
15:29,0,0
15:34,0,0
15:40,0,0
15:44,0,0
15:49,0,0
15:54,0,0
15:59,0,0
16:04,0,0
16:09,0,0
16:14,0,0
16:19,0,0
16:24,0,0
16:29,0,0
16:34,0,0
16:40,0,0
16:44,0,0
16:48,0,0
16:53,0,0
16:57,0,0
17:02,0,0
17:06,0,0
17:10,0,0
17:14,0,0
17:18,0,0
17:23,0,0
17:28,0,0
17:33,0,0
17:37,0,0
17:41,0,0
17:46,0,0
17:50,0,0
17:55,0,0
17:59,0,0
18:04,0,0
18:08,0,0
18:13,0,0
18:17,0,0
18:22,0,0
18:27,0,0
18:31,0,0
18:35,0,0
18:39,0,0
18:44,0,0
18:49,0,0
18:53,0,0
18:58,0,0
19:02,0,0
19:07,0,0
19:11,0,0
19:16,0,0
19:20,0,0
19:24,0,0
19:29,0,0
19:34,0,0
19:38,0,0
19:43,0,0
19:47,0,0
19:52,0,0
19:57,0,0
20:02,0,0
20:07,0,0
20:13,0,0
20:19,0,0
20:25,0,0
20:31,0,0
20:37,0,0
20:41,0,0
20:45,0,0
20:51,0,0
20:55,0,0
20:59,0,0
21:06,0,0
21:11,0,0
21:14,0,0
21:19,0,0
21:25,0,0
21:32,0,0
21:39,0,0
21:44,0,0
21:50,0,0
21:56,0,0
22:02,0,0
22:08,0,0
22:14,0,0
22:21,0,0
22:27,0,0
22:33,0,0
22:39,0,0
22:45,0,0
22:52,0,0
22:58,0,0
23:05,0,0
23:13,0,0
23:19,0,0
23:26,0,0
23:34,0,0
23:40,0,0
23:47,0,0
23:54,0,0
00:01,0,0
00:08,0,0
00:16,0,0
