时间,是否始发站,是否终到站
04:59,1,0
05:06,1,0
05:15,1,0
05:28,1,0
05:38,1,0
05:47,1,0
05:57,1,0
06:08,0,0
06:16,0,0
06:25,0,0
06:32,0,0
06:41,0,0
06:50,0,0
06:59,0,0
07:06,0,0
07:13,0,0
07:20,0,0
07:27,0,0
07:34,0,0
07:41,0,0
07:48,0,0
07:55,0,0
08:02,0,0
08:09,0,0
08:16,0,0
08:23,0,0
08:30,0,0
08:37,0,0
08:44,0,0
08:51,0,0
08:57,0,0
09:01,0,0
09:06,0,0
09:11,0,0
09:15,0,0
09:19,0,0
09:24,0,0
09:31,0,0
09:38,0,0
09:43,0,0
09:49,0,0
09:56,0,0
10:02,0,0
10:07,0,0
10:14,0,0
10:18,0,0
10:25,0,0
10:32,0,0
10:37,0,0
10:43,0,0
10:50,0,0
10:56,0,0
11:00,0,0
11:07,0,0
11:14,0,0
11:22,0,0
11:30,0,0
11:37,0,0
11:42,0,0
11:50,0,0
11:57,0,0
12:02,0,0
12:10,0,0
12:17,0,0
12:22,0,0
12:28,0,0
12:36,0,0
12:40,0,0
12:48,0,0
12:56,0,0
13:00,0,0
13:08,0,0
13:16,0,0
13:20,0,0
13:28,0,0
13:36,0,0
13:40,0,0
13:48,0,0
13:56,0,0
14:00,0,0
14:08,0,0
14:16,0,0
14:20,0,0
14:28,0,0
14:36,0,0
14:40,0,0
14:48,0,0
14:56,0,0
15:00,0,0
15:08,0,0
15:16,0,0
15:20,0,0
15:28,0,0
15:36,0,0
15:40,0,0
15:48,0,0
15:56,0,0
16:00,0,0
16:08,0,0
16:16,0,0
16:20,0,0
16:28,0,0
16:35,0,0
16:40,0,0
16:48,0,0
16:55,0,0
17:00,0,0
17:08,0,0
17:16,0,0
17:20,0,0
17:24,0,0
17:31,0,0
17:39,0,0
17:43,0,0
17:48,0,0
17:54,0,0
17:59,0,0
18:04,0,0
18:11,0,0
18:17,0,0
18:22,0,0
18:28,0,0
18:35,0,0
18:40,0,1
18:44,0,0
18:52,0,0
18:58,0,0
19:03,0,0
19:10,0,0
19:16,0,1
19:20,0,0
19:25,0,0
19:32,0,0
19:38,0,0
19:43,0,0
19:50,0,0
19:56,0,0
20:00,0,0
20:05,0,0
20:10,0,0
20:14,0,0
20:19,0,0
20:23,0,0
20:28,0,0
20:33,0,0
20:38,0,1
20:43,0,0
20:49,0,0
20:55,0,0
21:01,0,0
21:07,0,0
21:14,0,0
21:21,0,0
21:28,0,0
21:35,0,0
21:42,0,0
21:48,0,0
21:55,0,0
22:02,0,0
22:08,0,0
22:15,0,0
22:20,0,0
22:26,0,0
22:32,0,0
22:38,0,0
22:44,0,0
22:50,0,0
22:57,0,0
23:03,0,0
23:09,0,0
23:15,0,0
23:21,0,0
23:28,0,0
23:35,0,0
23:42,0,0
23:49,0,0
23:56,0,0
00:03,0,0
00:10,0,0
