时间,是否始发站,是否终到站
05:13,1,0
05:22,0,0
05:31,0,0
05:38,0,0
05:47,0,0
05:56,0,0
06:05,0,0
06:12,0,0
06:20,0,0
06:27,0,0
06:33,0,0
06:41,0,0
06:48,0,0
06:54,0,0
07:02,0,0
07:09,0,0
07:16,0,0
07:22,0,0
07:30,0,0
07:37,0,0
07:43,0,0
07:51,0,0
07:58,0,0
08:03,0,0
08:08,0,0
08:12,0,0
08:17,0,0
08:22,0,0
08:26,0,0
08:31,0,0
08:35,0,0
08:40,0,0
08:44,0,0
08:49,0,0
08:54,0,0
08:58,0,0
09:02,0,0
09:07,0,0
09:11,0,0
09:16,0,0
09:20,0,0
09:25,0,0
09:29,0,0
09:34,0,0
09:38,0,0
09:43,0,0
09:47,0,0
09:52,0,0
09:56,0,0
10:01,0,0
10:06,0,0
10:11,0,0
10:16,0,0
10:20,0,0
10:26,0,0
10:31,0,0
10:35,0,0
10:41,0,0
10:46,0,0
10:51,0,0
10:55,0,0
11:01,0,0
11:06,0,0
11:11,0,0
11:16,0,0
11:21,0,0
11:26,0,0
11:32,0,0
11:37,0,0
11:42,0,0
11:47,0,0
11:52,0,0
11:57,0,0
12:01,0,0
12:07,0,0
12:12,0,0
12:17,0,0
12:21,0,0
12:27,0,0
12:32,0,0
12:37,0,0
12:41,0,0
12:47,0,0
12:52,0,0
12:57,0,0
13:01,0,0
13:07,0,0
13:12,0,0
13:17,0,0
13:21,0,0
13:27,0,0
13:32,0,0
13:37,0,0
13:41,0,0
13:47,0,0
13:52,0,0
13:57,0,0
14:01,0,0
14:07,0,0
14:12,0,0
14:17,0,0
14:21,0,0
14:27,0,0
14:32,0,0
14:37,0,0
14:41,0,0
14:47,0,0
14:52,0,0
14:57,0,0
15:01,0,0
15:07,0,0
15:12,0,0
15:17,0,0
15:21,0,0
15:27,0,0
15:32,0,0
15:37,0,0
15:40,0,0
15:47,0,0
15:52,0,0
15:57,0,0
16:00,0,0
16:07,0,0
16:12,0,0
16:17,0,0
16:21,0,0
16:26,0,0
16:31,0,0
16:35,0,0
16:40,0,0
16:45,0,0
16:49,0,0
16:52,0,0
16:57,0,0
17:00,0,0
17:06,0,0
17:10,0,0
17:15,0,0
17:19,0,0
17:23,0,0
17:28,0,0
17:32,0,0
17:37,0,0
17:41,0,0
17:46,0,0
17:51,0,0
17:55,0,0
18:00,0,0
18:04,0,0
18:09,0,0
18:13,0,0
18:18,0,0
18:21,0,0
18:27,0,0
18:31,0,0
18:36,0,0
18:40,0,0
18:44,0,0
18:49,0,0
18:54,0,0
18:58,0,0
19:02,0,0
19:07,0,0
19:12,0,0
19:17,0,0
19:21,0,0
19:25,0,0
19:30,0,0
19:35,0,0
19:39,0,0
19:44,0,0
19:49,0,0
19:55,0,0
20:01,0,0
20:07,0,0
20:13,0,0
20:19,0,0
20:24,0,0
20:27,0,0
20:33,0,0
20:38,0,0
20:41,0,0
20:48,0,0
20:53,0,0
20:57,0,0
21:01,0,0
21:08,0,0
21:14,0,0
21:21,0,0
21:26,0,0
21:32,0,0
21:38,0,0
21:44,0,0
21:50,0,0
21:56,0,0
22:03,0,0
22:09,0,0
22:15,0,0
22:21,0,0
22:27,0,0
22:34,0,0
22:41,0,0
22:48,0,0
22:55,0,0
23:02,0,0
23:09,0,0
23:16,0,0
23:23,0,0
23:30,0,0
23:37,0,0
23:44,0,0
23:51,0,0
23:58,0,0
