时间,是否始发站,是否终到站
05:34,0,0
05:42,0,0
05:51,0,0
05:58,0,0
06:07,0,0
06:16,0,0
06:25,0,0
06:32,0,0
06:40,0,0
06:47,0,0
06:53,0,0
07:01,0,0
07:08,0,0
07:14,0,0
07:22,0,0
07:29,0,0
07:36,0,0
07:42,0,0
07:50,0,0
07:57,0,0
08:03,0,0
08:11,0,0
08:18,0,0
08:23,0,0
08:28,0,0
08:32,0,0
08:37,0,0
08:42,0,0
08:46,0,0
08:51,0,0
08:55,0,0
09:00,0,0
09:04,0,0
09:09,0,0
09:14,0,0
09:18,0,0
09:23,0,0
09:27,0,0
09:31,0,0
09:36,0,0
09:40,0,0
09:45,0,0
09:49,0,0
09:54,0,0
09:58,0,0
10:03,0,0
10:07,0,0
10:12,0,0
10:16,0,0
10:21,0,0
10:26,0,0
10:31,0,0
10:36,0,0
10:40,0,0
10:46,0,0
10:51,0,0
10:56,0,0
11:01,0,0
11:06,0,0
11:11,0,0
11:16,0,0
11:21,0,0
11:26,0,0
11:31,0,0
11:36,0,0
11:41,0,0
11:46,0,0
11:52,0,0
11:57,0,0
12:03,0,0
12:07,0,0
12:12,0,0
12:17,0,0
12:22,0,0
12:27,0,0
12:32,0,0
12:37,0,0
12:42,0,0
12:47,0,0
12:52,0,0
12:57,0,0
13:02,0,0
13:07,0,0
13:12,0,0
13:17,0,0
13:22,0,0
13:27,0,0
13:32,0,0
13:37,0,0
13:42,0,0
13:47,0,0
13:52,0,0
13:57,0,0
14:02,0,0
14:07,0,0
14:12,0,0
14:17,0,0
14:22,0,0
14:27,0,0
14:32,0,0
14:37,0,0
14:42,0,0
14:47,0,0
14:52,0,0
14:57,0,0
15:02,0,0
15:07,0,0
15:12,0,0
15:17,0,0
15:22,0,0
15:27,0,0
15:32,0,0
15:37,0,0
15:42,0,0
15:47,0,0
15:52,0,0
15:57,0,0
16:02,0,0
16:07,0,0
16:12,0,0
16:17,0,0
16:22,0,0
16:27,0,0
16:32,0,0
16:37,0,0
16:42,0,0
16:46,0,0
16:51,0,0
16:55,0,0
17:00,0,0
17:05,0,0
17:09,0,0
17:12,0,0
17:17,0,0
17:21,0,0
17:26,0,0
17:30,0,0
17:35,0,0
17:39,0,0
17:43,0,0
17:49,0,0
17:52,0,0
17:57,0,0
18:01,0,0
18:06,0,0
18:11,0,0
18:15,0,0
18:20,0,0
18:24,0,0
18:29,0,0
18:34,0,0
18:38,0,0
18:42,0,0
18:47,0,0
18:51,0,0
18:56,0,0
19:00,0,0
19:05,0,0
19:09,0,0
19:14,0,0
19:18,0,0
19:22,0,0
19:27,0,0
19:32,0,0
19:37,0,0
19:41,0,0
19:45,0,0
19:50,0,0
19:55,0,0
20:00,0,0
20:05,0,0
20:10,0,0
20:16,0,0
20:22,0,0
20:28,0,0
20:34,0,0
20:39,0,0
20:44,0,0
20:47,0,0
20:53,0,0
20:58,0,0
21:01,0,0
21:08,0,0
21:14,0,0
21:17,0,0
21:21,0,0
21:28,0,0
21:35,0,0
21:41,0,0
21:47,0,0
21:52,0,0
21:58,0,0
22:04,0,0
22:10,0,0
22:17,0,0
22:23,0,0
22:30,0,0
22:36,0,0
22:42,0,0
22:48,0,0
22:54,0,0
23:01,0,0
23:08,0,0
23:15,0,0
23:22,0,0
23:29,0,0
23:36,0,0
23:43,0,0
23:50,0,0
23:57,0,0
00:04,0,0
00:11,0,0
00:18,0,0
