时间,是否始发站,是否终到站
05:19,0,0
05:27,0,0
05:36,0,0
05:43,0,0
05:52,0,0
06:01,0,0
06:10,0,0
06:17,0,0
06:24,0,0
06:31,0,0
06:38,0,0
06:45,0,0
06:52,0,0
06:59,0,0
07:06,0,0
07:13,0,0
07:20,0,0
07:27,0,0
07:34,0,0
07:41,0,0
07:48,0,0
07:55,0,0
08:02,0,0
08:08,0,0
08:12,0,0
08:17,0,0
08:22,0,0
08:26,0,0
08:30,0,0
08:35,0,0
08:40,0,0
08:44,0,0
08:49,0,0
08:53,0,0
08:58,0,0
09:02,0,0
09:07,0,0
09:12,0,0
09:16,0,0
09:20,0,0
09:25,0,0
09:29,0,0
09:34,0,0
09:38,0,0
09:43,0,0
09:47,0,0
09:52,0,0
09:56,0,0
10:01,0,0
10:06,0,0
10:11,0,0
10:16,0,0
10:21,0,0
10:25,0,0
10:31,0,0
10:36,0,0
10:41,0,0
10:46,0,0
10:51,0,0
10:56,0,0
11:01,0,0
11:06,0,0
11:11,0,0
11:16,0,0
11:21,0,0
11:26,0,0
11:31,0,0
11:37,0,0
11:41,0,0
11:47,0,0
11:51,0,0
11:56,0,0
12:01,0,0
12:07,0,0
12:11,0,0
12:16,0,0
12:21,0,0
12:27,0,0
12:31,0,0
12:36,0,0
12:41,0,0
12:47,0,0
12:51,0,0
12:56,0,0
13:01,0,0
13:07,0,0
13:11,0,0
13:16,0,0
13:21,0,0
13:27,0,0
13:31,0,0
13:36,0,0
13:41,0,0
13:47,0,0
13:51,0,0
13:56,0,0
14:01,0,0
14:07,0,0
14:11,0,0
14:16,0,0
14:21,0,0
14:27,0,0
14:31,0,0
14:36,0,0
14:41,0,0
14:47,0,0
14:51,0,0
14:56,0,0
15:01,0,0
15:07,0,0
15:11,0,0
15:16,0,0
15:21,0,0
15:27,0,0
15:31,0,0
15:36,0,0
15:41,0,0
15:46,0,0
15:51,0,0
15:56,0,0
16:01,0,0
16:06,0,0
16:11,0,0
16:16,0,0
16:21,0,0
16:27,0,0
16:31,0,0
16:35,0,0
16:40,0,0
16:44,0,0
16:50,0,0
16:54,0,0
16:57,0,0
17:01,0,0
17:05,0,0
17:10,0,0
17:15,0,0
17:20,0,0
17:24,0,0
17:28,0,0
17:33,0,0
17:37,0,0
17:42,0,0
17:46,0,0
17:51,0,0
17:55,0,0
18:00,0,0
18:04,0,0
18:09,0,0
18:14,0,0
18:18,0,0
18:22,0,0
18:26,0,0
18:31,0,0
18:36,0,0
18:41,0,0
18:45,0,0
18:49,0,0
18:54,0,0
18:59,0,0
19:03,0,0
19:07,0,0
19:11,0,0
19:16,0,0
19:21,0,0
19:25,0,0
19:30,0,0
19:34,0,0
19:39,0,0
19:44,0,0
19:49,0,0
19:54,0,0
20:00,0,0
20:06,0,0
20:12,0,0
20:18,0,0
20:24,0,0
20:29,0,0
20:32,0,0
20:38,0,0
20:43,0,0
20:46,0,0
20:53,0,0
20:58,0,0
21:02,0,0
21:06,0,0
21:13,0,0
21:19,0,0
21:26,0,0
21:31,0,0
21:37,0,0
21:43,0,0
21:49,0,0
21:55,0,0
22:01,0,0
22:08,0,0
22:14,0,0
22:20,0,0
22:26,0,0
22:32,0,0
22:39,0,0
22:46,0,0
22:53,0,0
23:00,0,0
23:07,0,0
23:14,0,0
23:21,0,0
23:28,0,0
23:35,0,0
23:42,0,0
23:49,0,0
23:56,0,0
00:03,0,0
