时间,是否始发站,是否终到站
05:18,0,0
05:26,0,0
05:34,0,0
05:43,0,0
05:52,0,0
06:01,0,0
06:08,0,0
06:15,0,0
06:22,0,0
06:29,0,0
06:36,0,0
06:43,0,0
06:50,0,0
06:57,0,0
07:04,0,0
07:11,0,0
07:18,0,0
07:25,0,0
07:32,0,0
07:39,0,0
07:46,0,0
07:53,0,0
07:59,0,0
08:03,0,0
08:08,0,0
08:13,0,0
08:17,0,0
08:21,0,0
08:26,0,0
08:31,0,0
08:35,0,0
08:39,0,0
08:44,0,0
08:49,0,0
08:53,0,0
08:57,0,0
09:03,0,0
09:07,0,0
09:11,0,0
09:15,0,0
09:20,0,0
09:25,0,0
09:29,0,0
09:33,0,0
09:38,0,0
09:43,0,0
09:47,0,0
09:51,0,0
09:57,0,0
10:02,0,0
10:07,0,0
10:12,0,0
10:15,0,0
10:22,0,0
10:27,0,0
10:30,0,0
10:37,0,0
10:42,0,0
10:47,0,0
10:50,0,0
10:57,0,0
11:02,0,0
11:07,0,0
11:11,0,0
11:17,0,0
11:22,0,0
11:28,0,0
11:32,0,0
11:37,0,0
11:42,0,0
11:47,0,0
11:52,0,0
11:56,0,0
12:02,0,0
12:07,0,0
12:12,0,0
12:16,0,0
12:22,0,0
12:27,0,0
12:32,0,0
12:36,0,0
12:42,0,0
12:47,0,0
12:52,0,0
12:56,0,0
13:02,0,0
13:07,0,0
13:12,0,0
13:16,0,0
13:22,0,0
13:27,0,0
13:32,0,0
13:36,0,0
13:42,0,0
13:47,0,0
13:52,0,0
13:56,0,0
14:02,0,0
14:07,0,0
14:12,0,0
14:16,0,0
14:22,0,0
14:27,0,0
14:32,0,0
14:36,0,0
14:42,0,0
14:47,0,0
14:52,0,0
14:56,0,0
15:02,0,0
15:07,0,0
15:12,0,0
15:16,0,0
15:22,0,0
15:27,0,0
15:32,0,0
15:35,0,0
15:42,0,0
15:47,0,0
15:52,0,0
15:55,0,0
16:02,0,0
16:07,0,0
16:12,0,0
16:16,0,0
16:22,0,0
16:26,0,0
16:31,0,0
16:35,0,0
16:39,0,0
16:44,0,0
16:48,0,0
16:52,0,0
16:55,0,0
17:01,0,0
17:06,0,0
17:11,0,0
17:15,0,0
17:18,0,0
17:24,0,0
17:28,0,0
17:33,0,0
17:36,0,0
17:42,0,0
17:46,0,0
17:51,0,0
17:55,0,0
17:59,0,0
18:05,0,0
18:09,0,0
18:13,0,0
18:16,0,0
18:22,0,0
18:27,0,0
18:32,0,0
18:36,0,0
18:39,0,0
18:45,0,0
18:50,0,0
18:54,0,0
18:57,0,0
19:02,0,0
19:07,0,0
19:12,0,0
19:16,0,0
19:20,0,0
19:25,0,0
19:30,0,0
19:35,0,0
19:39,0,0
19:45,0,0
19:51,0,0
19:57,0,0
20:03,0,0
20:09,0,0
20:15,0,0
20:19,0,0
20:23,0,0
20:29,0,0
20:33,0,0
20:37,0,0
20:44,0,0
20:49,0,0
20:53,0,0
20:57,0,0
21:03,0,0
21:10,0,0
21:17,0,0
21:22,0,0
21:28,0,0
21:34,0,0
21:40,0,0
21:46,0,0
21:52,0,0
21:59,0,0
22:05,0,0
22:11,0,0
22:17,0,0
22:23,0,0
22:30,0,0
22:37,0,0
22:44,0,0
22:51,0,0
22:58,0,0
23:05,0,0
23:12,0,0
23:19,0,0
23:26,0,0
23:33,0,0
23:40,0,0
23:47,0,0
23:54,0,0
