时间,是否始发站,是否终到站
06:00,0,0
06:08,0,0
06:16,0,0
06:24,0,0
06:33,0,0
06:42,0,0
06:51,0,0
06:58,0,0
07:05,0,0
07:12,0,0
07:19,0,0
07:26,0,0
07:33,0,0
07:40,0,0
07:47,0,0
07:54,0,0
08:01,0,0
08:08,0,0
08:15,0,0
08:22,0,0
08:29,0,0
08:36,0,0
08:43,0,0
08:49,0,0
08:53,0,0
08:58,0,0
09:03,0,0
09:07,0,0
09:11,0,0
09:16,0,0
09:22,0,0
09:25,0,1
09:30,0,0
09:35,0,0
09:41,0,0
09:44,0,1
09:48,0,0
09:54,0,0
09:58,0,0
10:02,0,1
10:06,0,0
10:10,0,0
10:16,0,0
10:20,0,1
10:24,0,0
10:29,0,0
10:34,0,0
10:38,0,1
10:42,0,0
10:48,0,0
10:52,0,0
10:59,0,0
11:02,0,1
11:06,0,0
11:14,0,0
11:17,0,1
11:22,0,0
11:29,0,0
11:34,0,0
11:37,0,1
11:42,0,0
11:49,0,0
11:54,0,0
11:57,0,1
12:02,0,0
12:09,0,0
12:14,0,0
12:19,0,0
12:23,0,1
12:28,0,0
12:32,0,0
12:39,0,0
12:43,0,1
12:48,0,0
12:52,0,0
12:59,0,0
13:03,0,1
13:08,0,0
13:12,0,0
13:19,0,0
13:23,0,1
13:28,0,0
13:32,0,0
13:39,0,0
13:43,0,1
13:48,0,0
13:52,0,0
13:59,0,0
14:03,0,1
14:08,0,0
14:12,0,0
14:19,0,0
14:23,0,1
14:28,0,0
14:32,0,0
14:39,0,0
14:40,0,1
14:48,0,0
14:52,0,0
14:59,0,0
15:03,0,1
15:08,0,0
15:12,0,0
15:19,0,0
15:23,0,1
15:28,0,0
15:32,0,0
15:39,0,0
15:43,0,1
15:48,0,0
15:52,0,0
15:59,0,0
16:03,0,1
16:08,0,0
16:12,0,0
16:19,0,0
16:23,0,1
16:27,0,0
16:32,0,0
16:39,0,0
16:43,0,1
16:47,0,0
16:52,0,0
16:59,0,0
17:03,0,1
17:08,0,0
17:12,0,0
17:16,0,0
17:23,0,0
17:26,0,1
17:30,0,0
17:34,0,0
17:40,0,0
17:43,0,1
17:46,0,0
17:51,0,0
17:56,0,0
18:02,0,0
18:05,0,1
18:09,0,0
18:14,0,0
18:20,0,0
18:23,0,1
18:27,0,0
18:32,0,0
18:36,0,0
18:43,0,0
18:46,0,1
18:50,0,0
18:55,0,0
19:01,0,0
19:04,0,1
19:07,0,0
19:12,0,0
19:17,0,0
19:23,0,0
19:26,0,1
19:30,0,0
19:35,0,0
19:41,0,0
19:44,0,1
19:48,0,0
19:52,0,0
19:57,0,0
20:02,0,0
20:06,0,0
20:11,0,0
20:15,0,0
20:20,0,0
20:25,0,0
20:30,0,0
20:35,0,0
20:41,0,0
20:47,0,0
20:53,0,0
20:59,0,0
21:06,0,0
21:13,0,0
21:20,0,0
21:27,0,0
21:33,0,0
21:40,0,0
21:47,0,0
21:53,0,0
22:00,0,0
22:07,0,0
22:12,0,0
22:18,0,0
22:23,0,0
22:29,0,0
22:35,0,0
22:42,0,0
22:48,0,0
22:55,0,0
23:01,0,0
23:07,0,0
23:13,0,0
23:19,0,0
23:26,0,0
23:33,0,0
23:41,0,0
23:47,0,0
23:54,0,0
00:02,0,0
