时间,是否始发站,是否终到站
05:30,0,0
05:38,0,0
05:46,0,0
05:54,0,0
06:03,0,0
06:12,0,0
06:21,0,0
06:28,0,0
06:35,0,0
06:42,0,0
06:49,0,0
06:56,0,0
07:03,0,0
07:10,0,0
07:17,0,0
07:24,0,0
07:31,0,0
07:38,0,0
07:45,0,0
07:52,0,0
07:59,0,0
08:06,0,0
08:13,0,0
08:19,0,0
08:23,0,0
08:28,0,0
08:33,0,0
08:37,0,0
08:41,0,0
08:46,0,0
08:51,0,0
08:55,0,0
09:00,0,0
09:04,0,0
09:09,0,0
09:13,0,0
09:18,0,0
09:23,0,0
09:27,0,0
09:31,0,0
09:36,0,0
09:40,0,0
09:45,0,0
09:49,0,0
09:54,0,0
09:58,0,0
10:03,0,0
10:07,0,0
10:12,0,0
10:17,0,0
10:22,0,0
10:27,0,0
10:32,0,0
10:36,0,0
10:42,0,0
10:47,0,0
10:52,0,0
10:57,0,0
11:02,0,0
11:07,0,0
11:12,0,0
11:17,0,0
11:22,0,0
11:27,0,0
11:32,0,0
11:37,0,0
11:42,0,0
11:48,0,0
11:52,0,0
11:58,0,0
12:02,0,0
12:07,0,0
12:12,0,0
12:18,0,0
12:22,0,0
12:27,0,0
12:32,0,0
12:38,0,0
12:42,0,0
12:47,0,0
12:52,0,0
12:58,0,0
13:02,0,0
13:07,0,0
13:12,0,0
13:18,0,0
13:22,0,0
13:27,0,0
13:32,0,0
13:38,0,0
13:42,0,0
13:47,0,0
13:52,0,0
13:58,0,0
14:02,0,0
14:07,0,0
14:12,0,0
14:18,0,0
14:22,0,0
14:27,0,0
14:32,0,0
14:38,0,0
14:42,0,0
14:47,0,0
14:52,0,0
14:58,0,0
15:02,0,0
15:07,0,0
15:12,0,0
15:18,0,0
15:22,0,0
15:27,0,0
15:32,0,0
15:38,0,0
15:42,0,0
15:47,0,0
15:52,0,0
15:57,0,0
16:02,0,0
16:07,0,0
16:12,0,0
16:17,0,0
16:22,0,0
16:27,0,0
16:32,0,0
16:38,0,0
16:42,0,0
16:46,0,0
16:51,0,0
16:55,0,0
17:00,0,0
17:04,0,0
17:08,0,0
17:12,0,0
17:16,0,0
17:21,0,0
17:26,0,0
17:31,0,0
17:35,0,0
17:39,0,0
17:44,0,0
17:48,0,0
17:53,0,0
17:57,0,0
18:02,0,0
18:06,0,0
18:11,0,0
18:15,0,0
18:20,0,0
18:25,0,0
18:29,0,0
18:33,0,0
18:37,0,0
18:42,0,0
18:47,0,0
18:52,0,0
18:56,0,0
19:00,0,0
19:05,0,0
19:10,0,0
19:14,0,0
19:18,0,0
19:22,0,0
19:27,0,0
19:32,0,0
19:36,0,0
19:41,0,0
19:45,0,0
19:50,0,0
19:55,0,0
20:00,0,0
20:05,0,0
20:11,0,0
20:17,0,0
20:23,0,0
20:29,0,0
20:35,0,0
20:39,0,0
20:43,0,0
20:49,0,0
20:53,0,0
20:57,0,0
21:04,0,0
21:09,0,0
21:13,0,0
21:17,0,0
21:23,0,0
21:30,0,0
21:37,0,0
21:42,0,0
21:48,0,0
21:54,0,0
22:00,0,0
22:06,0,0
22:12,0,0
22:19,0,0
22:25,0,0
22:31,0,0
22:37,0,0
22:43,0,0
22:50,0,0
22:57,0,0
23:04,0,0
23:11,0,0
23:18,0,0
23:25,0,0
23:32,0,0
23:39,0,0
23:46,0,0
23:53,0,0
00:00,0,0
00:07,0,0
00:14,0,0
