时间,是否始发站,是否终到站
05:06,0,0
05:14,0,0
05:21,0,0
05:30,0,0
05:39,0,0
05:48,0,0
05:55,0,0
06:03,0,0
06:10,0,0
06:16,0,0
06:24,0,0
06:31,0,0
06:37,0,0
06:45,0,0
06:52,0,0
06:59,0,0
07:05,0,0
07:13,0,0
07:20,0,0
07:26,0,0
07:34,0,0
07:41,0,0
07:46,0,0
07:51,0,0
07:55,0,0
08:00,0,0
08:05,0,0
08:09,0,0
08:14,0,0
08:18,0,0
08:25,0,0
08:32,0,0
08:37,0,0
08:44,0,0
08:51,0,0
08:54,0,0
09:01,0,0
09:08,0,0
09:12,0,0
09:19,0,0
09:26,0,0
09:30,0,0
09:37,0,0
09:44,0,0
09:49,0,0
09:54,0,0
10:01,0,0
10:09,0,0
10:16,0,0
10:23,0,0
10:29,0,0
10:36,0,0
10:43,0,0
10:49,0,0
10:57,0,0
11:04,0,0
11:09,0,0
11:15,0,0
11:24,0,0
11:29,0,0
11:35,0,0
11:43,0,0
11:49,0,0
11:55,0,0
12:03,0,0
12:09,0,0
12:15,0,0
12:23,0,0
12:29,0,0
12:35,0,0
12:43,0,0
12:49,0,0
12:55,0,0
13:03,0,0
13:09,0,0
13:15,0,0
13:23,0,0
13:29,0,0
13:35,0,0
13:43,0,0
13:49,0,0
13:55,0,0
14:03,0,0
14:09,0,0
14:15,0,0
14:23,0,0
14:29,0,0
14:35,0,0
14:43,0,0
14:49,0,0
14:55,0,0
15:03,0,0
15:09,0,0
15:15,0,0
15:22,0,0
15:29,0,0
15:35,0,0
15:42,0,0
15:49,0,0
15:55,0,0
16:03,0,0
16:08,0,0
16:14,0,0
16:18,0,0
16:26,0,0
16:31,0,0
16:35,0,0
16:42,0,0
16:48,0,0
16:53,0,0
16:58,0,0
17:04,0,0
17:11,0,0
17:15,0,0
17:22,0,0
17:28,0,0
17:34,0,0
17:38,0,0
17:45,0,0
17:52,0,0
17:57,0,0
18:03,0,0
18:09,0,0
18:14,0,0
18:19,0,0
18:26,0,0
18:31,0,0
18:37,0,0
18:43,0,0
18:49,0,0
18:55,0,0
19:00,0,0
19:06,0,0
19:12,0,0
19:18,0,0
19:26,0,0
19:32,0,0
19:39,0,0
19:45,0,0
19:51,0,0
19:57,0,0
20:03,0,0
20:07,0,0
20:11,0,0
20:17,0,0
20:21,0,0
20:25,0,0
20:31,0,0
20:37,0,0
20:40,0,0
20:45,0,0
20:51,0,0
20:58,0,0
21:05,0,0
21:10,0,0
21:16,0,0
21:21,0,0
21:27,0,0
21:33,0,0
21:40,0,0
21:46,0,0
21:53,0,0
21:59,0,0
22:05,0,0
22:11,0,0
22:17,0,0
22:24,0,0
22:31,0,0
22:38,0,0
22:45,0,0
22:52,0,0
22:59,0,0
23:06,0,0
23:13,0,0
23:20,0,0
23:27,0,0
23:34,0,0
23:41,0,0
