时间,是否始发站,是否终到站
05:23,0,0
05:31,0,0
05:40,0,0
05:47,0,0
05:56,0,0
06:05,0,0
06:14,0,0
06:21,0,0
06:28,0,0
06:35,0,0
06:42,0,0
06:49,0,0
06:56,0,0
07:03,0,0
07:10,0,0
07:17,0,0
07:24,0,0
07:31,0,0
07:38,0,0
07:45,0,0
07:52,0,0
07:59,0,0
08:06,0,0
08:12,0,0
08:16,0,0
08:21,0,0
08:26,0,0
08:30,0,0
08:34,0,0
08:39,0,0
08:44,0,0
08:48,0,0
08:53,0,0
08:57,0,0
09:02,0,0
09:06,0,0
09:11,0,0
09:16,0,0
09:20,0,0
09:24,0,0
09:29,0,0
09:33,0,0
09:38,0,0
09:42,0,0
09:47,0,0
09:51,0,0
09:56,0,0
10:00,0,0
10:05,0,0
10:10,0,0
10:15,0,0
10:20,0,0
10:25,0,0
10:29,0,0
10:35,0,0
10:40,0,0
10:45,0,0
10:50,0,0
10:55,0,0
11:00,0,0
11:05,0,0
11:10,0,0
11:15,0,0
11:20,0,0
11:25,0,0
11:30,0,0
11:35,0,0
11:41,0,0
11:45,0,0
11:51,0,0
11:55,0,0
12:00,0,0
12:05,0,0
12:11,0,0
12:15,0,0
12:20,0,0
12:25,0,0
12:31,0,0
12:35,0,0
12:40,0,0
12:45,0,0
12:51,0,0
12:55,0,0
13:00,0,0
13:05,0,0
13:11,0,0
13:15,0,0
13:20,0,0
13:25,0,0
13:31,0,0
13:35,0,0
13:40,0,0
13:45,0,0
13:51,0,0
13:55,0,0
14:00,0,0
14:05,0,0
14:11,0,0
14:15,0,0
14:20,0,0
14:25,0,0
14:31,0,0
14:35,0,0
14:40,0,0
14:45,0,0
14:51,0,0
14:55,0,0
15:00,0,0
15:05,0,0
15:11,0,0
15:15,0,0
15:20,0,0
15:25,0,0
15:31,0,0
15:35,0,0
15:40,0,0
15:45,0,0
15:50,0,0
15:55,0,0
16:00,0,0
16:05,0,0
16:10,0,0
16:15,0,0
16:20,0,0
16:25,0,0
16:31,0,0
16:35,0,0
16:39,0,0
16:44,0,0
16:48,0,0
16:54,0,0
16:57,0,0
17:01,0,0
17:05,0,0
17:09,0,0
17:14,0,0
17:19,0,0
17:24,0,0
17:28,0,0
17:32,0,0
17:37,0,0
17:41,0,0
17:46,0,0
17:50,0,0
17:55,0,0
17:59,0,0
18:04,0,0
18:08,0,0
18:13,0,0
18:18,0,0
18:22,0,0
18:26,0,0
18:30,0,0
18:35,0,0
18:40,0,0
18:45,0,0
18:49,0,0
18:53,0,0
18:58,0,0
19:03,0,0
19:07,0,0
19:11,0,0
19:15,0,0
19:20,0,0
19:25,0,0
19:29,0,0
19:34,0,0
19:38,0,0
19:43,0,0
19:48,0,0
19:53,0,0
19:58,0,0
20:04,0,0
20:10,0,0
20:16,0,0
20:22,0,0
20:28,0,0
20:33,0,0
20:36,0,0
20:42,0,0
20:47,0,0
20:50,0,0
20:57,0,0
21:02,0,0
21:06,0,0
21:10,0,0
21:17,0,0
21:23,0,0
21:30,0,0
21:35,0,0
21:41,0,0
21:47,0,0
21:53,0,0
21:59,0,0
22:05,0,0
22:12,0,0
22:18,0,0
22:24,0,0
22:30,0,0
22:36,0,0
22:43,0,0
22:50,0,0
22:57,0,0
23:04,0,0
23:11,0,0
23:18,0,0
23:25,0,0
23:32,0,0
23:39,0,0
23:46,0,0
23:53,0,0
00:00,0,0
00:07,0,0
