时间,是否始发站,是否终到站
05:06,0,0
05:13,0,0
05:22,0,0
05:35,0,0
05:45,0,0
05:54,0,0
06:04,0,0
06:15,0,0
06:23,0,0
06:32,0,0
06:39,0,0
06:48,0,0
06:57,0,0
07:06,0,0
07:13,0,0
07:20,0,0
07:27,0,0
07:34,0,0
07:41,0,0
07:48,0,0
07:55,0,0
08:02,0,0
08:09,0,0
08:16,0,0
08:23,0,0
08:30,0,0
08:37,0,0
08:44,0,0
08:51,0,0
08:58,0,0
09:04,0,0
09:08,0,0
09:13,0,0
09:18,0,0
09:22,0,0
09:26,0,0
09:31,0,0
09:38,0,0
09:45,0,0
09:50,0,0
09:56,0,0
10:03,0,0
10:09,0,0
10:14,0,0
10:21,0,0
10:25,0,0
10:32,0,0
10:39,0,0
10:44,0,0
10:50,0,0
10:57,0,0
11:03,0,0
11:07,0,0
11:14,0,0
11:21,0,0
11:29,0,0
11:37,0,0
11:44,0,0
11:49,0,0
11:57,0,0
12:04,0,0
12:09,0,0
12:17,0,0
12:24,0,0
12:29,0,0
12:35,0,0
12:43,0,0
12:47,0,0
12:55,0,0
13:03,0,0
13:07,0,0
13:15,0,0
13:23,0,0
13:27,0,0
13:35,0,0
13:43,0,0
13:47,0,0
13:55,0,0
14:03,0,0
14:07,0,0
14:15,0,0
14:23,0,0
14:27,0,0
14:35,0,0
14:43,0,0
14:47,0,0
14:55,0,0
15:03,0,0
15:07,0,0
15:15,0,0
15:23,0,0
15:27,0,0
15:35,0,0
15:43,0,0
15:47,0,0
15:55,0,0
16:03,0,0
16:07,0,0
16:15,0,0
16:23,0,0
16:27,0,0
16:35,0,0
16:42,0,0
16:47,0,0
16:55,0,0
17:02,0,0
17:07,0,0
17:15,0,0
17:23,0,0
17:27,0,0
17:31,0,0
17:38,0,0
17:46,0,0
17:50,0,0
17:55,0,0
18:01,0,0
18:06,0,0
18:11,0,0
18:18,0,0
18:24,0,0
18:29,0,0
18:35,0,0
18:42,0,0
18:51,0,0
18:59,0,0
19:05,0,0
19:10,0,0
19:17,0,0
19:27,0,0
19:32,0,0
19:39,0,0
19:45,0,0
19:50,0,0
19:57,0,0
20:03,0,0
20:07,0,0
20:12,0,0
20:17,0,0
20:21,0,0
20:26,0,0
20:30,0,0
20:35,0,0
20:40,0,0
20:50,0,0
20:56,0,0
21:02,0,0
21:08,0,0
21:14,0,0
21:21,0,0
21:28,0,0
21:35,0,0
21:42,0,0
21:49,0,0
21:55,0,0
22:02,0,0
22:09,0,0
22:15,0,0
22:22,0,0
22:27,0,0
22:33,0,0
22:39,0,0
22:45,0,0
22:51,0,0
22:57,0,0
23:04,0,0
23:10,0,0
23:16,0,0
23:22,0,0
23:28,0,0
23:35,0,0
23:42,0,0
23:49,0,0
23:56,0,0
00:03,0,0
00:10,0,0
00:17,0,0
