时间,是否始发站,是否终到站
05:03,0,0
05:10,0,0
05:19,0,0
05:32,0,0
05:42,0,0
05:51,0,0
06:01,0,0
06:12,0,0
06:20,0,0
06:29,0,0
06:36,0,0
06:45,0,0
06:54,0,0
07:03,0,0
07:10,0,0
07:17,0,0
07:24,0,0
07:31,0,0
07:38,0,0
07:45,0,0
07:52,0,0
07:59,0,0
08:06,0,0
08:13,0,0
08:20,0,0
08:27,0,0
08:34,0,0
08:41,0,0
08:48,0,0
08:55,0,0
09:01,0,0
09:05,0,0
09:10,0,0
09:15,0,0
09:19,0,0
09:23,0,0
09:28,0,0
09:35,0,0
09:42,0,0
09:47,0,0
09:53,0,0
10:00,0,0
10:06,0,0
10:11,0,0
10:18,0,0
10:22,0,0
10:29,0,0
10:36,0,0
10:41,0,0
10:47,0,0
10:54,0,0
11:00,0,0
11:04,0,0
11:11,0,0
11:18,0,0
11:26,0,0
11:34,0,0
11:41,0,0
11:46,0,0
11:54,0,0
12:01,0,0
12:06,0,0
12:14,0,0
12:21,0,0
12:26,0,0
12:32,0,0
12:40,0,0
12:44,0,0
12:52,0,0
13:00,0,0
13:04,0,0
13:12,0,0
13:20,0,0
13:24,0,0
13:32,0,0
13:40,0,0
13:44,0,0
13:52,0,0
14:00,0,0
14:04,0,0
14:12,0,0
14:20,0,0
14:24,0,0
14:32,0,0
14:40,0,0
14:44,0,0
14:52,0,0
15:00,0,0
15:04,0,0
15:12,0,0
15:20,0,0
15:24,0,0
15:32,0,0
15:40,0,0
15:44,0,0
15:52,0,0
16:00,0,0
16:04,0,0
16:12,0,0
16:20,0,0
16:24,0,0
16:32,0,0
16:39,0,0
16:44,0,0
16:52,0,0
16:59,0,0
17:04,0,0
17:12,0,0
17:20,0,0
17:24,0,0
17:28,0,0
17:35,0,0
17:43,0,0
17:47,0,0
17:52,0,0
17:58,0,0
18:03,0,0
18:08,0,0
18:15,0,0
18:21,0,0
18:26,0,0
18:32,0,0
18:39,0,0
18:48,0,0
18:56,0,0
19:02,0,0
19:07,0,0
19:14,0,0
19:24,0,0
19:29,0,0
19:36,0,0
19:42,0,0
19:47,0,0
19:54,0,0
20:00,0,0
20:04,0,0
20:09,0,0
20:14,0,0
20:18,0,0
20:23,0,0
20:27,0,0
20:32,0,0
20:37,0,0
20:47,0,0
20:53,0,0
20:59,0,0
21:05,0,0
21:11,0,0
21:18,0,0
21:25,0,0
21:32,0,0
21:39,0,0
21:46,0,0
21:52,0,0
21:59,0,0
22:06,0,0
22:12,0,0
22:19,0,0
22:24,0,0
22:30,0,0
22:36,0,0
22:42,0,0
22:48,0,0
22:54,0,0
23:01,0,0
23:07,0,0
23:13,0,0
23:19,0,0
23:25,0,0
23:32,0,0
23:39,0,0
23:46,0,0
23:53,0,0
00:00,0,0
00:07,0,0
00:14,0,0
