时间,是否始发站,是否终到站
05:57,0,0
06:05,0,0
06:14,0,0
06:21,0,0
06:30,0,0
06:39,0,0
06:48,0,0
06:55,0,0
07:03,0,0
07:10,0,0
07:16,0,0
07:24,0,0
07:31,0,0
07:37,0,0
07:45,0,0
07:52,0,0
07:59,0,0
08:05,0,0
08:13,0,0
08:20,0,0
08:26,0,0
08:34,0,0
08:41,0,0
08:46,0,0
08:51,0,0
08:55,0,0
09:00,0,0
09:05,0,0
09:09,0,0
09:14,0,0
09:19,0,0
09:23,0,0
09:27,0,0
09:32,0,0
09:38,0,0
09:41,0,0
09:46,0,0
09:51,0,0
09:55,0,0
09:59,0,0
10:03,0,0
10:08,0,0
10:13,0,0
10:17,0,0
10:21,0,0
10:26,0,0
10:31,0,0
10:35,0,0
10:39,0,0
10:45,0,0
10:49,0,0
10:56,0,0
10:59,0,0
11:03,0,0
11:11,0,0
11:14,0,0
11:19,0,0
11:26,0,0
11:31,0,0
11:34,0,0
11:39,0,0
11:46,0,0
11:51,0,0
11:54,0,0
11:59,0,0
12:06,0,0
12:11,0,0
12:16,0,0
12:20,0,0
12:25,0,0
12:30,0,0
12:36,0,0
12:40,0,0
12:45,0,0
12:50,0,0
12:56,0,0
13:00,0,0
13:05,0,0
13:10,0,0
13:16,0,0
13:20,0,0
13:25,0,0
13:30,0,0
13:36,0,0
13:40,0,0
13:45,0,0
13:50,0,0
13:56,0,0
14:00,0,0
14:05,0,0
14:10,0,0
14:16,0,0
14:20,0,0
14:25,0,0
14:30,0,0
14:36,0,0
14:40,0,0
14:45,0,0
14:50,0,0
14:56,0,0
15:00,0,0
15:05,0,0
15:10,0,0
15:16,0,0
15:20,0,0
15:25,0,0
15:30,0,0
15:36,0,0
15:40,0,0
15:45,0,0
15:50,0,0
15:56,0,0
16:00,0,0
16:05,0,0
16:10,0,0
16:16,0,0
16:20,0,0
16:25,0,0
16:30,0,0
16:36,0,0
16:40,0,0
16:45,0,0
16:50,0,0
16:56,0,0
17:00,0,0
17:05,0,0
17:09,0,0
17:14,0,0
17:20,0,0
17:23,0,0
17:28,0,0
17:32,0,0
17:37,0,0
17:40,0,0
17:44,0,0
17:49,0,0
17:53,0,0
17:59,0,0
18:02,0,0
18:06,0,0
18:11,0,0
18:17,0,0
18:20,0,0
18:24,0,0
18:29,0,0
18:34,0,0
18:40,0,0
18:43,0,0
18:47,0,0
18:52,0,0
18:58,0,0
19:01,0,0
19:05,0,0
19:10,0,0
19:14,0,0
19:20,0,0
19:23,0,0
19:28,0,0
19:32,0,0
19:38,0,0
19:41,0,0
19:45,0,0
19:50,0,0
19:55,0,0
20:00,0,0
20:04,0,0
20:08,0,0
20:13,0,0
20:18,0,0
20:22,0,0
20:27,0,0
20:32,0,0
20:38,0,0
20:44,0,0
20:50,0,0
20:56,0,0
21:03,0,0
21:10,0,0
21:17,0,0
21:24,0,0
21:31,0,0
21:37,0,0
21:44,0,0
21:51,0,0
21:57,0,0
22:04,0,0
22:09,0,0
22:15,0,0
22:21,0,0
22:27,0,0
22:33,0,0
22:39,0,0
22:46,0,0
22:52,0,0
22:58,0,0
23:04,0,0
23:10,0,0
23:17,0,0
23:24,0,0
23:31,0,0
23:38,0,0
23:45,0,0
23:52,0,0
23:59,0,0
