时间,是否始发站,是否终到站
05:43,0,0
05:51,0,0
05:59,0,0
06:07,0,0
06:16,0,0
06:25,0,0
06:34,0,0
06:41,0,0
06:48,0,0
06:55,0,0
07:02,0,0
07:09,0,0
07:16,0,0
07:23,0,0
07:30,0,0
07:37,0,0
07:44,0,0
07:51,0,0
07:58,0,0
08:05,0,0
08:12,0,0
08:19,0,0
08:26,0,0
08:32,0,0
08:36,0,0
08:41,0,0
08:46,0,0
08:50,0,0
08:54,0,0
08:59,0,0
09:04,0,0
09:08,0,0
09:13,0,0
09:17,0,0
09:22,0,0
09:26,0,0
09:31,0,0
09:36,0,0
09:40,0,0
09:44,0,0
09:49,0,0
09:53,0,0
09:58,0,0
10:02,0,0
10:07,0,0
10:11,0,0
10:16,0,0
10:20,0,0
10:25,0,0
10:30,0,0
10:35,0,0
10:40,0,0
10:45,0,0
10:49,0,0
10:55,0,0
11:00,0,0
11:05,0,0
11:10,0,0
11:15,0,0
11:20,0,0
11:25,0,0
11:30,0,0
11:35,0,0
11:40,0,0
11:45,0,0
11:50,0,0
11:55,0,0
12:01,0,0
12:05,0,0
12:11,0,0
12:15,0,0
12:20,0,0
12:25,0,0
12:31,0,0
12:35,0,0
12:40,0,0
12:45,0,0
12:51,0,0
12:55,0,0
13:00,0,0
13:05,0,0
13:11,0,0
13:15,0,0
13:20,0,0
13:25,0,0
13:31,0,0
13:35,0,0
13:40,0,0
13:45,0,0
13:51,0,0
13:55,0,0
14:00,0,0
14:05,0,0
14:11,0,0
14:15,0,0
14:20,0,0
14:25,0,0
14:31,0,0
14:35,0,0
14:40,0,0
14:45,0,0
14:51,0,0
14:55,0,0
15:00,0,0
15:05,0,0
15:11,0,0
15:15,0,0
15:20,0,0
15:25,0,0
15:31,0,0
15:35,0,0
15:40,0,0
15:45,0,0
15:51,0,0
15:55,0,0
16:00,0,0
16:05,0,0
16:10,0,0
16:15,0,0
16:20,0,0
16:25,0,0
16:30,0,0
16:35,0,0
16:40,0,0
16:45,0,0
16:51,0,0
16:55,0,0
16:59,0,0
17:04,0,0
17:08,0,0
17:13,0,0
17:17,0,0
17:21,0,0
17:25,0,0
17:29,0,0
17:34,0,0
17:39,0,0
17:44,0,0
17:48,0,0
17:52,0,0
17:57,0,0
18:01,0,0
18:06,0,0
18:10,0,0
18:15,0,0
18:19,0,0
18:24,0,0
18:28,0,0
18:33,0,0
18:38,0,0
18:42,0,0
18:46,0,0
18:50,0,0
18:55,0,0
19:00,0,0
19:05,0,0
19:09,0,0
19:13,0,0
19:18,0,0
19:23,0,0
19:27,0,0
19:31,0,0
19:35,0,0
19:40,0,0
19:45,0,0
19:49,0,0
19:54,0,0
19:58,0,0
20:03,0,0
20:08,0,0
20:13,0,0
20:18,0,0
20:24,0,0
20:30,0,0
20:36,0,0
20:42,0,0
20:49,0,0
20:56,0,0
21:03,0,0
21:10,0,0
21:17,0,0
21:23,0,0
21:30,0,0
21:36,0,0
21:43,0,0
21:50,0,0
21:55,0,0
22:01,0,0
22:07,0,0
22:13,0,0
22:19,0,0
22:25,0,0
22:32,0,0
22:38,0,0
22:44,0,0
22:50,0,0
22:56,0,0
23:03,0,0
23:10,0,0
23:17,0,0
23:24,0,0
23:31,0,0
23:38,0,0
23:45,0,0
