时间,是否始发站,是否终到站
05:22,0,0
05:37,0,0
05:47,0,0
05:56,0,0
06:07,0,0
06:15,0,0
06:22,0,0
06:28,0,0
06:34,0,0
06:41,0,0
06:48,0,0
06:54,0,0
07:01,0,0
07:07,0,0
07:13,0,0
07:20,0,0
07:26,0,0
07:33,0,0
07:39,0,0
07:46,0,0
07:52,0,0
07:58,0,0
08:05,0,0
08:11,0,0
08:18,0,0
08:24,0,0
08:31,0,0
08:37,0,0
08:44,0,0
08:50,0,0
08:56,0,0
09:03,0,0
09:09,0,0
09:16,0,0
09:22,0,0
09:29,0,0
09:35,0,0
09:41,0,0
09:48,0,0
09:54,0,0
10:01,0,0
10:07,0,0
10:14,0,0
10:20,0,0
10:26,0,0
10:33,0,0
10:39,0,0
10:46,0,0
10:52,0,0
10:59,0,0
11:05,0,0
11:11,0,0
11:18,0,0
11:24,0,0
11:31,0,0
11:37,0,0
11:44,0,0
11:50,0,0
11:57,0,0
12:03,0,0
12:09,0,0
12:16,0,0
12:22,0,0
12:29,0,0
12:35,0,0
12:42,0,0
12:48,0,0
12:54,0,0
13:01,0,0
13:07,0,0
13:14,0,0
13:20,0,0
13:27,0,0
13:33,0,0
13:39,0,0
13:46,0,0
13:52,0,0
13:59,0,0
14:05,0,0
14:12,0,0
14:18,0,0
14:24,0,0
14:31,0,0
14:37,0,0
14:44,0,0
14:50,0,0
14:57,0,0
15:03,0,0
15:10,0,0
15:16,0,0
15:22,0,0
15:29,0,0
15:35,0,0
15:42,0,0
15:48,0,0
15:55,0,0
16:01,0,0
16:07,0,0
16:14,0,0
16:20,0,0
16:27,0,0
16:33,0,0
16:40,0,0
16:46,0,0
16:52,0,0
16:59,0,0
17:05,0,0
17:12,0,0
17:18,0,0
17:25,0,0
17:31,0,0
17:37,0,0
17:44,0,0
17:50,0,0
17:57,0,0
18:03,0,0
18:10,0,0
18:16,0,0
18:23,0,0
18:29,0,0
18:35,0,0
18:42,0,0
18:48,0,0
18:55,0,0
19:01,0,0
19:08,0,0
19:14,0,0
19:20,0,0
19:27,0,0
19:33,0,0
19:40,0,0
19:46,0,0
19:53,0,0
19:59,0,0
20:05,0,0
20:12,0,0
20:18,0,0
20:25,0,0
20:31,0,0
20:38,0,0
20:44,0,0
20:50,0,0
20:57,0,0
21:03,0,0
21:10,0,0
21:16,0,0
21:23,0,0
21:29,0,0
21:36,0,0
21:42,0,0
21:48,0,0
21:55,0,0
22:01,0,0
22:07,0,0
22:14,0,0
22:21,0,0
22:27,0,0
22:33,0,0
22:42,0,0
22:52,0,0
23:00,0,0
23:09,0,0
23:18,0,0
23:27,0,0
