时间,是否始发站,是否终到站
05:23,0,0
05:39,0,0
05:49,0,0
05:58,0,0
06:08,0,0
06:16,0,0
06:24,0,0
06:30,0,0
06:36,0,0
06:43,0,0
06:50,0,0
06:56,0,0
07:02,0,0
07:09,0,0
07:15,0,0
07:22,0,0
07:28,0,0
07:35,0,0
07:41,0,0
07:47,0,0
07:54,0,0
08:00,0,0
08:07,0,0
08:13,0,0
08:20,0,0
08:26,0,0
08:32,0,0
08:39,0,0
08:45,0,0
08:52,0,0
08:58,0,0
09:05,0,0
09:11,0,0
09:17,0,0
09:24,0,0
09:30,0,0
09:37,0,0
09:43,0,0
09:50,0,0
09:56,0,0
10:03,0,0
10:09,0,0
10:15,0,0
10:22,0,0
10:28,0,0
10:35,0,0
10:41,0,0
10:48,0,0
10:54,0,0
11:00,0,0
11:07,0,0
11:13,0,0
11:20,0,0
11:26,0,0
11:33,0,0
11:39,0,0
11:45,0,0
11:52,0,0
11:58,0,0
12:05,0,0
12:11,0,0
12:18,0,0
12:24,0,0
12:30,0,0
12:37,0,0
12:43,0,0
12:50,0,0
12:56,0,0
13:03,0,0
13:09,0,0
13:16,0,0
13:22,0,0
13:28,0,0
13:35,0,0
13:41,0,0
13:48,0,0
13:54,0,0
14:01,0,0
14:07,0,0
14:13,0,0
14:20,0,0
14:26,0,0
14:33,0,0
14:39,0,0
14:46,0,0
14:52,0,0
14:58,0,0
15:05,0,0
15:11,0,0
15:18,0,0
15:24,0,0
15:31,0,0
15:37,0,0
15:43,0,0
15:50,0,0
15:56,0,0
16:03,0,0
16:09,0,0
16:16,0,0
16:22,0,0
16:29,0,0
16:35,0,0
16:41,0,0
16:48,0,0
16:54,0,0
17:01,0,0
17:07,0,0
17:14,0,0
17:20,0,0
17:26,0,0
17:33,0,0
17:39,0,0
17:46,0,0
17:52,0,0
17:59,0,0
18:05,0,0
18:11,0,0
18:18,0,0
18:24,0,0
18:31,0,0
18:37,0,0
18:44,0,0
18:50,0,0
18:56,0,0
19:03,0,0
19:09,0,0
19:16,0,0
19:22,0,0
19:29,0,0
19:35,0,0
19:42,0,0
19:48,0,0
19:54,0,0
20:01,0,0
20:07,0,0
20:14,0,0
20:20,0,0
20:27,0,0
20:33,0,0
20:39,0,0
20:46,0,0
20:52,0,0
20:59,0,0
21:05,0,0
21:12,0,0
21:18,0,0
21:24,0,0
21:31,0,0
21:37,0,0
21:44,0,0
21:50,0,0
21:57,0,0
22:03,0,0
22:09,0,0
22:16,0,0
22:22,0,0
22:29,0,0
22:35,0,0
22:44,0,0
22:54,0,0
23:02,0,0
23:11,0,0
23:20,0,0
23:29,0,0
