时间,是否始发站,是否终到站
05:11,0,0
05:20,0,0
05:30,0,0
05:40,0,0
05:48,0,0
05:56,0,0
06:02,0,0
06:08,0,0
06:15,0,0
06:21,0,0
06:28,0,0
06:34,0,0
06:41,0,0
06:47,0,0
06:53,0,0
07:00,0,0
07:06,0,0
07:13,0,0
07:19,0,0
07:26,0,0
07:32,0,0
07:38,0,0
07:45,0,0
07:51,0,0
07:58,0,0
08:04,0,0
08:11,0,0
08:17,0,0
08:23,0,0
08:30,0,0
08:36,0,0
08:43,0,0
08:49,0,0
08:56,0,0
09:02,0,0
09:08,0,0
09:15,0,0
09:21,0,0
09:28,0,0
09:34,0,0
09:41,0,0
09:47,0,0
09:53,0,0
10:00,0,0
10:06,0,0
10:13,0,0
10:19,0,0
10:26,0,0
10:32,0,0
10:39,0,0
10:45,0,0
10:51,0,0
10:58,0,0
11:04,0,0
11:11,0,0
11:17,0,0
11:24,0,0
11:30,0,0
11:36,0,0
11:43,0,0
11:49,0,0
11:56,0,0
12:02,0,0
12:09,0,0
12:15,0,0
12:21,0,0
12:28,0,0
12:34,0,0
12:41,0,0
12:47,0,0
12:54,0,0
13:00,0,0
13:06,0,0
13:13,0,0
13:19,0,0
13:26,0,0
13:32,0,0
13:39,0,0
13:45,0,0
13:52,0,0
13:58,0,0
14:04,0,0
14:11,0,0
14:17,0,0
14:24,0,0
14:30,0,0
14:37,0,0
14:43,0,0
14:49,0,0
14:56,0,0
15:02,0,0
15:09,0,0
15:15,0,0
15:22,0,0
15:28,0,0
15:34,0,0
15:41,0,0
15:47,0,0
15:54,0,0
16:00,0,0
16:07,0,0
16:13,0,0
16:19,0,0
16:26,0,0
16:32,0,0
16:39,0,0
16:45,0,0
16:52,0,0
16:58,0,0
17:05,0,0
17:11,0,0
17:17,0,0
17:24,0,0
17:30,0,0
17:37,0,0
17:43,0,0
17:50,0,0
17:56,0,0
18:02,0,0
18:09,0,0
18:15,0,0
18:22,0,0
18:28,0,0
18:35,0,0
18:41,0,0
18:47,0,0
18:54,0,0
19:00,0,0
19:07,0,0
19:13,0,0
19:20,0,0
19:26,0,0
19:32,0,0
19:39,0,0
19:45,0,0
19:52,0,0
19:58,0,0
20:05,0,0
20:11,0,0
20:17,0,0
20:24,0,0
20:30,0,0
20:37,0,0
20:43,0,0
20:50,0,0
20:56,0,0
21:02,0,0
21:09,0,0
21:15,0,0
21:22,0,0
21:28,0,0
21:35,0,0
21:41,0,0
21:47,0,0
21:54,0,0
22:00,0,0
22:07,0,0
22:16,0,0
22:25,0,0
22:34,0,0
22:43,0,0
22:52,0,0
23:01,0,0
