时间,是否始发站,是否终到站
05:24,0,0
05:37,0,0
05:45,0,0
05:54,0,0
06:03,0,0
06:11,0,0
06:22,0,0
06:31,0,0
06:40,0,0
06:50,0,0
06:56,0,0
07:03,0,0
07:09,0,0
07:16,0,0
07:22,0,0
07:29,0,0
07:35,0,0
07:42,0,0
07:48,0,0
07:54,0,0
08:01,0,0
08:07,0,0
08:14,0,0
08:20,0,0
08:27,0,0
08:33,0,0
08:40,0,0
08:46,0,0
08:52,0,0
08:59,0,0
09:05,0,0
09:12,0,0
09:18,0,0
09:25,0,0
09:31,0,0
09:37,0,0
09:44,0,0
09:50,0,0
09:57,0,0
10:03,0,0
10:10,0,0
10:16,0,0
10:22,0,0
10:29,0,0
10:35,0,0
10:42,0,0
10:48,0,0
10:55,0,0
11:01,0,0
11:07,0,0
11:14,0,0
11:20,0,0
11:27,0,0
11:33,0,0
11:40,0,0
11:46,0,0
11:53,0,0
11:59,0,0
12:05,0,0
12:12,0,0
12:18,0,0
12:25,0,0
12:31,0,0
12:38,0,0
12:44,0,0
12:50,0,0
12:57,0,0
13:03,0,0
13:10,0,0
13:16,0,0
13:23,0,0
13:29,0,0
13:35,0,0
13:42,0,0
13:48,0,0
13:55,0,0
14:01,0,0
14:08,0,0
14:14,0,0
14:20,0,0
14:27,0,0
14:33,0,0
14:40,0,0
14:46,0,0
14:53,0,0
14:59,0,0
15:06,0,0
15:12,0,0
15:18,0,0
15:25,0,0
15:31,0,0
15:38,0,0
15:44,0,0
15:51,0,0
15:57,0,0
16:03,0,0
16:10,0,0
16:16,0,0
16:23,0,0
16:29,0,0
16:36,0,0
16:42,0,0
16:48,0,0
16:55,0,0
17:01,0,0
17:08,0,0
17:14,0,0
17:21,0,0
17:27,0,0
17:33,0,0
17:40,0,0
17:46,0,0
17:53,0,0
17:59,0,0
18:06,0,0
18:12,0,0
18:19,0,0
18:25,0,0
18:31,0,0
18:38,0,0
18:44,0,0
18:51,0,0
18:57,0,0
19:04,0,0
19:10,0,0
19:16,0,0
19:23,0,0
19:29,0,0
19:36,0,0
19:42,0,0
19:49,0,0
19:55,0,0
20:01,0,0
20:08,0,0
20:14,0,0
20:21,0,0
20:27,0,0
20:34,0,0
20:40,0,0
20:46,0,0
20:53,0,0
20:59,0,0
21:06,0,0
21:12,0,0
21:19,0,0
21:25,0,0
21:32,0,0
21:38,0,0
21:44,0,0
21:51,0,0
21:57,0,0
22:04,0,0
22:10,0,0
22:17,0,0
22:23,0,0
22:29,0,0
22:36,0,0
22:42,0,0
22:50,0,0
22:58,0,0
23:08,0,0
23:18,0,0
23:27,0,0
23:36,0,0
