时间,是否始发站,是否终到站
05:22,0,0
05:34,0,0
05:43,0,0
05:51,0,0
06:01,0,0
06:09,0,0
06:20,0,0
06:29,0,0
06:38,0,0
06:48,0,0
06:55,0,0
07:01,0,0
07:08,0,0
07:14,0,0
07:22,0,0
07:27,0,0
07:33,0,0
07:40,0,0
07:46,0,0
07:53,0,0
07:59,0,0
08:05,0,0
08:12,0,0
08:18,0,0
08:25,0,0
08:31,0,0
08:38,0,0
08:44,0,0
08:50,0,0
08:57,0,0
09:03,0,0
09:10,0,0
09:16,0,0
09:23,0,0
09:29,0,0
09:35,0,0
09:42,0,0
09:48,0,0
09:55,0,0
10:01,0,0
10:08,0,0
10:14,0,0
10:21,0,0
10:27,0,0
10:33,0,0
10:40,0,0
10:46,0,0
10:53,0,0
10:59,0,0
11:06,0,0
11:12,0,0
11:18,0,0
11:25,0,0
11:31,0,0
11:38,0,0
11:44,0,0
11:51,0,0
11:57,0,0
12:03,0,0
12:09,0,0
12:16,0,0
12:22,0,0
12:29,0,0
12:35,0,0
12:42,0,0
12:48,0,0
12:54,0,0
13:01,0,0
13:07,0,0
13:14,0,0
13:20,0,0
13:27,0,0
13:33,0,0
13:39,0,0
13:46,0,0
13:52,0,0
13:59,0,0
14:05,0,0
14:12,0,0
14:18,0,0
14:24,0,0
14:31,0,0
14:37,0,0
14:44,0,0
14:50,0,0
14:57,0,0
15:03,0,0
15:10,0,0
15:16,0,0
15:22,0,0
15:29,0,0
15:35,0,0
15:42,0,0
15:48,0,0
15:55,0,0
16:01,0,0
16:07,0,0
16:14,0,0
16:20,0,0
16:27,0,0
16:33,0,0
16:40,0,0
16:46,0,0
16:52,0,0
16:59,0,0
17:05,0,0
17:12,0,0
17:18,0,0
17:25,0,0
17:31,0,0
17:37,0,0
17:44,0,0
17:50,0,0
17:57,0,0
18:03,0,0
18:10,0,0
18:16,0,0
18:23,0,0
18:29,0,0
18:35,0,0
18:42,0,0
18:48,0,0
18:55,0,0
19:01,0,0
19:08,0,0
19:14,0,0
19:20,0,0
19:27,0,0
19:33,0,0
19:40,0,0
19:46,0,0
19:53,0,0
19:59,0,0
20:05,0,0
20:12,0,0
20:18,0,0
20:25,0,0
20:31,0,0
20:38,0,0
20:44,0,0
20:50,0,0
20:57,0,0
21:03,0,0
21:10,0,0
21:16,0,0
21:23,0,0
21:29,0,0
21:36,0,0
21:42,0,0
21:48,0,0
21:55,0,0
22:01,0,0
22:08,0,0
22:14,0,0
22:21,0,0
22:27,0,0
22:33,0,0
22:40,0,0
22:47,0,0
22:56,0,0
23:06,0,0
23:16,0,0
23:25,0,0
23:34,0,0
