时间,是否始发站,是否终到站
05:33,0,0
05:43,0,0
05:53,0,0
06:03,0,0
06:13,0,0
06:23,0,0
06:31,0,0
06:38,0,0
06:44,0,0
06:50,0,0
06:55,0,0
07:00,0,0
07:05,0,0
07:10,0,0
07:15,0,0
07:20,0,0
07:25,0,0
07:29,0,0
07:33,0,0
07:37,0,0
07:41,0,0
07:45,0,0
07:49,0,0
07:53,0,0
07:57,0,0
08:01,0,0
08:05,0,0
08:09,0,0
08:13,0,0
08:17,0,0
08:21,0,0
08:25,0,0
08:29,0,0
08:33,0,0
08:37,0,0
08:41,0,0
08:45,0,0
08:49,0,0
08:53,0,0
08:58,0,0
09:03,0,0
09:08,0,0
09:13,0,0
09:18,0,0
09:23,0,0
09:29,0,0
09:34,0,0
09:39,0,0
09:44,0,0
09:50,0,0
09:55,0,0
10:00,0,0
10:05,0,0
10:11,0,0
10:16,0,0
10:21,0,0
10:26,0,0
10:32,0,0
10:37,0,0
10:42,0,0
10:47,0,0
10:53,0,0
10:58,0,0
11:03,0,0
11:08,0,0
11:14,0,0
11:19,0,0
11:24,0,0
11:29,0,0
11:35,0,0
11:40,0,0
11:45,0,0
11:50,0,0
11:56,0,0
12:01,0,0
12:06,0,0
12:11,0,0
12:17,0,0
12:22,0,0
12:27,0,0
12:32,0,0
12:38,0,0
12:43,0,0
12:48,0,0
12:53,0,0
12:59,0,0
13:04,0,0
13:09,0,0
13:14,0,0
13:20,0,0
13:25,0,0
13:30,0,0
13:35,0,0
13:41,0,0
13:46,0,0
13:51,0,0
13:56,0,0
14:02,0,0
14:07,0,0
14:12,0,0
14:17,0,0
14:23,0,0
14:28,0,0
14:33,0,0
14:38,0,0
14:44,0,0
14:49,0,0
14:54,0,0
14:59,0,0
15:05,0,0
15:10,0,0
15:15,0,0
15:20,0,0
15:26,0,0
15:31,0,0
15:36,0,0
15:41,0,0
15:47,0,0
15:52,0,0
15:57,0,0
16:02,0,0
16:08,0,0
16:13,0,0
16:18,0,0
16:23,0,0
16:29,0,0
16:34,0,0
16:39,0,0
16:44,0,0
16:50,0,0
16:55,0,0
17:00,0,0
17:05,0,0
17:11,0,0
17:16,0,0
17:20,0,0
17:24,0,0
17:28,0,0
17:32,0,0
17:36,0,0
17:40,0,0
17:44,0,0
17:48,0,0
17:52,0,0
17:56,0,0
18:00,0,0
18:04,0,0
18:08,0,0
18:11,0,0
18:15,0,0
18:18,0,0
18:22,0,0
18:25,0,0
18:29,0,0
18:32,0,0
18:36,0,0
18:39,0,0
18:43,0,0
18:46,0,0
18:50,0,0
18:53,0,0
18:57,0,0
19:00,0,0
19:04,0,0
19:08,0,0
19:12,0,0
19:16,0,0
19:20,0,0
19:24,0,0
19:28,0,0
19:32,0,0
19:36,0,0
19:41,0,0
19:46,0,0
19:51,0,0
19:56,0,0
20:02,0,0
20:08,0,0
20:15,0,0
20:22,0,0
20:29,0,0
20:36,0,0
20:43,0,0
20:50,0,0
20:58,0,0
21:06,0,0
21:14,0,0
21:22,0,0
21:30,0,0
21:38,0,0
21:46,0,0
21:54,0,0
22:02,0,0
22:10,0,0
22:18,0,0
22:26,0,0
22:34,0,0
22:44,0,0
22:54,0,0
23:04,0,0
23:14,0,0
23:24,0,0
