时间,是否始发站,是否终到站
05:37,0,0
05:47,0,0
05:57,0,0
06:07,0,0
06:17,0,0
06:27,0,0
06:35,0,0
06:42,0,0
06:48,0,0
06:54,0,0
06:59,0,0
07:04,0,0
07:09,0,0
07:14,0,0
07:19,0,0
07:24,0,0
07:29,0,0
07:33,0,0
07:37,0,0
07:41,0,0
07:45,0,0
07:49,0,0
07:53,0,0
07:57,0,0
08:01,0,0
08:05,0,0
08:09,0,0
08:13,0,0
08:17,0,0
08:21,0,0
08:25,0,0
08:29,0,0
08:33,0,0
08:37,0,0
08:41,0,0
08:45,0,0
08:49,0,0
08:53,0,0
08:57,0,0
09:02,0,0
09:07,0,0
09:12,0,0
09:17,0,0
09:22,0,0
09:27,0,0
09:33,0,0
09:38,0,0
09:43,0,0
09:48,0,0
09:54,0,0
09:59,0,0
10:04,0,0
10:09,0,0
10:15,0,0
10:20,0,0
10:25,0,0
10:30,0,0
10:36,0,0
10:41,0,0
10:46,0,0
10:51,0,0
10:57,0,0
11:02,0,0
11:07,0,0
11:12,0,0
11:18,0,0
11:23,0,0
11:28,0,0
11:33,0,0
11:39,0,0
11:44,0,0
11:49,0,0
11:54,0,0
12:00,0,0
12:05,0,0
12:10,0,0
12:15,0,0
12:21,0,0
12:26,0,0
12:31,0,0
12:36,0,0
12:42,0,0
12:47,0,0
12:52,0,0
12:57,0,0
13:03,0,0
13:08,0,0
13:13,0,0
13:18,0,0
13:24,0,0
13:29,0,0
13:34,0,0
13:39,0,0
13:45,0,0
13:50,0,0
13:55,0,0
14:00,0,0
14:06,0,0
14:11,0,0
14:16,0,0
14:21,0,0
14:27,0,0
14:32,0,0
14:37,0,0
14:42,0,0
14:48,0,0
14:53,0,0
14:58,0,0
15:03,0,0
15:09,0,0
15:14,0,0
15:19,0,0
15:24,0,0
15:30,0,0
15:35,0,0
15:40,0,0
15:45,0,0
15:51,0,0
15:56,0,0
16:01,0,0
16:06,0,0
16:12,0,0
16:17,0,0
16:22,0,0
16:27,0,0
16:33,0,0
16:38,0,0
16:43,0,0
16:48,0,0
16:54,0,0
16:59,0,0
17:04,0,0
17:09,0,0
17:15,0,0
17:20,0,0
17:24,0,0
17:28,0,0
17:32,0,0
17:36,0,0
17:40,0,0
17:44,0,0
17:48,0,0
17:52,0,0
17:56,0,0
18:00,0,0
18:04,0,0
18:08,0,0
18:12,0,0
18:15,0,0
18:19,0,0
18:22,0,0
18:26,0,0
18:29,0,0
18:33,0,0
18:36,0,0
18:40,0,0
18:43,0,0
18:47,0,0
18:50,0,0
18:54,0,0
18:57,0,0
19:01,0,0
19:04,0,0
19:08,0,0
19:12,0,0
19:16,0,0
19:20,0,0
19:24,0,0
19:28,0,0
19:32,0,0
19:36,0,0
19:40,0,0
19:45,0,0
19:50,0,0
19:55,0,0
20:00,0,0
20:06,0,0
20:12,0,0
20:19,0,0
20:26,0,0
20:33,0,0
20:40,0,0
20:47,0,0
20:54,0,0
21:02,0,0
21:10,0,0
21:18,0,0
21:26,0,0
21:34,0,0
21:42,0,0
21:50,0,0
21:58,0,0
22:06,0,0
22:14,0,0
22:22,0,0
22:30,0,0
22:38,0,0
22:48,0,0
22:58,0,0
23:08,0,0
23:18,0,0
23:28,0,0
