时间,是否始发站,是否终到站
05:22,0,0
05:32,0,0
05:42,0,0
05:52,0,0
06:02,0,0
06:12,0,0
06:20,0,0
06:27,0,0
06:33,0,0
06:39,0,0
06:44,0,0
06:49,0,0
06:54,0,0
06:59,0,0
07:04,0,0
07:09,0,0
07:14,0,0
07:18,0,0
07:22,0,0
07:26,0,0
07:30,0,0
07:34,0,0
07:38,0,0
07:42,0,0
07:46,0,0
07:50,0,0
07:54,0,0
07:58,0,0
08:02,0,0
08:06,0,0
08:10,0,0
08:14,0,0
08:18,0,0
08:22,0,0
08:26,0,0
08:30,0,0
08:34,0,0
08:38,0,0
08:42,0,0
08:47,0,0
08:52,0,0
08:57,0,0
09:02,0,0
09:07,0,0
09:12,0,0
09:17,0,0
09:22,0,0
09:28,0,0
09:33,0,0
09:38,0,0
09:43,0,0
09:49,0,0
09:54,0,0
09:59,0,0
10:04,0,0
10:10,0,0
10:15,0,0
10:20,0,0
10:25,0,0
10:31,0,0
10:36,0,0
10:41,0,0
10:46,0,0
10:52,0,0
10:57,0,0
11:02,0,0
11:07,0,0
11:13,0,0
11:18,0,0
11:23,0,0
11:28,0,0
11:34,0,0
11:39,0,0
11:44,0,0
11:49,0,0
11:55,0,0
12:00,0,0
12:05,0,0
12:10,0,0
12:16,0,0
12:21,0,0
12:26,0,0
12:31,0,0
12:37,0,0
12:42,0,0
12:47,0,0
12:52,0,0
12:58,0,0
13:03,0,0
13:08,0,0
13:13,0,0
13:19,0,0
13:24,0,0
13:29,0,0
13:34,0,0
13:40,0,0
13:45,0,0
13:50,0,0
13:55,0,0
14:01,0,0
14:06,0,0
14:11,0,0
14:16,0,0
14:22,0,0
14:27,0,0
14:32,0,0
14:37,0,0
14:43,0,0
14:48,0,0
14:53,0,0
14:58,0,0
15:04,0,0
15:09,0,0
15:14,0,0
15:19,0,0
15:25,0,0
15:30,0,0
15:35,0,0
15:40,0,0
15:46,0,0
15:51,0,0
15:56,0,0
16:01,0,0
16:07,0,0
16:12,0,0
16:17,0,0
16:22,0,0
16:28,0,0
16:33,0,0
16:38,0,0
16:43,0,0
16:49,0,0
16:54,0,0
16:59,0,0
17:04,0,0
17:08,0,0
17:12,0,0
17:16,0,0
17:20,0,0
17:24,0,0
17:28,0,0
17:32,0,0
17:36,0,0
17:40,0,0
17:44,0,0
17:48,0,0
17:52,0,0
17:56,0,0
18:00,0,0
18:03,0,0
18:07,0,0
18:10,0,0
18:14,0,0
18:17,0,0
18:21,0,0
18:24,0,0
18:28,0,0
18:31,0,0
18:35,0,0
18:38,0,0
18:42,0,0
18:45,0,0
18:49,0,0
18:52,0,0
18:56,0,0
19:00,0,0
19:04,0,0
19:08,0,0
19:12,0,0
19:16,0,0
19:20,0,0
19:24,0,0
19:29,0,0
19:34,0,0
19:39,0,0
19:45,0,0
19:51,0,0
19:57,0,0
20:04,0,0
20:11,0,0
20:18,0,0
20:25,0,0
20:32,0,0
20:39,0,0
20:47,0,0
20:55,0,0
21:03,0,0
21:11,0,0
21:19,0,0
21:27,0,0
21:35,0,0
21:43,0,0
21:51,0,0
21:59,0,0
22:07,0,0
22:15,0,0
22:23,0,0
22:33,0,0
22:43,0,0
22:53,0,0
23:03,0,0
23:13,0,0
