时间,是否始发站,是否终到站
05:41,0,0
05:51,0,0
06:01,0,0
06:11,0,0
06:21,0,0
06:31,0,0
06:39,0,0
06:46,0,0
06:52,0,0
06:58,0,0
07:03,0,0
07:08,0,0
07:13,0,0
07:18,0,0
07:23,0,0
07:28,0,0
07:33,0,0
07:37,0,0
07:41,0,0
07:45,0,0
07:49,0,0
07:53,0,0
07:57,0,0
08:01,0,0
08:05,0,0
08:09,0,0
08:13,0,0
08:17,0,0
08:21,0,0
08:25,0,0
08:29,0,0
08:33,0,0
08:37,0,0
08:41,0,0
08:45,0,0
08:49,0,0
08:53,0,0
08:57,0,0
09:01,0,0
09:06,0,0
09:11,0,0
09:16,0,0
09:21,0,0
09:26,0,0
09:32,0,0
09:37,0,0
09:42,0,0
09:47,0,0
09:53,0,0
09:58,0,0
10:03,0,0
10:08,0,0
10:14,0,0
10:19,0,0
10:24,0,0
10:29,0,0
10:35,0,0
10:40,0,0
10:45,0,0
10:50,0,0
10:56,0,0
11:01,0,0
11:06,0,0
11:11,0,0
11:17,0,0
11:22,0,0
11:27,0,0
11:32,0,0
11:38,0,0
11:43,0,0
11:48,0,0
11:53,0,0
11:59,0,0
12:04,0,0
12:09,0,0
12:14,0,0
12:20,0,0
12:25,0,0
12:30,0,0
12:35,0,0
12:41,0,0
12:46,0,0
12:51,0,0
12:56,0,0
13:02,0,0
13:07,0,0
13:12,0,0
13:17,0,0
13:23,0,0
13:28,0,0
13:33,0,0
13:38,0,0
13:44,0,0
13:49,0,0
13:54,0,0
13:59,0,0
14:05,0,0
14:10,0,0
14:15,0,0
14:20,0,0
14:26,0,0
14:31,0,0
14:36,0,0
14:41,0,0
14:47,0,0
14:52,0,0
14:57,0,0
15:02,0,0
15:08,0,0
15:13,0,0
15:18,0,0
15:23,0,0
15:29,0,0
15:34,0,0
15:39,0,0
15:44,0,0
15:50,0,0
15:55,0,0
16:00,0,0
16:05,0,0
16:11,0,0
16:16,0,0
16:21,0,0
16:26,0,0
16:32,0,0
16:37,0,0
16:42,0,0
16:47,0,0
16:53,0,0
16:58,0,0
17:03,0,0
17:08,0,0
17:14,0,0
17:19,0,0
17:24,0,0
17:28,0,0
17:32,0,0
17:36,0,0
17:40,0,0
17:44,0,0
17:48,0,0
17:52,0,0
17:56,0,0
18:00,0,0
18:04,0,0
18:08,0,0
18:12,0,0
18:16,0,0
18:19,0,0
18:23,0,0
18:26,0,0
18:30,0,0
18:33,0,0
18:37,0,0
18:40,0,0
18:44,0,0
18:47,0,0
18:51,0,0
18:54,0,0
18:58,0,0
19:01,0,0
19:05,0,0
19:08,0,0
19:12,0,0
19:16,0,0
19:20,0,0
19:24,0,0
19:28,0,0
19:32,0,0
19:36,0,0
19:40,0,0
19:44,0,0
19:49,0,0
19:54,0,0
19:59,0,0
20:04,0,0
20:10,0,0
20:16,0,0
20:23,0,0
20:30,0,0
20:37,0,0
20:44,0,0
20:51,0,0
20:58,0,0
21:06,0,0
21:14,0,0
21:22,0,0
21:30,0,0
21:38,0,0
21:46,0,0
21:54,0,0
22:02,0,0
22:10,0,0
22:18,0,0
22:26,0,0
22:34,0,0
22:42,0,0
22:52,0,0
23:02,0,0
23:12,0,0
23:22,0,0
23:32,0,0
