时间,是否始发站,是否终到站
05:46,0,0
05:56,0,0
06:06,0,0
06:16,0,0
06:26,0,0
06:36,0,0
06:44,0,0
06:51,0,0
06:57,0,0
07:03,0,0
07:08,0,0
07:13,0,0
07:18,0,0
07:23,0,0
07:28,0,0
07:33,0,0
07:38,0,0
07:42,0,0
07:46,0,0
07:50,0,0
07:54,0,0
07:58,0,0
08:02,0,0
08:06,0,0
08:10,0,0
08:14,0,0
08:18,0,0
08:22,0,0
08:26,0,0
08:30,0,0
08:34,0,0
08:38,0,0
08:42,0,0
08:46,0,0
08:50,0,0
08:54,0,0
08:58,0,0
09:02,0,0
09:06,0,0
09:11,0,0
09:16,0,0
09:21,0,0
09:26,0,0
09:31,0,0
09:36,0,0
09:41,0,0
09:46,0,0
09:52,0,0
09:57,0,0
10:02,0,0
10:07,0,0
10:13,0,0
10:18,0,0
10:23,0,0
10:28,0,0
10:34,0,0
10:39,0,0
10:44,0,0
10:49,0,0
10:55,0,0
11:00,0,0
11:05,0,0
11:10,0,0
11:16,0,0
11:21,0,0
11:26,0,0
11:31,0,0
11:37,0,0
11:42,0,0
11:47,0,0
11:52,0,0
11:58,0,0
12:03,0,0
12:08,0,0
12:13,0,0
12:19,0,0
12:24,0,0
12:29,0,0
12:34,0,0
12:40,0,0
12:45,0,0
12:50,0,0
12:55,0,0
13:01,0,0
13:06,0,0
13:11,0,0
13:16,0,0
13:22,0,0
13:27,0,0
13:32,0,0
13:37,0,0
13:43,0,0
13:48,0,0
13:53,0,0
13:58,0,0
14:04,0,0
14:09,0,0
14:14,0,0
14:19,0,0
14:25,0,0
14:30,0,0
14:35,0,0
14:40,0,0
14:46,0,0
14:51,0,0
14:56,0,0
15:01,0,0
15:07,0,0
15:12,0,0
15:17,0,0
15:22,0,0
15:28,0,0
15:33,0,0
15:38,0,0
15:43,0,0
15:49,0,0
15:54,0,0
15:59,0,0
16:04,0,0
16:10,0,0
16:15,0,0
16:20,0,0
16:25,0,0
16:31,0,0
16:36,0,0
16:41,0,0
16:46,0,0
16:52,0,0
16:57,0,0
17:02,0,0
17:07,0,0
17:13,0,0
17:18,0,0
17:23,0,0
17:28,0,0
17:32,0,0
17:36,0,0
17:40,0,0
17:44,0,0
17:48,0,0
17:52,0,0
17:56,0,0
18:00,0,0
18:04,0,0
18:08,0,0
18:12,0,0
18:16,0,0
18:20,0,0
18:24,0,0
18:27,0,0
18:31,0,0
18:34,0,0
18:38,0,0
18:41,0,0
18:45,0,0
18:48,0,0
18:52,0,0
18:55,0,0
18:59,0,0
19:02,0,0
19:06,0,0
19:09,0,0
19:13,0,0
19:16,0,0
19:20,0,0
19:24,0,0
19:28,0,0
19:32,0,0
19:36,0,0
19:40,0,0
19:44,0,0
19:48,0,0
19:53,0,0
19:58,0,0
20:03,0,0
20:09,0,0
20:15,0,0
20:21,0,0
20:28,0,0
20:35,0,0
20:42,0,0
20:49,0,0
20:56,0,0
21:03,0,0
21:11,0,0
21:19,0,0
21:27,0,0
21:35,0,0
21:43,0,0
21:51,0,0
21:59,0,0
22:07,0,0
22:15,0,0
22:23,0,0
22:31,0,0
22:39,0,0
22:47,0,0
22:57,0,0
23:07,0,0
23:17,0,0
23:27,0,0
23:37,0,0
