时间,是否始发站,是否终到站
05:55,0,0
06:05,0,0
06:15,0,0
06:25,0,0
06:35,0,0
06:45,0,0
06:53,0,0
07:00,0,0
07:06,0,0
07:12,0,0
07:17,0,0
07:22,0,0
07:27,0,0
07:32,0,0
07:37,0,0
07:42,0,0
07:47,0,0
07:51,0,0
07:55,0,0
07:59,0,0
08:03,0,0
08:07,0,0
08:11,0,0
08:15,0,0
08:19,0,0
08:23,0,0
08:27,0,0
08:31,0,0
08:35,0,0
08:39,0,0
08:43,0,0
08:47,0,0
08:51,0,0
08:55,0,0
08:59,0,0
09:03,0,0
09:07,0,0
09:11,0,0
09:15,0,0
09:20,0,0
09:25,0,0
09:30,0,0
09:35,0,0
09:40,0,0
09:45,0,0
09:50,0,0
09:56,0,0
10:01,0,0
10:06,0,0
10:11,0,0
10:17,0,0
10:22,0,0
10:27,0,0
10:32,0,0
10:38,0,0
10:43,0,0
10:48,0,0
10:53,0,0
10:59,0,0
11:04,0,0
11:09,0,0
11:14,0,0
11:20,0,0
11:25,0,0
11:30,0,0
11:35,0,0
11:41,0,0
11:46,0,0
11:51,0,0
11:56,0,0
12:02,0,0
12:07,0,0
12:12,0,0
12:17,0,0
12:23,0,0
12:28,0,0
12:33,0,0
12:38,0,0
12:44,0,0
12:49,0,0
12:54,0,0
12:59,0,0
13:05,0,0
13:10,0,0
13:15,0,0
13:20,0,0
13:26,0,0
13:31,0,0
13:36,0,0
13:41,0,0
13:47,0,0
13:52,0,0
13:57,0,0
14:02,0,0
14:08,0,0
14:13,0,0
14:18,0,0
14:23,0,0
14:29,0,0
14:34,0,0
14:39,0,0
14:44,0,0
14:50,0,0
14:55,0,0
15:00,0,0
15:05,0,0
15:11,0,0
15:16,0,0
15:21,0,0
15:26,0,0
15:32,0,0
15:37,0,0
15:42,0,0
15:47,0,0
15:53,0,0
15:58,0,0
16:03,0,0
16:08,0,0
16:14,0,0
16:19,0,0
16:24,0,0
16:29,0,0
16:35,0,0
16:40,0,0
16:45,0,0
16:50,0,0
16:56,0,0
17:01,0,0
17:06,0,0
17:11,0,0
17:17,0,0
17:22,0,0
17:27,0,0
17:32,0,0
17:37,0,0
17:41,0,0
17:45,0,0
17:49,0,0
17:53,0,0
17:57,0,0
18:01,0,0
18:05,0,0
18:09,0,0
18:13,0,0
18:17,0,0
18:21,0,0
18:25,0,0
18:29,0,0
18:33,0,0
18:36,0,0
18:40,0,0
18:43,0,0
18:47,0,0
18:50,0,0
18:54,0,0
18:57,0,0
19:01,0,0
19:04,0,0
19:08,0,0
19:11,0,0
19:15,0,0
19:18,0,0
19:22,0,0
19:25,0,0
19:29,0,0
19:33,0,0
19:37,0,0
19:41,0,0
19:45,0,0
19:49,0,0
19:53,0,0
19:57,0,0
20:02,0,0
20:07,0,0
20:12,0,0
20:18,0,0
20:24,0,0
20:30,0,0
20:37,0,0
20:44,0,0
20:51,0,0
20:58,0,0
21:05,0,0
21:12,0,0
21:20,0,0
21:28,0,0
21:36,0,0
21:44,0,0
21:52,0,0
22:00,0,0
22:08,0,0
22:16,0,0
22:24,0,0
22:32,0,0
22:40,0,0
22:48,0,0
22:56,0,0
23:06,0,0
23:16,0,0
23:26,0,0
23:36,0,0
23:46,0,0
