时间,是否始发站,是否终到站
05:27,0,0
05:37,0,0
05:47,0,0
05:57,0,0
06:07,0,0
06:17,0,0
06:25,0,0
06:32,0,0
06:38,0,0
06:44,0,0
06:49,0,0
06:54,0,0
06:59,0,0
07:04,0,0
07:09,0,0
07:14,0,0
07:19,0,0
07:23,0,0
07:27,0,0
07:31,0,0
07:35,0,0
07:39,0,0
07:43,0,0
07:47,0,0
07:51,0,0
07:55,0,0
07:59,0,0
08:03,0,0
08:07,0,0
08:11,0,0
08:15,0,0
08:19,0,0
08:23,0,0
08:27,0,0
08:31,0,0
08:35,0,0
08:39,0,0
08:43,0,0
08:47,0,0
08:52,0,0
08:57,0,0
09:02,0,0
09:07,0,0
09:12,0,0
09:17,0,0
09:22,0,0
09:28,0,0
09:33,0,0
09:38,0,0
09:43,0,0
09:49,0,0
09:54,0,0
09:59,0,0
10:04,0,0
10:10,0,0
10:15,0,0
10:20,0,0
10:25,0,0
10:31,0,0
10:36,0,0
10:41,0,0
10:46,0,0
10:52,0,0
10:57,0,0
11:02,0,0
11:07,0,0
11:13,0,0
11:18,0,0
11:23,0,0
11:28,0,0
11:34,0,0
11:39,0,0
11:44,0,0
11:49,0,0
11:55,0,0
12:00,0,0
12:05,0,0
12:10,0,0
12:16,0,0
12:21,0,0
12:26,0,0
12:31,0,0
12:37,0,0
12:42,0,0
12:47,0,0
12:52,0,0
12:58,0,0
13:03,0,0
13:08,0,0
13:13,0,0
13:19,0,0
13:24,0,0
13:29,0,0
13:34,0,0
13:40,0,0
13:45,0,0
13:50,0,0
13:55,0,0
14:01,0,0
14:06,0,0
14:11,0,0
14:16,0,0
14:22,0,0
14:27,0,0
14:32,0,0
14:37,0,0
14:43,0,0
14:48,0,0
14:53,0,0
14:58,0,0
15:04,0,0
15:09,0,0
15:14,0,0
15:19,0,0
15:25,0,0
15:30,0,0
15:35,0,0
15:40,0,0
15:46,0,0
15:51,0,0
15:56,0,0
16:01,0,0
16:07,0,0
16:12,0,0
16:17,0,0
16:22,0,0
16:28,0,0
16:33,0,0
16:38,0,0
16:43,0,0
16:49,0,0
16:54,0,0
16:59,0,0
17:04,0,0
17:09,0,0
17:13,0,0
17:17,0,0
17:21,0,0
17:25,0,0
17:29,0,0
17:33,0,0
17:37,0,0
17:41,0,0
17:45,0,0
17:49,0,0
17:53,0,0
17:57,0,0
18:01,0,0
18:05,0,0
18:08,0,0
18:12,0,0
18:15,0,0
18:19,0,0
18:22,0,0
18:26,0,0
18:29,0,0
18:33,0,0
18:36,0,0
18:40,0,0
18:43,0,0
18:47,0,0
18:50,0,0
18:54,0,0
18:57,0,0
19:01,0,0
19:05,0,0
19:09,0,0
19:13,0,0
19:17,0,0
19:21,0,0
19:25,0,0
19:29,0,0
19:34,0,0
19:39,0,0
19:44,0,0
19:50,0,0
19:56,0,0
20:02,0,0
20:09,0,0
20:16,0,0
20:23,0,0
20:30,0,0
20:37,0,0
20:44,0,0
20:52,0,0
21:00,0,0
21:08,0,0
21:16,0,0
21:24,0,0
21:32,0,0
21:40,0,0
21:48,0,0
21:56,0,0
22:04,0,0
22:12,0,0
22:20,0,0
22:28,0,0
22:38,0,0
22:48,0,0
22:58,0,0
23:08,0,0
23:18,0,0
