时间,是否始发站,是否终到站
06:08,0,0
06:18,0,0
06:28,0,0
06:38,0,0
06:48,0,0
06:58,0,0
07:06,0,0
07:13,0,0
07:19,0,0
07:25,0,0
07:30,0,0
07:35,0,0
07:40,0,0
07:45,0,0
07:50,0,0
07:55,0,0
08:00,0,0
08:04,0,0
08:08,0,0
08:12,0,0
08:16,0,0
08:20,0,0
08:24,0,0
08:28,0,0
08:32,0,0
08:36,0,0
08:40,0,0
08:44,0,0
08:48,0,0
08:52,0,0
08:58,0,0
09:00,0,0
09:04,0,0
09:08,0,0
09:12,0,0
09:16,0,0
09:20,0,0
09:24,0,0
09:29,0,0
09:34,0,0
09:39,0,0
09:44,0,0
09:49,0,0
09:54,0,0
09:59,0,0
10:04,0,0
10:09,0,0
10:14,0,0
10:20,0,0
10:25,0,0
10:30,0,0
10:35,0,0
10:41,0,0
10:46,0,0
10:51,0,0
10:56,0,0
11:02,0,0
11:07,0,0
11:12,0,0
11:17,0,0
11:23,0,0
11:28,0,0
11:33,0,0
11:38,0,0
11:44,0,0
11:49,0,0
11:54,0,0
11:59,0,0
12:05,0,0
12:10,0,0
12:15,0,0
12:20,0,0
12:26,0,0
12:31,0,0
12:36,0,0
12:41,0,0
12:47,0,0
12:52,0,0
12:57,0,0
13:02,0,0
13:08,0,0
13:13,0,0
13:18,0,0
13:23,0,0
13:29,0,0
13:34,0,0
13:39,0,0
13:44,0,0
13:50,0,0
13:55,0,0
14:00,0,0
14:05,0,0
14:11,0,0
14:16,0,0
14:21,0,0
14:26,0,0
14:32,0,0
14:37,0,0
14:42,0,0
14:47,0,0
14:53,0,0
14:58,0,0
15:03,0,0
15:08,0,0
15:14,0,0
15:19,0,0
15:24,0,0
15:29,0,0
15:35,0,0
15:40,0,0
15:45,0,0
15:50,0,0
15:56,0,0
16:01,0,0
16:06,0,0
16:11,0,0
16:17,0,0
16:22,0,0
16:27,0,0
16:32,0,0
16:38,0,0
16:43,0,0
16:48,0,0
16:53,0,0
16:59,0,0
17:04,0,0
17:09,0,0
17:14,0,0
17:20,0,0
17:25,0,0
17:30,0,0
17:35,0,0
17:41,0,0
17:46,0,0
17:51,0,0
17:55,0,0
17:59,0,0
18:03,0,0
18:07,0,0
18:11,0,0
18:15,0,0
18:19,0,0
18:23,0,0
18:27,0,0
18:31,0,0
18:35,0,0
18:39,0,0
18:43,0,0
18:47,0,0
18:50,0,0
18:54,0,0
18:57,0,0
19:01,0,0
19:04,0,0
19:08,0,0
19:11,0,0
19:15,0,0
19:18,0,0
19:22,0,0
19:25,0,0
19:29,0,0
19:32,0,0
19:36,0,0
19:39,0,0
19:43,0,0
19:47,0,0
19:51,0,0
19:55,0,0
19:59,0,0
20:03,0,0
20:07,0,0
20:11,0,0
20:16,0,0
20:21,0,0
20:26,0,0
20:31,0,0
20:37,0,0
20:43,0,0
20:50,0,0
20:57,0,0
21:04,0,0
21:11,0,0
21:18,0,0
21:25,0,0
21:33,0,0
21:41,0,0
21:49,0,0
21:57,0,0
22:05,0,0
22:13,0,0
22:21,0,0
22:29,0,0
22:37,0,0
22:45,0,0
22:53,0,0
23:01,0,0
23:09,0,0
23:19,0,0
23:29,0,0
23:39,0,0
23:49,0,0
23:59,0,0
