时间,是否始发站,是否终到站
06:10,0,1
06:20,0,1
06:30,0,1
06:40,0,1
06:50,0,1
07:00,0,1
07:08,0,1
07:15,0,1
07:21,0,1
07:27,0,1
07:32,0,1
07:37,0,1
07:42,0,1
07:47,0,1
07:52,0,1
07:57,0,1
08:02,0,1
08:06,0,1
08:10,0,1
08:14,0,1
08:18,0,1
08:22,0,1
08:26,0,1
08:30,0,1
08:34,0,1
08:38,0,1
08:42,0,1
08:46,0,1
08:50,0,1
08:54,0,1
09:00,0,1
09:02,0,1
09:06,0,1
09:10,0,1
09:14,0,1
09:18,0,1
09:22,0,1
09:26,0,1
09:31,0,1
09:36,0,1
09:41,0,1
09:46,0,1
09:51,0,1
09:56,0,1
10:01,0,1
10:06,0,1
10:11,0,1
10:16,0,1
10:22,0,1
10:27,0,1
10:32,0,1
10:37,0,1
10:43,0,1
10:48,0,1
10:53,0,1
10:58,0,1
11:04,0,1
11:09,0,1
11:14,0,1
11:19,0,1
11:25,0,1
11:30,0,1
11:35,0,1
11:40,0,1
11:46,0,1
11:51,0,1
11:56,0,1
12:01,0,1
12:07,0,1
12:12,0,1
12:17,0,1
12:22,0,1
12:28,0,1
12:33,0,1
12:38,0,1
12:43,0,1
12:49,0,1
12:54,0,1
12:59,0,1
13:04,0,1
13:10,0,1
13:15,0,1
13:20,0,1
13:25,0,1
13:31,0,1
13:36,0,1
13:41,0,1
13:46,0,1
13:52,0,1
13:57,0,1
14:02,0,1
14:07,0,1
14:13,0,1
14:18,0,1
14:23,0,1
14:28,0,1
14:34,0,1
14:39,0,1
14:44,0,1
14:49,0,1
14:55,0,1
15:00,0,1
15:05,0,1
15:10,0,1
15:16,0,1
15:21,0,1
15:26,0,1
15:31,0,1
15:37,0,1
15:42,0,1
15:47,0,1
15:52,0,1
15:58,0,1
16:03,0,1
16:08,0,1
16:13,0,1
16:19,0,1
16:24,0,1
16:29,0,1
16:34,0,1
16:40,0,1
16:45,0,1
16:50,0,1
16:55,0,1
17:01,0,1
17:06,0,1
17:11,0,1
17:16,0,1
17:22,0,1
17:27,0,1
17:32,0,1
17:37,0,1
17:43,0,1
17:48,0,1
17:53,0,1
17:57,0,1
18:01,0,1
18:05,0,1
18:09,0,1
18:13,0,1
18:17,0,1
18:21,0,1
18:25,0,1
18:29,0,1
18:33,0,1
18:37,0,1
18:41,0,1
18:45,0,1
18:49,0,1
18:52,0,1
18:56,0,1
18:59,0,1
19:03,0,1
19:06,0,1
19:10,0,1
19:13,0,1
19:17,0,1
19:20,0,1
19:24,0,1
19:27,0,1
19:31,0,1
19:34,0,1
19:38,0,1
19:41,0,1
19:45,0,1
19:49,0,1
19:53,0,1
19:57,0,1
20:01,0,1
20:05,0,1
20:09,0,1
20:13,0,1
20:18,0,1
20:23,0,1
20:28,0,1
20:33,0,1
20:39,0,1
20:45,0,1
20:52,0,1
20:59,0,1
21:06,0,1
21:13,0,1
21:20,0,1
21:27,0,1
21:35,0,1
21:43,0,1
21:51,0,1
21:59,0,1
22:07,0,1
22:15,0,1
22:23,0,1
22:31,0,1
22:39,0,1
22:47,0,1
22:55,0,1
23:03,0,1
23:11,0,1
23:21,0,1
23:31,0,1
23:41,0,1
23:51,0,1
24:01,0,1
