时间,是否始发站,是否终到站
05:19,1,0
05:29,1,0
05:39,1,0
05:49,1,0
05:59,1,0
06:09,1,0
06:17,1,0
06:24,1,0
06:30,1,0
06:36,1,0
06:41,1,0
06:46,1,0
06:50,1,0
06:56,1,0
07:01,1,0
07:06,1,0
07:11,1,0
07:15,1,0
07:18,1,0
07:23,1,0
07:27,1,0
07:31,1,0
07:35,1,0
07:38,1,0
07:43,1,0
07:47,1,0
07:51,1,0
07:55,1,0
07:59,1,0
08:03,1,0
08:07,1,0
08:11,1,0
08:15,1,0
08:19,1,0
08:23,1,0
08:27,1,0
08:31,1,0
08:35,1,0
08:39,1,0
08:44,1,0
08:49,1,0
08:54,1,0
08:59,1,0
09:04,1,0
09:09,1,0
09:14,1,0
09:20,1,0
09:25,1,0
09:30,1,0
09:35,1,0
09:41,1,0
09:46,1,0
09:51,1,0
09:56,1,0
10:02,1,0
10:07,1,0
10:12,1,0
10:17,1,0
10:23,1,0
10:28,1,0
10:33,1,0
10:38,1,0
10:44,1,0
10:49,1,0
10:54,1,0
10:59,1,0
11:05,1,0
11:10,1,0
11:15,1,0
11:20,1,0
11:26,1,0
11:31,1,0
11:36,1,0
11:41,1,0
11:47,1,0
11:52,1,0
11:57,1,0
12:02,1,0
12:08,1,0
12:13,1,0
12:18,1,0
12:23,1,0
12:29,1,0
12:34,1,0
12:39,1,0
12:44,1,0
12:50,1,0
12:55,1,0
13:00,1,0
13:05,1,0
13:11,1,0
13:16,1,0
13:21,1,0
13:26,1,0
13:32,1,0
13:37,1,0
13:42,1,0
13:47,1,0
13:53,1,0
13:58,1,0
14:03,1,0
14:08,1,0
14:14,1,0
14:19,1,0
14:24,1,0
14:29,1,0
14:35,1,0
14:40,1,0
14:45,1,0
14:50,1,0
14:56,1,0
15:01,1,0
15:06,1,0
15:11,1,0
15:17,1,0
15:22,1,0
15:27,1,0
15:32,1,0
15:38,1,0
15:43,1,0
15:48,1,0
15:53,1,0
15:59,1,0
16:04,1,0
16:09,1,0
16:14,1,0
16:20,1,0
16:25,1,0
16:30,1,0
16:35,1,0
16:41,1,0
16:46,1,0
16:51,1,0
16:56,1,0
17:01,1,0
17:05,1,0
17:10,1,0
17:14,1,0
17:18,1,0
17:21,1,0
17:26,1,0
17:30,1,0
17:34,1,0
17:37,1,0
17:42,1,0
17:46,1,0
17:50,1,0
17:54,1,0
17:57,1,0
18:01,1,0
18:03,1,0
18:08,1,0
18:11,1,0
18:15,1,0
18:18,1,0
18:22,1,0
18:25,1,0
18:29,1,0
18:31,1,0
18:36,1,0
18:39,1,0
18:43,1,0
18:46,1,0
18:50,1,0
18:54,1,0
18:58,1,0
19:02,1,0
19:06,1,0
19:10,1,0
19:14,1,0
19:18,1,0
19:22,1,0
19:27,1,0
19:32,1,0
19:37,1,0
19:42,1,0
19:48,1,0
19:54,1,0
20:01,1,0
20:08,1,0
20:15,1,0
20:22,1,0
20:29,1,0
20:36,1,0
20:44,1,0
20:52,1,0
21:00,1,0
21:08,1,0
21:16,1,0
21:24,1,0
21:32,1,0
21:40,1,0
21:48,1,0
21:56,1,0
22:04,1,0
22:12,1,0
22:20,1,0
22:30,1,0
22:40,1,0
22:50,1,0
23:00,1,0
23:10,1,0
