时间,是否始发站,是否终到站
05:31,0,0
05:41,0,0
05:51,0,0
06:01,0,0
06:11,0,0
06:21,0,0
06:29,0,0
06:36,0,0
06:42,0,0
06:48,0,0
06:53,0,0
06:58,0,0
07:03,0,0
07:08,0,0
07:13,0,0
07:18,0,0
07:23,0,0
07:27,0,0
07:31,0,0
07:35,0,0
07:39,0,0
07:43,0,0
07:47,0,0
07:51,0,0
07:55,0,0
07:59,0,0
08:03,0,0
08:07,0,0
08:11,0,0
08:15,0,0
08:19,0,0
08:23,0,0
08:27,0,0
08:31,0,0
08:35,0,0
08:39,0,0
08:43,0,0
08:47,0,0
08:51,0,0
08:56,0,0
09:01,0,0
09:06,0,0
09:11,0,0
09:16,0,0
09:21,0,0
09:27,0,0
09:32,0,0
09:37,0,0
09:42,0,0
09:48,0,0
09:53,0,0
09:58,0,0
10:03,0,0
10:09,0,0
10:14,0,0
10:19,0,0
10:24,0,0
10:30,0,0
10:35,0,0
10:40,0,0
10:45,0,0
10:51,0,0
10:56,0,0
11:01,0,0
11:06,0,0
11:12,0,0
11:17,0,0
11:22,0,0
11:27,0,0
11:33,0,0
11:38,0,0
11:43,0,0
11:48,0,0
11:54,0,0
11:59,0,0
12:04,0,0
12:09,0,0
12:15,0,0
12:20,0,0
12:25,0,0
12:30,0,0
12:36,0,0
12:41,0,0
12:46,0,0
12:51,0,0
12:57,0,0
13:02,0,0
13:07,0,0
13:12,0,0
13:18,0,0
13:23,0,0
13:28,0,0
13:33,0,0
13:39,0,0
13:44,0,0
13:49,0,0
13:54,0,0
14:00,0,0
14:05,0,0
14:10,0,0
14:15,0,0
14:21,0,0
14:26,0,0
14:31,0,0
14:36,0,0
14:42,0,0
14:47,0,0
14:52,0,0
14:57,0,0
15:03,0,0
15:08,0,0
15:13,0,0
15:18,0,0
15:24,0,0
15:29,0,0
15:34,0,0
15:39,0,0
15:45,0,0
15:50,0,0
15:55,0,0
16:00,0,0
16:06,0,0
16:11,0,0
16:16,0,0
16:21,0,0
16:27,0,0
16:32,0,0
16:37,0,0
16:42,0,0
16:48,0,0
16:53,0,0
16:58,0,0
17:03,0,0
17:09,0,0
17:14,0,0
17:18,0,0
17:22,0,0
17:26,0,0
17:30,0,0
17:34,0,0
17:38,0,0
17:42,0,0
17:46,0,0
17:50,0,0
17:54,0,0
17:58,0,0
18:02,0,0
18:06,0,0
18:09,0,0
18:13,0,0
18:16,0,0
18:20,0,0
18:23,0,0
18:27,0,0
18:30,0,0
18:34,0,0
18:37,0,0
18:41,0,0
18:44,0,0
18:48,0,0
18:51,0,0
18:55,0,0
18:58,0,0
19:02,0,0
19:06,0,0
19:10,0,0
19:14,0,0
19:18,0,0
19:22,0,0
19:26,0,0
19:30,0,0
19:34,0,0
19:39,0,0
19:44,0,0
19:49,0,0
19:54,0,0
20:00,0,0
20:06,0,0
20:13,0,0
20:20,0,0
20:27,0,0
20:34,0,0
20:41,0,0
20:48,0,0
20:56,0,0
21:04,0,0
21:12,0,0
21:20,0,0
21:28,0,0
21:36,0,0
21:44,0,0
21:52,0,0
22:00,0,0
22:08,0,0
22:16,0,0
22:24,0,0
22:32,0,0
22:42,0,0
22:52,0,0
23:02,0,0
23:12,0,0
23:22,0,0
