时间,是否始发站,是否终到站
05:40,0,0
05:50,0,0
06:00,0,0
06:10,0,0
06:20,0,0
06:30,0,0
06:38,0,0
06:45,0,0
06:51,0,0
06:56,0,0
07:01,0,0
07:06,0,0
07:11,0,0
07:16,0,0
07:21,0,0
07:26,0,0
07:31,0,0
07:35,0,0
07:39,0,0
07:43,0,0
07:47,0,0
07:51,0,0
07:55,0,0
07:59,0,0
08:03,0,0
08:07,0,0
08:11,0,0
08:15,0,0
08:19,0,0
08:23,0,0
08:27,0,0
08:31,0,0
08:35,0,0
08:39,0,0
08:43,0,0
08:47,0,0
08:51,0,0
08:55,0,0
09:00,0,0
09:05,0,0
09:10,0,0
09:15,0,0
09:20,0,0
09:25,0,0
09:30,0,0
09:35,0,0
09:40,0,0
09:45,0,0
09:51,0,0
09:56,0,0
10:01,0,0
10:06,0,0
10:12,0,0
10:17,0,0
10:22,0,0
10:27,0,0
10:33,0,0
10:38,0,0
10:43,0,0
10:48,0,0
10:54,0,0
10:59,0,0
11:04,0,0
11:09,0,0
11:15,0,0
11:20,0,0
11:25,0,0
11:30,0,0
11:36,0,0
11:41,0,0
11:46,0,0
11:51,0,0
11:57,0,0
12:02,0,0
12:07,0,0
12:12,0,0
12:18,0,0
12:23,0,0
12:28,0,0
12:33,0,0
12:39,0,0
12:44,0,0
12:49,0,0
12:54,0,0
13:00,0,0
13:05,0,0
13:10,0,0
13:15,0,0
13:21,0,0
13:26,0,0
13:31,0,0
13:36,0,0
13:42,0,0
13:47,0,0
13:52,0,0
13:57,0,0
14:03,0,0
14:08,0,0
14:13,0,0
14:18,0,0
14:24,0,0
14:29,0,0
14:34,0,0
14:39,0,0
14:45,0,0
14:50,0,0
14:55,0,0
15:00,0,0
15:06,0,0
15:11,0,0
15:16,0,0
15:21,0,0
15:27,0,0
15:32,0,0
15:37,0,0
15:42,0,0
15:48,0,0
15:53,0,0
15:58,0,0
16:03,0,0
16:09,0,0
16:14,0,0
16:19,0,0
16:24,0,0
16:30,0,0
16:35,0,0
16:40,0,0
16:45,0,0
16:51,0,0
16:56,0,0
17:01,0,0
17:06,0,0
17:12,0,0
17:17,0,0
17:22,0,0
17:26,0,0
17:30,0,0
17:34,0,0
17:38,0,0
17:42,0,0
17:46,0,0
17:50,0,0
17:54,0,0
17:58,0,0
18:02,0,0
18:06,0,0
18:10,0,0
18:14,0,0
18:18,0,0
18:21,0,0
18:25,0,0
18:28,0,0
18:32,0,0
18:35,0,0
18:39,0,0
18:42,0,0
18:46,0,0
18:49,0,0
18:53,0,0
18:56,0,0
19:00,0,0
19:03,0,0
19:07,0,0
19:10,0,0
19:14,0,0
19:18,0,0
19:22,0,0
19:26,0,0
19:30,0,0
19:34,0,0
19:38,0,0
19:42,0,0
19:47,0,0
19:52,0,0
19:57,0,0
20:03,0,0
20:09,0,0
20:15,0,0
20:22,0,0
20:29,0,0
20:36,0,0
20:43,0,0
20:50,0,0
20:57,0,0
21:05,0,0
21:13,0,0
21:21,0,0
21:29,0,0
21:37,0,0
21:45,0,0
21:53,0,0
22:01,0,0
22:09,0,0
22:17,0,0
22:25,0,0
22:33,0,0
22:41,0,0
22:51,0,0
23:01,0,0
23:11,0,0
23:21,0,0
23:31,0,0
