时间,是否始发站,是否终到站
05:52,0,0
06:02,0,0
06:12,0,0
06:22,0,0
06:32,0,0
06:42,0,0
06:50,0,0
06:57,0,0
07:03,0,0
07:09,0,0
07:14,0,0
07:19,0,0
07:24,0,0
07:29,0,0
07:34,0,0
07:39,0,0
07:44,0,0
07:48,0,0
07:52,0,0
07:56,0,0
08:00,0,0
08:04,0,0
08:08,0,0
08:12,0,0
08:16,0,0
08:20,0,0
08:24,0,0
08:28,0,0
08:32,0,0
08:36,0,0
08:40,0,0
08:44,0,0
08:48,0,0
08:52,0,0
08:56,0,0
09:00,0,0
09:04,0,0
09:08,0,0
09:12,0,0
09:17,0,0
09:22,0,0
09:27,0,0
09:32,0,0
09:37,0,0
09:42,0,0
09:48,0,0
09:53,0,0
09:58,0,0
10:03,0,0
10:09,0,0
10:14,0,0
10:19,0,0
10:24,0,0
10:30,0,0
10:35,0,0
10:40,0,0
10:45,0,0
10:51,0,0
10:56,0,0
11:01,0,0
11:06,0,0
11:12,0,0
11:17,0,0
11:22,0,0
11:27,0,0
11:33,0,0
11:38,0,0
11:43,0,0
11:48,0,0
11:54,0,0
11:59,0,0
12:04,0,0
12:09,0,0
12:15,0,0
12:20,0,0
12:25,0,0
12:30,0,0
12:36,0,0
12:41,0,0
12:46,0,0
12:51,0,0
12:57,0,0
13:02,0,0
13:07,0,0
13:12,0,0
13:18,0,0
13:23,0,0
13:28,0,0
13:33,0,0
13:39,0,0
13:44,0,0
13:49,0,0
13:54,0,0
14:00,0,0
14:05,0,0
14:10,0,0
14:15,0,0
14:21,0,0
14:26,0,0
14:31,0,0
14:36,0,0
14:42,0,0
14:47,0,0
14:52,0,0
14:57,0,0
15:03,0,0
15:08,0,0
15:13,0,0
15:18,0,0
15:24,0,0
15:29,0,0
15:34,0,0
15:39,0,0
15:45,0,0
15:50,0,0
15:55,0,0
16:00,0,0
16:06,0,0
16:11,0,0
16:16,0,0
16:21,0,0
16:27,0,0
16:32,0,0
16:37,0,0
16:42,0,0
16:48,0,0
16:53,0,0
16:58,0,0
17:03,0,0
17:09,0,0
17:14,0,0
17:19,0,0
17:24,0,0
17:30,0,0
17:35,0,0
17:39,0,0
17:43,0,0
17:47,0,0
17:51,0,0
17:55,0,0
17:59,0,0
18:03,0,0
18:07,0,0
18:11,0,0
18:15,0,0
18:19,0,0
18:23,0,0
18:27,0,0
18:30,0,0
18:34,0,0
18:37,0,0
18:41,0,0
18:44,0,0
18:48,0,0
18:51,0,0
18:55,0,0
18:58,0,0
19:02,0,0
19:05,0,0
19:09,0,0
19:12,0,0
19:16,0,0
19:19,0,0
19:23,0,0
19:27,0,0
19:31,0,0
19:35,0,0
19:39,0,0
19:43,0,0
19:47,0,0
19:51,0,0
19:55,0,0
20:00,0,0
20:05,0,0
20:10,0,0
20:15,0,0
20:21,0,0
20:27,0,0
20:34,0,0
20:41,0,0
20:48,0,0
20:55,0,0
21:02,0,0
21:09,0,0
21:17,0,0
21:25,0,0
21:33,0,0
21:41,0,0
21:49,0,0
21:57,0,0
22:05,0,0
22:13,0,0
22:21,0,0
22:29,0,0
22:37,0,0
22:45,0,0
22:53,0,0
23:03,0,0
23:13,0,0
23:23,0,0
23:33,0,0
23:43,0,0
