时间,是否始发站,是否终到站
05:50,0,0
06:00,0,0
06:10,0,0
06:20,0,0
06:30,0,0
06:40,0,0
06:48,0,0
06:55,0,0
07:01,0,0
07:07,0,0
07:12,0,0
07:17,0,0
07:22,0,0
07:27,0,0
07:32,0,0
07:37,0,0
07:42,0,0
07:46,0,0
07:50,0,0
07:54,0,0
07:58,0,0
08:02,0,0
08:06,0,0
08:10,0,0
08:14,0,0
08:18,0,0
08:22,0,0
08:26,0,0
08:30,0,0
08:34,0,0
08:38,0,0
08:42,0,0
08:46,0,0
08:50,0,0
08:54,0,0
08:58,0,0
09:02,0,0
09:06,0,0
09:10,0,0
09:15,0,0
09:20,0,0
09:25,0,0
09:30,0,0
09:35,0,0
09:40,0,0
09:45,0,0
09:50,0,0
09:56,0,0
10:01,0,0
10:06,0,0
10:11,0,0
10:17,0,0
10:22,0,0
10:27,0,0
10:32,0,0
10:38,0,0
10:43,0,0
10:48,0,0
10:53,0,0
10:59,0,0
11:04,0,0
11:09,0,0
11:14,0,0
11:20,0,0
11:25,0,0
11:30,0,0
11:35,0,0
11:41,0,0
11:46,0,0
11:51,0,0
11:56,0,0
12:02,0,0
12:07,0,0
12:12,0,0
12:17,0,0
12:23,0,0
12:28,0,0
12:33,0,0
12:38,0,0
12:44,0,0
12:49,0,0
12:54,0,0
12:59,0,0
13:05,0,0
13:10,0,0
13:15,0,0
13:20,0,0
13:26,0,0
13:31,0,0
13:36,0,0
13:41,0,0
13:47,0,0
13:52,0,0
13:57,0,0
14:02,0,0
14:08,0,0
14:13,0,0
14:18,0,0
14:23,0,0
14:29,0,0
14:34,0,0
14:39,0,0
14:44,0,0
14:50,0,0
14:55,0,0
15:00,0,0
15:05,0,0
15:11,0,0
15:16,0,0
15:21,0,0
15:26,0,0
15:32,0,0
15:37,0,0
15:42,0,0
15:47,0,0
15:53,0,0
15:58,0,0
16:03,0,0
16:08,0,0
16:14,0,0
16:19,0,0
16:24,0,0
16:29,0,0
16:35,0,0
16:40,0,0
16:45,0,0
16:50,0,0
16:56,0,0
17:01,0,0
17:06,0,0
17:11,0,0
17:17,0,0
17:22,0,0
17:27,0,0
17:32,0,0
17:36,0,0
17:40,0,0
17:44,0,0
17:48,0,0
17:52,0,0
17:56,0,0
18:00,0,0
18:04,0,0
18:08,0,0
18:12,0,0
18:16,0,0
18:20,0,0
18:24,0,0
18:28,0,0
18:31,0,0
18:35,0,0
18:38,0,0
18:42,0,0
18:45,0,0
18:49,0,0
18:52,0,0
18:56,0,0
18:59,0,0
19:03,0,0
19:06,0,0
19:10,0,0
19:13,0,0
19:17,0,0
19:20,0,0
19:24,0,0
19:28,0,0
19:32,0,0
19:36,0,0
19:40,0,0
19:44,0,0
19:48,0,0
19:52,0,0
19:57,0,0
20:02,0,0
20:07,0,0
20:13,0,0
20:19,0,0
20:25,0,0
20:32,0,0
20:39,0,0
20:46,0,0
20:53,0,0
21:00,0,0
21:07,0,0
21:15,0,0
21:23,0,0
21:31,0,0
21:39,0,0
21:47,0,0
21:55,0,0
22:03,0,0
22:11,0,0
22:19,0,0
22:27,0,0
22:35,0,0
22:43,0,0
22:51,0,0
23:00,0,0
23:11,0,0
23:21,0,0
23:31,0,0
23:41,0,0
