时间,是否始发站,是否终到站
05:35,0,0
05:45,0,0
05:55,0,0
06:05,0,0
06:15,0,0
06:25,0,0
06:33,0,0
06:40,0,0
06:46,0,0
06:52,0,0
06:57,0,0
07:02,0,0
07:07,0,0
07:12,0,0
07:17,0,0
07:22,0,0
07:27,0,0
07:31,0,0
07:35,0,0
07:39,0,0
07:43,0,0
07:47,0,0
07:51,0,0
07:55,0,0
07:59,0,0
08:03,0,0
08:07,0,0
08:11,0,0
08:15,0,0
08:19,0,0
08:23,0,0
08:27,0,0
08:31,0,0
08:35,0,0
08:39,0,0
08:43,0,0
08:47,0,0
08:51,0,0
08:56,0,0
09:01,0,0
09:06,0,0
09:11,0,0
09:16,0,0
09:21,0,0
09:26,0,0
09:31,0,0
09:36,0,0
09:41,0,0
09:47,0,0
09:52,0,0
09:57,0,0
10:02,0,0
10:08,0,0
10:13,0,0
10:18,0,0
10:23,0,0
10:29,0,0
10:34,0,0
10:39,0,0
10:44,0,0
10:50,0,0
10:55,0,0
11:00,0,0
11:05,0,0
11:11,0,0
11:16,0,0
11:21,0,0
11:26,0,0
11:32,0,0
11:37,0,0
11:42,0,0
11:47,0,0
11:53,0,0
11:58,0,0
12:03,0,0
12:08,0,0
12:14,0,0
12:19,0,0
12:24,0,0
12:29,0,0
12:35,0,0
12:40,0,0
12:45,0,0
12:50,0,0
12:56,0,0
13:01,0,0
13:06,0,0
13:11,0,0
13:17,0,0
13:22,0,0
13:27,0,0
13:32,0,0
13:38,0,0
13:43,0,0
13:48,0,0
13:53,0,0
13:59,0,0
14:04,0,0
14:09,0,0
14:14,0,0
14:20,0,0
14:25,0,0
14:30,0,0
14:35,0,0
14:41,0,0
14:46,0,0
14:51,0,0
14:56,0,0
15:02,0,0
15:07,0,0
15:12,0,0
15:17,0,0
15:23,0,0
15:28,0,0
15:33,0,0
15:38,0,0
15:44,0,0
15:49,0,0
15:54,0,0
15:59,0,0
16:05,0,0
16:10,0,0
16:15,0,0
16:20,0,0
16:26,0,0
16:31,0,0
16:36,0,0
16:41,0,0
16:47,0,0
16:52,0,0
16:57,0,0
17:02,0,0
17:08,0,0
17:13,0,0
17:18,0,0
17:22,0,0
17:26,0,0
17:30,0,0
17:34,0,0
17:38,0,0
17:42,0,0
17:46,0,0
17:50,0,0
17:54,0,0
17:58,0,0
18:02,0,0
18:06,0,0
18:10,0,0
18:14,0,0
18:17,0,0
18:21,0,0
18:24,0,0
18:28,0,0
18:31,0,0
18:35,0,0
18:38,0,0
18:42,0,0
18:45,0,0
18:49,0,0
18:52,0,0
18:56,0,0
18:59,0,0
19:03,0,0
19:06,0,0
19:10,0,0
19:14,0,0
19:18,0,0
19:22,0,0
19:26,0,0
19:30,0,0
19:34,0,0
19:38,0,0
19:43,0,0
19:48,0,0
19:53,0,0
19:58,0,0
20:04,0,0
20:10,0,0
20:17,0,0
20:24,0,0
20:31,0,0
20:38,0,0
20:45,0,0
20:52,0,0
21:00,0,0
21:08,0,0
21:16,0,0
21:24,0,0
21:32,0,0
21:40,0,0
21:48,0,0
21:56,0,0
22:04,0,0
22:12,0,0
22:20,0,0
22:28,0,0
22:36,0,0
22:46,0,0
22:56,0,0
23:06,0,0
23:16,0,0
23:26,0,0
