时间,是否始发站,是否终到站
05:28,0,0
05:38,0,0
05:48,0,0
05:58,0,0
06:08,0,0
06:18,0,0
06:26,0,0
06:33,0,0
06:39,0,0
06:44,0,0
06:49,0,0
06:54,0,0
06:59,0,0
07:04,0,0
07:09,0,0
07:14,0,0
07:19,0,0
07:24,0,0
07:28,0,0
07:32,0,0
07:36,0,0
07:40,0,0
07:44,0,0
07:48,0,0
07:52,0,0
07:56,0,0
08:00,0,0
08:04,0,0
08:08,0,0
08:12,0,0
08:16,0,0
08:19,0,0
08:23,0,0
08:26,0,0
08:30,0,0
08:33,0,0
08:37,0,0
08:40,0,0
08:44,0,0
08:47,0,0
08:51,0,0
08:55,0,0
08:59,0,0
09:03,0,0
09:07,0,0
09:11,0,0
09:15,0,0
09:19,0,0
09:23,0,0
09:27,0,0
09:31,0,0
09:36,0,0
09:41,0,0
09:46,0,0
09:51,0,0
09:57,0,0
10:02,0,0
10:07,0,0
10:12,0,0
10:18,0,0
10:23,0,0
10:28,0,0
10:33,0,0
10:39,0,0
10:44,0,0
10:49,0,0
10:54,0,0
11:00,0,0
11:05,0,0
11:10,0,0
11:15,0,0
11:21,0,0
11:26,0,0
11:31,0,0
11:36,0,0
11:42,0,0
11:47,0,0
11:52,0,0
11:57,0,0
12:03,0,0
12:08,0,0
12:13,0,0
12:18,0,0
12:24,0,0
12:29,0,0
12:34,0,0
12:39,0,0
12:45,0,0
12:50,0,0
12:55,0,0
13:00,0,0
13:06,0,0
13:11,0,0
13:16,0,0
13:21,0,0
13:27,0,0
13:32,0,0
13:37,0,0
13:42,0,0
13:48,0,0
13:53,0,0
13:58,0,0
14:03,0,0
14:09,0,0
14:14,0,0
14:19,0,0
14:24,0,0
14:30,0,0
14:35,0,0
14:40,0,0
14:45,0,0
14:51,0,0
14:56,0,0
15:01,0,0
15:06,0,0
15:12,0,0
15:17,0,0
15:22,0,0
15:27,0,0
15:33,0,0
15:38,0,0
15:43,0,0
15:48,0,0
15:54,0,0
15:59,0,0
16:04,0,0
16:09,0,0
16:15,0,0
16:20,0,0
16:25,0,0
16:30,0,0
16:36,0,0
16:41,0,0
16:46,0,0
16:51,0,0
16:57,0,0
17:02,0,0
17:07,0,0
17:12,0,0
17:18,0,0
17:23,0,0
17:28,0,0
17:33,0,0
17:38,0,0
17:43,0,0
17:47,0,0
17:51,0,0
17:55,0,0
17:59,0,0
18:03,0,0
18:07,0,0
18:11,0,0
18:15,0,0
18:19,0,0
18:23,0,0
18:27,0,0
18:31,0,0
18:35,0,0
18:39,0,0
18:43,0,0
18:47,0,0
18:51,0,0
18:55,0,0
18:59,0,0
19:03,0,0
19:07,0,0
19:11,0,0
19:15,0,0
19:19,0,0
19:23,0,0
19:27,0,0
19:31,0,0
19:35,0,0
19:39,0,0
19:43,0,0
19:48,0,0
19:53,0,0
19:58,0,0
20:04,0,0
20:10,0,0
20:17,0,0
20:24,0,0
20:31,0,0
20:38,0,0
20:45,0,0
20:53,0,0
21:01,0,0
21:09,0,0
21:17,0,0
21:25,0,0
21:33,0,0
21:41,0,0
21:49,0,0
21:57,0,0
22:06,0,0
22:16,0,0
22:26,0,0
22:36,0,0
22:46,0,0
22:56,0,0
23:06,0,0
23:16,0,0
